"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"WN",2268,"PHX","OAK",6,1170,125,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.867238,0.121212,0.352183,0.539428,0.504487,0.396322,0.124681,0.754839,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",3295,"PHX","SLC",7,785,100,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.811563,0.106061,0.140874,0.160599,0.882852,0.839528,0.865924,0.089052,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.703426,0.151515,0.135384,0.195583,0.867497,0.174492,0.164425,0.966697,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"OO",7761,"EKO","SLC",5,1029,66,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.616167,0.742424,0.272032,0.289778,0.69204,0.258071,0.273786,0.787865,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.751606,0.151515,0.204906,0.32022,0.680771,0.37871,0.40331,0.63409,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.752141,0.136363,0.281746,0.244784,0.740968,0.37871,0.40331,0.63409,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"WN",3078,"BWI","BDL",3,565,65,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.792826,0.075758,0.8335,0.766256,0.14977,0.296154,0.273482,0.844158,2,"Local-gov",90692,"HS-grad",9,"Divorced","Prof-specialty","Unmarried","Asian-Pac-Islander","Female",0,0,2,"United-States",1
"9E",4235,"STL","MEM",3,390,78,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.843683,0.121212,0.170145,0.32022,0.680771,0.503386,0.465905,0.467281,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.781585,0.121212,0.316964,0.244784,0.646375,0.467699,0.593865,0.467281,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",591,"PSP","PDX",2,745,147,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.813169,0.121212,0.379529,0.370562,0.673082,0.110822,0.551213,0.563135,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",1134,"IND","MDW",4,670,60,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
