"Age","Gender","Race","binaryClass"
10-14,Male,White,P
15-19,Male,White,N
20-24,Male,White,N
25-29,Male,White,P
30-34,Male,White,P
35-39,Male,White,P
40-44,Male,White,P
45-54,Male,White,P
55-64,Male,White,P
65+,Male,White,P
10-14,Female,White,P
15-19,Female,White,N
20-24,Female,White,N
25-29,Female,White,N
30-34,Female,White,N
35-39,Female,White,P
40-44,Female,White,P
45-54,Female,White,P
55-64,Female,White,P
65+,Female,White,P
10-14,Male,Black,P
15-19,Male,Black,N
20-24,Male,Black,N
25-29,Male,Black,N
30-34,Male,Black,P
35-39,Male,Black,P
40-44,Male,Black,P
45-54,Male,Black,P
55-64,Male,Black,P
65+,Male,Black,P
10-14,Female,Black,N
15-19,Female,Black,N
20-24,Female,Black,N
25-29,Female,Black,N
30-34,Female,Black,N
35-39,Female,Black,P
40-44,Female,Black,P
45-54,Female,Black,P
55-64,Female,Black,P
65+,Female,Black,P
10-14,Male,Hispanic,P
15-19,Male,Hispanic,P
20-24,Male,Hispanic,N
25-29,Male,Hispanic,P
30-34,Male,Hispanic,P
35-39,Male,Hispanic,P
40-44,Male,Hispanic,P
45-54,Male,Hispanic,P
55-64,Male,Hispanic,P
65+,Male,Hispanic,P
10-14,Female,Hispanic,P
15-19,Female,Hispanic,N
20-24,Female,Hispanic,N
25-29,Female,Hispanic,N
30-34,Female,Hispanic,N
35-39,Female,Hispanic,P
40-44,Female,Hispanic,P
45-54,Female,Hispanic,P
55-64,Female,Hispanic,P
65+,Female,Hispanic,P
10-14,Male,Asian/Pacific_Island,P
15-19,Male,Asian/Pacific_Island,P
20-24,Male,Asian/Pacific_Island,P
25-29,Male,Asian/Pacific_Island,P
30-34,Male,Asian/Pacific_Island,P
35-39,Male,Asian/Pacific_Island,P
40-44,Male,Asian/Pacific_Island,P
45-54,Male,Asian/Pacific_Island,P
55-64,Male,Asian/Pacific_Island,P
65+,Male,Asian/Pacific_Island,P
10-14,Female,Asian/Pacific_Island,P
15-19,Female,Asian/Pacific_Island,P
20-24,Female,Asian/Pacific_Island,P
25-29,Female,Asian/Pacific_Island,P
30-34,Female,Asian/Pacific_Island,P
35-39,Female,Asian/Pacific_Island,P
40-44,Female,Asian/Pacific_Island,P
45-54,Female,Asian/Pacific_Island,P
55-64,Female,Asian/Pacific_Island,P
65+,Female,Asian/Pacific_Island,P
10-14,Male,American_Indian,P
15-19,Male,American_Indian,P
20-24,Male,American_Indian,P
25-29,Male,American_Indian,P
30-34,Male,American_Indian,P
35-39,Male,American_Indian,P
40-44,Male,American_Indian,P
45-54,Male,American_Indian,P
55-64,Male,American_Indian,P
65+,Male,American_Indian,P
10-14,Female,American_Indian,P
15-19,Female,American_Indian,P
20-24,Female,American_Indian,P
25-29,Female,American_Indian,P
30-34,Female,American_Indian,P
35-39,Female,American_Indian,P
40-44,Female,American_Indian,P
45-54,Female,American_Indian,P
55-64,Female,American_Indian,P
65+,Female,American_Indian,P
