"Time_index","Season","Month","Unemployment_rate","binaryClass"
1,Winter,January,8,N
2,Winter,February,8.2,N
3,Spring,March,8,N
4,Spring,April,8.75,P
5,Spring,May,7.25,N
6,Summer,June,7.25,N
7,Summer,July,7.75,P
8,Summer,August,7.5,P
9,Autumn,September,7.25,P
10,Autumn,October,7.25,N
11,Autumn,November,8,N
12,Winter,December,8.5,N
13,Winter,January,10.25,P
14,Winter,February,11.25,P
15,Spring,March,11,P
16,Spring,April,12.5,P
17,Spring,May,14,P
18,Summer,June,14,P
19,Summer,July,14.25,P
20,Summer,August,12.75,P
21,Autumn,September,12,P
22,Autumn,October,12.25,P
23,Autumn,November,12.5,P
24,Winter,December,12.25,N
25,Winter,January,14,N
26,Winter,February,14.25,P
27,Spring,March,13.25,P
28,Spring,April,12.25,P
29,Spring,May,11.5,P
30,Summer,June,11,N
31,Summer,July,12,P
32,Summer,August,11,P
33,Autumn,September,10.75,P
34,Autumn,October,11.75,P
35,Autumn,November,12,P
36,Winter,December,14.5,N
37,Winter,January,16,N
38,Winter,February,16.25,N
39,Spring,March,17,P
40,Spring,April,15.5,P
41,Spring,May,14.25,P
42,Summer,June,14.25,P
43,Summer,July,14.75,P
44,Summer,August,14.5,P
45,Autumn,September,14.5,P
46,Autumn,October,15,P
47,Autumn,November,16.5,N
48,Winter,December,17.25,P
49,Winter,January,17,P
50,Winter,February,16.5,P
51,Spring,March,17,P
52,Spring,April,15.5,P
53,Spring,May,14.75,P
54,Summer,June,14.5,P
55,Summer,July,13.25,P
56,Summer,August,13.5,P
57,Autumn,September,12.5,P
58,Autumn,October,12.75,N
59,Autumn,November,11.75,P
60,Winter,December,12,N
61,Winter,January,13,P
62,Winter,February,12.75,P
63,Spring,March,12.5,P
64,Spring,April,11.25,P
65,Spring,May,11.25,P
66,Summer,June,11.25,N
67,Summer,July,11.25,P
68,Summer,August,10.5,N
69,Autumn,September,10,P
70,Autumn,October,10.25,N
71,Autumn,November,11,N
72,Winter,December,10.75,N
73,Winter,January,12.5,N
74,Winter,February,10.5,N
75,Spring,March,10.75,P
76,Spring,April,10.5,P
77,Spring,May,10,N
78,Summer,June,10.5,P
79,Summer,July,11,N
80,Summer,August,10,P
81,Autumn,September,10,P
82,Autumn,October,9.75,N
83,Autumn,November,9,N
84,Winter,December,7.75,N
85,Winter,January,9.5,N
86,Winter,February,9.5,N
87,Spring,March,10,N
88,Spring,April,9.25,N
89,Spring,May,9.5,N
90,Summer,June,9.5,P
91,Summer,July,9.25,P
92,Summer,August,8,N
93,Autumn,September,8.5,N
94,Autumn,October,8.25,N
95,Autumn,November,8.25,N
96,Winter,December,7.75,N
97,Winter,January,8,N
98,Winter,February,9,P
99,Spring,March,8.5,N
100,Spring,April,8.75,P
101,Spring,May,8.25,N
102,Summer,June,9,N
103,Summer,July,8.75,P
104,Summer,August,8.5,N
105,Autumn,September,7.5,N
106,Autumn,October,7,N
107,Autumn,November,7.5,N
108,Winter,December,8.5,N
