Party;Favorable;binaryClass
R;1;N
R;1;N
R;2;N
R;2;N
R;2;P
R;2;N
R;2;P
D;10;N
D;10;N
D;10;N
R;2;N
R;1;N
D;10;N
D;9;N
R;2;N
D;10;N
D;10;N
R;1;N
R;1;N
D;10;N
D;10;N
D;10;N
R;2;N
R;2;P
R;4;N
D;10;N
R;3;N
D;10;N
R;2;N
D;10;N
R;1;P
R;2;N
R;2;N
R;1;N
D;10;N
D;10;N
R;4;N
R;5;N
D;10;N
D;10;N
D;10;N
D;10;N
D;10;N
R;3;N
D;9;N
R;1;N
R;2;N
R;2;N
R;1;N
R;2;N
D;9;N
R;1;N
D;10;N
R;2;N
D;10;N
D;10;N
I;1;N
R;2;P
D;10;N
D;10;N
R;2;N
D;10;N
D;10;N
D;10;N
R;1;N
D;10;N
D;10;N
D;9;N
R;3;N
R;5;N
R;1;N
R;1;N
D;10;N
R;2;N
R;5;N
R;3;N
R;4;P
D;10;N
R;2;N
D;10;N
D;10;N
D;10;N
R;1;N
R;2;N
R;1;N
R;2;N
R;2;N
R;2;N
D;10;N
R;3;N
R;3;N
D;9;N
R;3;N
D;9;P
D;8;N
D;10;N
D;10;N
D;10;N
R;1;N
R;1;N
