"Age","Disease","Positive","binaryClass"
1,Mumps,56,N
2,Mumps,48,N
3,Mumps,137,N
4,Mumps,195,N
5,Mumps,290,N
6,Mumps,255,N
7,Mumps,236,N
8,Mumps,211,N
9,Mumps,271,N
10,Mumps,276,N
11,Mumps,259,N
12,Mumps,301,N
13,Mumps,296,N
14,Mumps,345,N
15,Mumps,112,P
16,Mumps,112,N
17,Mumps,142,N
18,Mumps,186,N
19,Mumps,202,N
20,Mumps,156,N
21,Mumps,155,N
22,Mumps,200,N
23,Mumps,166,N
24,Mumps,165,N
25,Mumps,179,N
26,Mumps,171,N
27,Mumps,175,N
28,Mumps,147,N
29,Mumps,137,N
30,Mumps,114,N
31,Mumps,117,N
32,Mumps,99,P
33,Mumps,95,P
34,Mumps,80,P
35,Mumps,77,P
36,Mumps,65,P
37,Mumps,63,P
38,Mumps,69,P
39,Mumps,46,P
40,Mumps,61,P
41,Mumps,55,P
42,Mumps,42,P
43,Mumps,37,P
44,Mumps,39,P
1,Rubella,31,N
2,Rubella,30,N
3,Rubella,34,N
4,Rubella,57,N
5,Rubella,95,N
6,Rubella,104,N
7,Rubella,90,N
8,Rubella,96,N
9,Rubella,134,N
10,Rubella,110,N
11,Rubella,111,N
12,Rubella,147,N
13,Rubella,138,N
14,Rubella,141,N
15,Rubella,53,P
16,Rubella,49,P
17,Rubella,73,P
18,Rubella,69,P
19,Rubella,97,P
20,Rubella,65,P
21,Rubella,74,P
22,Rubella,84,P
23,Rubella,82,P
24,Rubella,79,P
25,Rubella,90,P
26,Rubella,84,P
27,Rubella,81,P
28,Rubella,72,P
29,Rubella,71,P
30,Rubella,51,P
31,Rubella,45,P
32,Rubella,45,P
33,Rubella,35,P
34,Rubella,39,P
35,Rubella,36,P
36,Rubella,37,P
37,Rubella,37,P
38,Rubella,37,P
39,Rubella,28,P
40,Rubella,26,P
41,Rubella,25,P
42,Rubella,21,P
43,Rubella,18,P
44,Rubella,18,P
1,Parvovirus,9,P
2,Parvovirus,12,P
3,Parvovirus,12,P
4,Parvovirus,18,P
5,Parvovirus,23,P
6,Parvovirus,27,P
7,Parvovirus,28,P
8,Parvovirus,27,P
9,Parvovirus,44,P
10,Parvovirus,39,P
11,Parvovirus,34,P
12,Parvovirus,52,P
13,Parvovirus,32,P
14,Parvovirus,58,P
15,Parvovirus,27,P
16,Parvovirus,37,P
17,Parvovirus,53,P
18,Parvovirus,49,P
19,Parvovirus,51,P
20,Parvovirus,61,P
21,Parvovirus,51,P
22,Parvovirus,62,P
23,Parvovirus,69,N
24,Parvovirus,62,N
25,Parvovirus,57,P
26,Parvovirus,40,P
27,Parvovirus,47,P
28,Parvovirus,37,P
29,Parvovirus,63,P
30,Parvovirus,38,P
31,Parvovirus,23,P
32,Parvovirus,36,P
33,Parvovirus,33,P
34,Parvovirus,38,P
35,Parvovirus,21,P
36,Parvovirus,24,P
37,Parvovirus,28,P
38,Parvovirus,18,P
39,Parvovirus,25,P
40,Parvovirus,22,P
41,Parvovirus,9,P
42,Parvovirus,12,P
43,Parvovirus,14,P
44,Parvovirus,16,P
