"col_1","col_2","col_3","col_4","col_5","col_6","binaryClass"
21.525,21.576,10.0227,10.4698,15.1795,10.3388,P
22.8007,3.6888,13.363,9.3414,9.3884,10.5529,P
0.7715,12.3097,11.0676,7.7973,9.732,8.8305,N
26.013,14.4631,11.8456,9.9338,11.1705,11.5244,N
6.9692,6.9114,8.4057,14.647,8.4625,8.8706,N
0.0841,5.8705,11.6893,9.6343,8.9693,11.0905,N
1.1674,9.545,11.302,7.1036,10.4457,17.7636,N
6.5825,5.7722,9.7922,20.7404,13.8353,10.397,P
13.9533,7.7975,7.3725,8.3591,8.2353,9.0487,P
7.3391,9.921,9.3366,7.6538,9.6079,9.089,P
3.462,3.9916,7.812,8.6511,8.9761,12.4506,P
0.1068,20.0071,9.924,10.4656,10.7235,13.2742,P
7.9436,7.2936,4.1918,6.0581,12.147,9.5197,P
5.2701,19.7614,7.0387,10.0238,13.8636,12.9136,P
7.1884,10.0261,5.6163,12.6459,12.83,12.6838,P
0.4405,18.9543,13.8865,14.2079,9.503,10.2856,P
19.5918,4.6821,8.4744,9.6297,24.8933,22.642,P
4.3607,14.32,11.064,12.3782,9.3878,9.7219,P
1.3004,2.9834,12.7602,10.4423,9.3683,10.7759,P
26.7371,7.9651,4.2296,9.9074,11.114,17.2635,P
25.0295,15.8425,13.6696,8.5186,16.8187,10.7811,P
0.128,16.9606,10.261,8.6417,10.785,11.8317,P
3.0646,5.6755,7.9201,10.4462,8.5668,9.6426,N
7.4614,11.8937,6.2128,11.4377,12.9933,11.9267,N
4.5212,7.3654,7.2782,11.3564,10.4739,10.0751,P
0.2906,10.7585,13.8052,9.7321,10.4008,11.3912,P
5.8612,7.3057,7.2155,6.6651,12.1224,7.8045,P
7.1114,4.1746,12.2091,17.7481,13.5467,11.54,P
31.6345,21.9777,6.6382,9.0518,11.8436,10.5432,P
0.3734,3.3997,5.2382,7.669,12.3623,11.8923,P
6.3873,6.0686,8.9383,6.8581,7.0266,14.0514,N
11.8136,6.8592,15.5569,15.6428,10.0868,10.1944,P
18.8557,10.6899,7.8588,22.3062,13.2252,9.4354,N
0.553,4.4699,9.7182,8.7042,16.6487,13.0643,N
2.6877,3.4687,6.8564,11.5531,9.865,12.4932,P
7.1672,12.0495,5.9631,9.2234,6.6291,10.3587,P
26.0187,9.6762,4.5967,11.6915,13.4532,10.3394,P
9.2808,8.3088,11.6708,9.0817,10.9836,11.9968,N
19.857,10.3143,9.1082,10.0485,6.9811,11.2805,P
0.1591,11.1496,17.7489,7.4193,31.0178,18.3156,N
2.5321,13.2518,7.4025,9.4359,10.8672,10.4237,N
28.2616,5.7881,7.3052,8.2046,14.2675,9.6355,P
10.7212,10.9797,13.9846,11.8735,8.7167,11.3746,P
1.6815,8.2989,5.8767,8.6127,15.388,10.799,P
3.8155,8.8673,46.2904,9.5223,10.0689,11.4597,P
2.5152,7.6556,8.9899,7.1278,17.2097,10.0477,N
8.2555,5.1875,12.1737,8.8736,9.8397,9.8583,N
0.3026,7.6239,11.2165,9.0669,29.7652,16.6708,P
0.9171,13.3873,5.4054,13.6648,9.0892,11.8182,N
6.7762,10.4363,7.3143,10.5842,8.8467,22.2981,N
1.4623,7.9342,7.4872,10.5104,8.2757,11.7951,P
12.5596,9.6435,10.3547,9.2125,6.4632,8.8692,N
10.2071,13.5919,7.3892,9.8414,9.529,9.5295,P
5.5006,15.862,19.6924,10.1012,8.8774,9.0041,P
15.6539,9.3191,15.1595,9.036,8.8847,12.5479,N
5.5968,7.8096,10.7906,10.1969,8.4671,10.4915,N
25.255,7.9123,8.8203,6.1979,11.259,11.4953,P
15.1066,4.1742,13.2326,8.986,10.4715,17.0147,P
13.8119,25.7236,7.1178,10.1465,20.566,13.2376,P
8.1324,73.9569,6.4084,11.3816,10.4614,9.5424,N
4.4809,9.8383,8.229,11.8497,12.6933,11.2591,P
2.395,2.8631,26.6827,9.3122,8.9403,14.7997,N
12.7852,8.6799,9.0413,10.7816,8.7659,10.5766,P
