col_2;col_3;binaryClass
1;15600;P
1;14650;N
1;15001;P
1;15628;P
1;14222;P
1;14222;N
1;15065;N
1;14916;N
1;14477;N
1;14308;P
1;14239;N
1;14202;N
1;12978;P
1;14511;P
1;13726;N
1;13555;N
1;13544;P
1;13723;N
1;13293;P
1;14333;N
1;13050;P
1;13207;P
1;13501;N
1;12548;P
1;13224;N
2;16423;P
2;15156;N
2;15973;N
2;14576;N
2;15361;N
2;14288;N
2;14711;N
2;14259;N
2;14290;N
2;13833;N
2;14033;N
2;12963;N
2;14255;N
2;12614;P
2;13175;N
2;12595;P
2;12219;N
3;22331;N
3;17063;N
3;15851;N
3;16113;P
3;15448;N
3;15421;P
3;15434;P
3;13597;P
3;15278;N
3;14724;P
3;15275;N
3;14450;P
3;14803;P
3;14033;N
3;14587;N
3;14201;N
3;13977;P
3;14570;P
3;14231;P
3;12890;P
3;14516;N
3;14039;N
3;14136;N
3;13505;P
3;12714;P
3;14371;N
3;13762;N
3;13669;P
3;13602;N
3;13721;P
3;13297;P
3;12948;N
4;22934;N
4;17819;P
4;18266;N
4;17188;N
4;16960;N
4;16040;N
4;16719;P
4;16457;N
4;15617;P
4;15705;N
4;15680;P
4;15756;N
4;15593;N
4;14099;N
4;13628;N
4;15556;P
4;14973;N
4;14874;N
4;13659;P
4;13554;N
4;13994;N
4;13685;N
4;13626;P
4;13240;N
4;12784;P
5;24161;N
5;22067;N
5;18125;P
5;20043;N
5;18311;N
5;18666;N
5;18913;N
5;19673;N
5;17666;P
5;17994;N
5;17682;N
5;16841;N
5;16159;P
5;15282;P
5;15795;N
5;14040;P
5;14973;P
5;14650;P
5;13148;N
5;12433;P
6;21995;P
6;21487;N
6;20966;P
6;18911;P
6;21349;N
6;18129;P
6;17847;N
6;18681;N
6;18146;N
6;17929;N
6;17643;N
6;18878;P
6;17367;P
6;17644;P
6;17666;N
6;17591;N
6;18275;N
6;17182;N
6;17311;P
6;16693;N
6;15663;N
6;16842;N
6;16396;N
6;17049;P
6;16502;N
6;15435;N
6;15200;N
6;16040;P
6;16783;N
6;15488;N
6;15591;N
6;14704;N
6;14742;N
6;14870;P
6;14348;N
6;15336;N
6;14455;N
7;13723;P
7;13726;P
7;12767;P
7;12952;P
7;11618;P
7;11700;P
7;12502;P
7;13320;P
7;10473;P
7;11885;P
7;11688;P
7;11419;P
7;11337;P
7;13183;P
7;10499;P
7;10859;P
7;10982;P
7;10176;P
7;12317;P
7;11412;P
7;11077;P
7;10856;P
7;10383;P
7;10232;P
7;9569;P
7;9939;P
7;10252;P
7;9781;P
7;9426;P
