"col_1","col_2","binaryClass"
1983,1,P
1983,2,N
1983,3,N
1983,4,N
1983,5,N
1983,6,N
1983,7,N
1983,8,N
1983,9,N
1983,10,N
1983,11,P
1983,12,P
1983,13,P
1983,14,P
1983,15,N
1983,16,N
1983,17,P
1983,18,N
1983,19,N
1983,20,P
1983,21,P
1983,22,N
1983,23,N
1983,24,N
1983,25,N
1983,26,N
1983,27,N
1983,28,N
1983,29,N
1983,30,N
1983,31,N
1983,32,N
1983,33,N
1983,34,N
1983,35,N
1983,36,N
1983,37,N
1983,38,N
1983,39,N
1983,40,N
1983,41,N
1983,42,N
1983,43,N
1983,44,N
1983,45,N
1983,46,P
1983,47,P
1983,48,P
1983,49,P
1983,50,P
1983,51,P
1983,52,P
1984,1,P
1984,2,P
1984,3,N
1984,4,N
1984,5,P
1984,6,N
1984,7,N
1984,8,N
1984,9,N
1984,10,N
1984,11,N
1984,12,P
1984,13,N
1984,14,P
1984,15,P
1984,16,N
1984,17,N
1984,18,N
1984,19,P
1984,20,N
1984,21,N
1984,22,N
1984,23,N
1984,24,N
1984,25,N
1984,26,N
1984,27,N
1984,28,N
1984,29,N
1984,30,N
1984,31,N
1984,32,N
1984,33,N
1984,34,N
1984,35,N
1984,36,P
1984,37,N
1984,38,N
1984,39,P
1984,40,P
1984,41,N
1984,42,P
1984,43,P
1984,44,P
1984,45,N
1984,46,N
1984,47,N
1984,48,N
1984,49,N
1984,50,P
1984,51,P
1984,52,P
1985,1,P
1985,2,P
1985,3,P
1985,4,P
1985,5,P
1985,6,P
1985,7,P
1985,8,P
1985,9,P
1985,10,P
1985,11,P
1985,12,P
1985,13,P
1985,14,P
1985,15,P
1985,16,P
1985,17,P
1985,18,P
1985,19,P
1985,20,P
1985,21,P
1985,22,N
1985,23,P
1985,24,N
1985,25,N
1985,26,N
1985,27,N
1985,28,N
1985,29,N
1985,30,N
1985,31,N
1985,32,N
1985,33,N
1985,34,P
1985,35,P
1985,36,P
1985,37,N
1985,38,N
1985,39,N
1985,40,N
1985,41,N
1985,42,N
1985,43,N
1985,44,N
1985,45,N
1985,46,P
1985,47,P
1985,48,P
1985,49,P
1985,50,P
1985,51,P
1985,52,P
1986,1,P
1986,2,N
1986,3,N
1986,4,N
1986,5,N
1986,6,P
1986,7,P
1986,8,P
1986,9,P
1986,10,P
1986,11,P
1986,12,P
1986,13,P
1986,14,P
1986,15,P
1986,16,P
1986,17,P
1986,18,P
1986,19,P
1986,20,P
1986,21,P
1986,22,P
1986,23,P
1986,24,P
1986,25,P
1986,26,P
1986,27,P
1986,28,P
1986,29,P
1986,30,P
1986,31,P
1986,32,P
1986,33,P
1986,34,P
1986,35,P
1986,36,P
1986,37,P
1986,38,P
1986,39,P
1986,40,P
1986,41,P
1986,42,P
1986,43,P
1986,44,P
1986,45,P
1986,46,P
1986,47,P
1986,48,P
1986,49,P
1986,50,P
1986,51,P
1986,52,P
1987,1,P
1987,2,P
1987,3,P
1987,4,P
1987,5,P
1987,6,N
1987,7,P
1987,8,P
1987,9,N
1987,10,P
1987,11,P
1987,12,P
1987,13,P
1987,14,P
1987,15,P
1987,16,N
1987,17,N
1987,18,N
1987,19,N
1987,20,N
1987,21,N
1987,22,N
1987,23,N
1987,24,N
1987,25,N
1987,26,N
1987,27,N
1987,28,N
1987,29,N
1987,30,N
1987,31,N
1987,32,N
1987,33,N
1987,34,N
1987,35,N
1987,36,N
1987,37,P
1987,38,N
1987,39,P
1987,40,N
1987,41,P
1987,42,P
1987,43,P
1987,44,P
1987,45,P
1987,46,P
1987,47,P
1987,48,P
1987,49,P
1987,50,P
1987,51,P
1987,52,P
1988,1,P
1988,2,P
1988,3,P
1988,4,P
1988,5,P
1988,6,P
1988,7,P
1988,8,P
1988,9,P
1988,10,P
1988,11,P
1988,12,P
1988,13,P
1988,14,P
1988,15,P
1988,16,P
1988,17,P
1988,18,P
1988,19,P
1988,20,P
1988,21,P
1988,22,P
1988,23,P
1988,24,P
1988,25,P
1988,26,P
1988,27,P
1988,28,P
1988,29,P
1988,30,P
1988,31,P
1988,32,P
1988,33,P
1988,34,P
1988,35,N
1988,36,N
1988,37,N
1988,38,P
1988,39,N
1988,40,N
1988,41,N
1988,42,P
1988,43,P
1988,44,P
1988,45,N
1988,46,P
1988,47,P
1988,48,P
1988,49,P
1988,50,P
1988,51,P
1988,52,P
1989,1,P
1989,2,P
1989,3,P
1989,4,P
1989,5,P
1989,6,P
1989,7,P
1989,8,P
1989,9,P
1989,10,P
1989,11,P
1989,12,P
1989,13,P
1989,14,P
1989,15,P
1989,16,P
1989,17,P
1989,18,P
1989,19,P
1989,20,P
1989,21,P
1989,22,P
1989,23,P
1989,24,P
1989,25,P
1989,26,P
1989,27,P
1989,28,P
1989,29,P
1989,30,P
1989,31,P
1989,32,P
1989,33,P
1989,34,P
1989,35,P
1989,36,P
1989,37,P
1989,38,P
1989,39,P
1989,40,P
1989,41,P
1989,42,P
1989,43,P
1989,44,P
1989,45,P
1989,46,P
1989,47,P
1989,48,P
1989,49,P
1989,50,P
1989,51,P
1989,52,P
1990,1,P
1990,2,P
1990,3,N
1990,4,P
1990,5,N
1990,6,N
1990,7,N
1990,8,N
1990,9,N
1990,10,N
1990,11,N
1990,12,N
1990,13,N
1990,14,N
1990,15,N
1990,16,N
1990,17,N
1990,18,N
1990,19,N
1990,20,N
1990,21,N
1990,22,N
1990,23,N
1990,24,N
1990,25,N
1990,26,N
1990,27,N
1990,28,N
1990,29,N
1990,30,N
1990,31,P
1990,32,P
1990,33,P
1990,34,P
1990,35,P
1990,36,N
1990,37,P
1990,38,N
1990,39,P
1990,40,N
1990,41,P
1990,42,N
1990,43,P
1990,44,N
1990,45,N
1990,46,P
1990,47,P
1990,48,P
1990,49,P
1990,50,P
1990,51,P
1990,52,P
1991,1,N
1991,2,N
1991,3,N
1991,4,N
1991,5,N
1991,6,N
1991,7,N
1991,8,N
1991,9,N
1991,10,N
1991,11,N
1991,12,N
1991,13,N
1991,14,N
1991,15,N
1991,16,N
1991,17,N
1991,18,N
1991,19,N
1991,20,N
1991,21,N
1991,22,N
1991,23,N
1991,24,N
1991,25,N
1991,26,N
1991,27,N
1991,28,N
1991,29,N
1991,30,N
1991,31,N
1991,32,N
1991,33,N
1991,34,N
1991,35,N
1991,36,N
1991,37,N
1991,38,N
1991,39,N
1991,40,N
1991,41,N
1991,42,N
1991,43,N
1991,44,N
1991,45,N
1991,46,N
1991,47,N
1991,48,N
1991,49,N
1991,50,N
1991,51,P
1991,52,P
