"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11","oz12","oz13","oz14","oz15","oz16","oz17","oz18","oz19","oz20","oz21","oz22","oz23","oz24","oz25","oz26","oz27","oz28","oz29","oz30","oz31","oz32","oz33","oz34","oz35","oz36","oz37","oz38","oz39","oz40","oz41","oz42","oz43","oz44","oz45","oz46","oz47","oz48","oz49","oz50","binaryClass"
-0.294419,-1.536406,-1.212558,-1.469367,-0.45544,-1.177203,0.432154,-1.413106,0.360467,0.884607,-0.429251,0.418748,-0.035758,-0.861565,0.651631,1.022236,-1.192327,-0.75237,1.708853,-0.061566,-0.84694,1.350632,1.684721,0.484712,1.063902,0.172518,-0.821039,-0.844859,0.925067,0.589019,0.020141,0.471698,-0.301587,0.956417,-1.647774,-0.448328,-1.085853,-0.477104,1.605914,0.607014,-1.627988,1.052359,-1.677049,0.84895,0.312944,-1.413756,0.973039,-0.913408,0.654707,1.036422,P
-1.766321,-0.812748,-0.341936,-0.111769,-0.27553,1.289578,0.768132,-1.408693,-0.529072,-1.343452,-0.109673,-1.018287,0.729777,-0.018329,1.326476,1.349873,1.350459,0.895902,1.07696,-0.454136,-0.084334,0.082112,1.734343,-1.808879,-0.514964,1.68809,1.495095,-0.660566,0.020305,1.69119,-0.558463,0.317908,1.388001,1.616912,-0.638462,-1.841874,1.287461,0.754038,1.759079,1.411588,0.681409,1.023278,-0.395708,0.702774,1.294513,-0.186611,-1.028306,0.477381,0.275143,0.894444,P
1.39507,-0.26707,0.392198,0.724132,0.780337,1.604978,0.698048,0.098591,0.831608,-1.059522,-0.463561,0.64629,-0.922638,1.327216,-1.814374,0.401708,-1.162513,0.575586,0.838116,0.431353,-0.488383,0.027302,1.454114,0.233294,-0.112564,-0.131352,-1.492126,1.002008,-0.682193,0.911248,-1.350894,0.508738,-1.134937,-0.87645,0.041972,-0.106569,1.740015,0.235263,1.815796,-1.38845,0.742262,-0.51908,0.776763,-0.351237,1.303743,-1.422682,-1.23434,-0.939568,-0.120007,-0.535086,N
0.959984,-1.362127,1.363469,-1.503644,1.186763,-1.314908,0.73219,1.543269,-0.745332,-0.578568,-1.08597,0.500239,-0.1176,-0.422041,-1.231789,-0.078031,-0.617354,-0.427186,0.287578,1.376501,0.023638,-1.171551,0.804173,1.013779,0.369378,1.547078,1.316993,0.479247,0.51755,-0.596736,-0.541386,-1.1311,-1.619006,1.457837,-0.713992,-0.92358,-0.342897,1.385956,-0.826461,-0.605878,-0.66604,-1.604691,-0.85873,0.041407,0.386754,1.336504,1.348417,-1.123973,-0.152667,-1.019383,P
-0.093214,-0.029239,-0.289011,0.054907,1.647685,-1.382414,1.423598,-0.407726,0.850146,0.06336,-1.660005,-1.37017,1.630593,-1.18109,-1.76035,0.463903,1.381737,0.192597,1.066286,-0.85012,-0.927018,-0.147316,-1.413949,-1.591532,0.205713,1.13334,1.552634,-0.919787,0.954248,0.153268,-1.300389,-0.822874,-1.647985,-0.632659,-0.731939,-1.266364,0.733063,-0.736985,-0.635226,-0.281066,0.914181,1.503249,0.65741,-1.249086,0.165144,-0.495571,-0.242578,-0.240586,0.941086,0.963844,N
-1.153638,-1.692829,-1.703424,-1.534739,1.178554,0.071831,0.975581,-1.46801,-0.084434,-1.323666,-1.772471,0.158432,0.620337,1.714116,-1.334161,-1.750304,-0.930858,0.291206,-1.625228,-1.013265,-0.811988,-1.54493,1.545121,1.383465,-0.607844,-0.019495,-0.403198,-0.679267,0.962646,0.671885,-0.457272,0.663595,0.738423,1.60876,-1.676937,-0.556996,1.372069,0.662511,1.661662,0.944083,0.130689,1.387869,-0.728165,0.295198,0.929902,1.340232,-1.622945,0.972293,-1.518727,0.755578,P
0.854683,-1.401454,0.006258,0.645246,1.162303,0.74158,0.262007,-0.334573,0.823885,-0.031369,-0.056753,0.346621,-1.601139,0.030741,0.874867,0.14908,-0.209137,-0.501087,-0.456241,1.203774,-0.565667,0.88733,-0.616534,-0.327598,0.294099,1.473633,-1.718747,1.044991,-0.617869,-0.742346,0.794317,-0.289986,-0.749827,0.903641,-1.238225,1.231651,-1.247767,1.18655,0.715423,-1.484927,-0.439174,-0.377598,-1.515162,-1.348068,1.482473,-0.063258,0.1767,0.79045,-1.197804,0.206642,P
0.755082,0.03505,-0.434203,0.258596,-0.888167,-0.961204,-1.408913,-0.414973,0.967494,0.640257,0.455579,1.264757,0.942383,0.771173,1.587914,1.308923,1.206191,0.909087,-1.039134,-0.247458,-0.383864,-0.531092,-1.010927,1.542533,-1.297547,0.342874,-1.06217,0.048877,1.696173,0.848405,-0.877846,1.178589,0.932241,1.186076,-0.974177,0.926529,1.516065,-0.802918,-1.474584,0.365868,1.177438,-0.607829,-0.601321,-0.016812,1.088271,-0.682441,0.361349,-0.050725,-1.321498,0.188635,N
0.649522,-0.32998,1.673266,0.626708,0.643956,0.930521,-0.895137,-0.904292,-0.615187,0.882699,1.315931,1.025515,-1.248929,-1.088285,0.516647,0.201743,1.003278,-0.793516,-1.468748,1.625251,0.744519,0.014212,-1.729002,0.764952,1.482517,-0.154458,-0.613923,-0.613513,1.18105,1.688813,-1.214519,-1.493165,1.327438,1.574454,0.748637,-0.351724,-1.22137,-1.476386,-0.508386,-1.079583,0.429422,-1.632285,-0.893206,0.569845,-0.931728,-0.328645,-0.209795,-1.370637,-1.667596,-1.459914,N
0.811518,-1.073825,-1.565875,-0.634002,-0.076467,-1.189427,-1.314578,-0.625565,1.870847,0.645101,-0.709135,-0.991645,0.179901,0.878261,-0.574819,-0.035863,1.151219,-0.492924,-0.831233,1.000013,-0.286169,0.902475,1.5886,0.297638,0.835899,0.02944,0.239223,1.330317,0.800863,1.740511,-0.344797,-0.864253,-0.235156,-0.500863,0.068792,1.212528,1.355499,-1.561958,0.561736,-0.055267,-0.862372,1.437992,1.23618,-0.566454,-0.927321,-0.673538,-0.719983,-0.510091,-0.875966,-0.67881,N
0.179292,-0.637937,-1.637338,-0.187916,0.05138,-0.531226,1.720829,0.067426,0.552285,-1.050388,0.540202,-0.128156,-0.925181,1.460591,-1.725031,-1.286669,1.312056,1.346467,0.011562,-0.679376,1.680288,-0.100726,-1.3564,-1.259872,-0.714281,-1.139228,1.161713,-1.035897,0.460044,-0.678758,0.635169,0.300098,-0.543764,-0.184255,1.444581,-0.857516,0.024021,1.063072,0.337036,0.335515,-1.353238,-1.675049,-1.252021,0.579242,-1.487176,1.056391,0.034436,1.633408,-0.940839,0.690448,N
-1.020084,0.479946,-0.917105,0.048615,-0.167559,-1.464518,0.227839,-1.515136,1.183256,-1.042879,1.744945,-1.038207,-0.989931,-1.654669,-0.371007,-1.638884,1.456439,1.270973,0.117871,0.028427,0.926856,0.232799,0.439133,1.110871,0.360883,-1.127545,0.340175,1.541124,1.794462,-1.447671,-0.931979,-1.598647,1.439072,0.433001,1.305708,0.686539,1.73378,1.295672,0.334846,-0.6586,0.985975,-1.233477,1.649737,0.005971,1.123453,-0.18703,1.048762,0.933248,1.301353,1.484878,P
0.549725,-0.991996,-0.315287,-1.054607,-1.057261,-1.509325,0.518537,-0.470713,0.34499,0.518578,-1.70728,-1.003964,0.553621,1.616769,0.762814,-1.524348,-0.36504,0.863336,0.956065,0.508759,0.53109,-0.926267,1.153764,0.169953,-0.943508,-0.605492,-0.299028,1.418895,-0.378336,1.077314,1.422155,0.577144,0.600994,-1.132933,-0.231416,-1.113581,0.654343,-0.757902,-1.229366,-1.453534,0.342894,0.757225,-0.991462,-0.763067,-0.49001,-1.471194,-0.73278,-1.239101,0.682528,0.771132,P
