"oz1","oz2","oz3","oz4","oz5","binaryClass"
-0.589732,0.454612,-0.759027,0.316786,-0.855873,P
1.304919,-0.945563,1.485261,1.627702,-0.732773,N
-0.117129,0.436006,-1.71841,-0.259626,0.440381,N
0.881116,0.468225,1.669013,1.581501,0.142877,N
1.7822,-0.47477,0.317389,-1.018636,-0.240128,P
-1.175934,-1.140633,-1.471543,1.256409,-1.486012,P
0.881887,1.105753,0.077619,0.932536,-0.744685,N
1.765968,1.604053,0.609219,1.622393,-1.604468,P
-1.411164,-1.377229,-0.651725,-1.535578,-0.567728,P
0.511394,1.465676,0.525407,-1.529743,0.558223,P
0.631296,-1.694617,1.323114,-0.596202,-1.607531,P
1.361748,-1.251729,-0.983268,0.436397,-1.608549,P
0.588504,-0.68946,1.468667,0.334199,1.372466,N
-0.682806,-1.318604,1.386073,0.851672,1.616917,N
-1.230804,1.605127,-0.822119,0.372377,0.098428,N
-0.720186,-0.099585,-0.016854,-0.756593,-1.172104,P
-1.322913,-0.032676,-1.609047,-1.53894,-0.340829,P
0.873846,-0.775384,-1.153679,1.165265,0.619647,N
-0.90518,-0.016739,0.525373,0.006442,-0.3087,P
-0.029657,-1.811942,0.233169,-0.397637,-0.255579,P
-1.531045,1.539835,0.599878,-0.538296,-0.393721,P
-0.526856,1.300096,-0.526108,-0.015989,0.815407,N
1.258159,-0.737548,1.312055,-1.320585,-0.850923,P
-1.06127,0.149308,-0.155616,0.145213,0.521037,P
0.754516,-0.203493,0.407354,-1.644199,0.69385,P
-0.201057,0.065706,1.038897,-0.792986,-1.123318,P
-0.51517,1.451463,-0.70721,-0.472642,0.55068,N
-1.522907,-0.231293,1.588738,1.216883,-1.681039,P
-0.004187,0.900075,-1.411114,-0.751201,-1.679043,N
-0.962409,0.312682,-1.250282,-1.334084,-1.525518,P
-0.276199,0.018279,-1.413601,-0.982844,0.908679,N
0.902906,0.341028,0.825458,-1.172816,1.358377,N
0.696028,1.325995,1.199177,-0.761647,-0.835919,N
1.740317,-1.381557,1.197481,0.732724,-0.950578,N
-0.411943,0.717482,0.844022,-0.42136,-1.171335,N
-1.049931,-0.332475,1.571233,1.29318,-1.061557,N
1.127308,0.606092,0.998559,0.817017,1.558005,N
0.879375,1.405473,-1.595687,-1.231629,-1.031431,N
1.064391,-0.932985,-0.917758,0.285549,1.427062,N
-0.864838,1.708232,-1.401035,0.138307,-1.100531,N
0.767791,0.687257,-1.308094,0.070447,-1.020856,N
-0.789569,0.089415,0.284797,-0.846001,-0.341116,P
-1.549602,0.978539,1.236434,0.923147,-0.239986,P
-0.362345,0.180579,0.876878,-1.241616,0.792963,P
0.025441,-0.423,1.545742,0.396641,0.645438,N
1.600183,-0.683439,0.102098,1.503518,1.05391,N
1.623294,1.600731,-0.657493,-1.205989,0.976092,P
-1.102089,-0.601643,-1.668478,-0.01064,1.119093,N
-0.031565,0.190143,-0.535172,0.631802,-0.833564,N
1.089863,-0.423227,-0.419065,-1.424398,0.692466,P
0.171816,0.487323,0.858387,1.538086,-1.077333,N
0.027664,0.357349,-0.541049,1.508924,-0.102181,N
0.320248,0.431523,-0.70602,-1.203803,-1.534626,P
