"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11","oz12","oz13","oz14","oz15","oz16","oz17","oz18","oz19","oz20","oz21","oz22","oz23","oz24","oz25","binaryClass"
-0.406903,0.030794,-1.191225,-1.162197,-0.779136,0.845254,0.184237,-1.640318,0.306892,1.489045,-0.159736,0.80132,0.143048,-1.034955,-0.854767,-1.559175,0.916144,0.691108,0.307157,0.951953,-0.943845,0.846965,-1.071018,1.647885,-0.810539,N
0.766532,1.331761,-1.288793,-1.205616,-1.239199,1.183594,1.16899,0.403521,0.595818,-1.149432,1.032629,-0.235239,0.105941,1.214838,0.356473,1.526114,-1.68356,-1.400171,-0.244649,1.024801,-1.613797,-0.386973,0.638577,-1.413457,-0.385514,P
1.468142,1.149996,0.797416,1.135202,1.110291,-0.485686,-0.840686,-0.021657,-0.607764,1.594856,-0.789854,-0.158374,-0.415286,-0.799458,-1.066255,-0.134761,1.151946,-0.61761,-0.470157,0.375502,-1.529526,-0.392938,-1.386403,0.336066,-0.312663,N
-1.520758,-1.04465,-1.175754,-0.275346,-1.063277,1.17165,-1.314331,0.390876,-0.982373,-0.932445,-0.946889,1.604306,-1.016452,-0.902513,-0.58525,-1.488386,-1.578735,-1.249519,-1.133401,-0.633462,-1.344107,-1.564709,-0.077981,-0.475763,-1.33669,P
0.008138,-0.404313,1.266293,-0.807921,-1.568491,1.621609,0.85824,0.626959,-1.743611,1.71394,-0.87596,0.285564,1.44781,1.59522,-0.209056,-1.332955,1.507867,-0.563459,1.153218,-1.691037,1.217317,-1.467623,1.254102,-1.126044,-0.60082,N
0.087711,-0.120626,-0.133092,1.476001,-1.280186,-0.976274,-1.127201,-0.497459,-0.893608,-0.954477,-1.013583,-1.712749,-0.098819,0.136809,-0.163939,0.557079,-1.176374,-1.022721,-0.610971,0.18696,-0.49401,1.351802,0.82758,-1.494215,-0.307149,N
0.249749,0.525709,-0.501662,0.836175,-0.536353,1.562553,-0.681273,-0.998639,1.365675,-1.179686,0.434854,-0.267268,0.934939,-0.975597,0.905136,1.33512,-1.002115,-0.428609,-0.93097,-0.931579,0.826336,0.438301,1.576981,-0.131177,-1.371161,P
-0.86443,-0.412395,-0.942793,-1.446078,1.030854,0.056791,-0.037301,-1.109919,0.010496,1.36208,-1.08574,-1.357416,0.448809,0.116129,-1.284635,-1.003546,0.456727,0.707988,0.227738,-0.480682,-0.02227,1.709251,-0.853646,-0.646362,1.123588,N
-0.568301,-0.4432,-0.099357,-1.031441,0.886481,1.209246,0.234389,0.984661,1.079411,-0.734852,1.319174,-1.108719,1.336007,0.217284,-1.271144,-1.627883,-1.320065,1.176347,0.701634,0.786423,-1.404599,-0.782998,0.619412,-0.04826,-1.488616,N
-1.127957,-1.182732,-0.29323,0.727315,1.75008,0.579839,-0.077248,-1.288315,0.238272,0.050281,-1.62406,0.509179,0.710932,-0.049906,1.448386,0.861642,0.205014,1.503363,-0.148732,1.151075,0.805335,0.076675,-0.04698,1.059697,-1.374844,N
