"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","binaryClass"
0.700635,0.441602,1.494098,1.360279,-1.313559,-0.57002,-1.141491,-0.199151,0.72628,-1.358638,P
-0.138027,-0.165849,-0.699045,-0.626337,0.102283,0.287011,-1.195182,-1.36572,0.861515,1.040979,N
0.88562,1.128012,-0.990696,-1.806101,1.303365,1.438348,1.387324,-1.551787,-0.037385,1.239042,P
1.873755,1.664205,-1.025388,-1.566213,-1.333236,-1.526744,0.891658,0.467694,0.706546,-1.245633,N
0.239419,-0.243991,-0.728041,-0.532148,-1.6934,1.328736,-0.053328,-0.400746,1.646875,1.504795,N
-0.240246,0.076243,0.026623,-0.379334,0.864989,1.490662,1.038531,0.390184,-0.133911,-0.388133,N
-1.08553,-1.149106,-0.18241,-0.490065,0.862565,-0.563823,-1.040875,-0.190983,0.276588,-1.437508,N
-1.13763,-0.659949,-1.35735,-1.284431,1.301799,-1.212809,1.246786,-1.091367,-1.410107,0.101277,N
0.693528,1.016317,2.417656,1.317228,-0.773966,0.467026,1.592763,-1.409256,0.276911,1.196883,P
-1.15584,-1.656918,-1.136638,0.831733,-1.697125,-0.864759,1.529421,-1.361714,0.141713,0.458725,N
0.192696,-0.189275,0.639121,0.802083,1.575624,-0.635207,0.235642,0.902852,1.67089,0.849421,N
1.539784,0.856332,1.979016,1.463813,-0.892028,0.744839,-1.059946,0.893486,1.054809,-0.002852,P
-1.264815,-1.607822,-0.969329,1.434033,-1.235739,-0.967176,0.963947,1.600954,-1.559479,-0.144314,N
-0.431444,0.068533,-0.142432,0.014624,0.822389,-0.614624,-1.505542,1.720078,-1.516122,-1.343658,N
-1.204219,-1.598016,-0.539299,-0.547221,1.577224,-1.528595,1.374925,1.66822,0.695346,0.486901,P
-0.642212,-0.81532,-0.9239,-1.255617,-0.208852,-1.250542,0.907698,-0.024893,0.882218,1.341894,N
0.367799,0.897008,-0.949419,-1.606018,0.770542,-1.029637,-1.472603,-1.202793,-0.689336,-1.58342,P
-0.02231,-0.27085,-0.248704,-0.134359,-1.660372,1.610503,-0.589417,0.24763,-0.209047,-0.675189,N
-0.818146,-1.290187,-1.545624,-1.653582,-1.023401,-0.866376,0.207736,0.246314,1.15803,-1.653544,N
1.174701,1.316907,1.641455,0.423266,1.014657,0.091236,1.416303,1.596578,0.624009,1.137932,N
-0.597021,-1.33081,-0.390883,1.234717,1.174615,0.681864,-0.162955,-0.109665,0.741806,0.140915,N
0.322168,0.9404,1.875606,1.466231,-1.539543,-1.095225,-1.407089,-0.417953,-0.859091,-1.561428,P
1.384058,1.419009,2.444133,0.999338,1.106649,0.87759,1.394127,-1.202671,-0.373602,0.32072,N
2.051475,1.48188,3.139828,1.506954,-0.909085,-0.6078,0.425967,-0.053813,-0.899245,0.65165,N
0.113491,0.728341,1.685319,1.393823,-1.122222,0.870293,-1.65227,-0.399611,0.045137,-0.391641,P
1.129911,1.549893,0.341203,-0.685193,1.229068,-0.292086,-1.278764,-0.717017,1.48383,1.617854,P
-2.084334,-1.464925,-0.911012,1.332664,-0.192381,-0.173148,1.088236,1.683295,0.371823,0.186605,N
1.22319,1.129282,0.490368,-0.142226,-1.155951,1.003467,1.089043,-1.162757,-1.243667,-0.186482,P
1.023483,0.480905,0.822907,0.525609,-1.364034,-0.292452,1.668232,-1.467658,0.235177,-0.975228,P
-0.28797,-0.013839,-0.670427,-0.884247,-0.911586,0.695534,-0.532067,0.544002,0.81158,0.923524,N
1.657383,1.672384,2.55249,1.410662,-1.623946,-1.389069,0.057383,1.1483,-1.310409,1.385613,N
0.352676,0.76008,0.154068,-0.464956,0.714675,0.147674,-1.177366,-0.10371,-0.635953,-1.363073,P
-0.042573,0.035452,-0.588808,-1.025338,1.051864,-0.542306,0.378591,0.224905,-0.587879,-0.391732,N
0.209945,-0.652196,0.587868,0.665372,-0.887901,1.406658,0.668098,-1.280665,0.624714,1.556183,N
0.888927,0.959224,1.666314,1.150051,-1.715514,0.465691,0.836531,0.63476,0.026093,-1.33161,P
-1.213516,-0.397917,-0.597323,-0.07931,0.28098,1.50215,-0.100065,-0.041747,-0.13799,1.602588,N
1.517214,1.54557,-0.990838,-1.6047,-1.153399,0.344089,-1.027436,-0.121288,1.264583,1.152828,N
-0.690912,-0.393399,0.058838,0.741594,-1.616638,0.460126,0.248165,1.652387,-1.366609,0.879918,N
-0.206745,-0.384833,-0.535979,-0.627954,-1.133746,0.37707,-0.789814,-1.465222,1.209493,-1.132732,N
0.27337,0.871391,1.011298,-0.330306,-1.435202,1.374966,1.039726,1.142245,-1.339367,-1.498787,P
1.052929,0.392731,-0.982477,-1.490884,-0.819008,-1.159326,1.236906,-0.451279,1.084984,-1.162267,P
2.303135,1.665705,0.938046,0.156872,-0.280603,0.464631,-0.336637,1.390886,-1.260688,1.063112,P
