"oz1","oz2","oz3","oz4","oz5","binaryClass"
-2.72467,-2.027091,-1.340153,0.868576,-1.140309,P
0.380456,1.287727,0.273465,-0.904228,0.148736,P
0.548605,1.311239,2.733701,1.492493,2.216779,N
-2.011079,-1.200252,0.286613,0.566284,-0.668602,P
1.403679,1.424024,-0.434925,-0.586486,-0.016371,N
-1.072412,-1.227407,-0.995505,-0.504136,-0.820626,N
0.438254,0.232691,-0.172789,-0.713255,-0.063855,P
-0.222709,-0.979625,-0.767025,0.041497,-0.633481,N
0.045781,0.108382,0.505136,0.565359,0.07947,P
-0.929113,-0.734065,-0.49726,-0.671968,-0.59933,N
-0.96297,-1.797335,-0.618564,-1.128192,-0.706615,P
0.363835,1.037683,-0.543847,-1.624635,-0.405086,P
0.944207,1.256695,-0.316437,-1.110877,-0.051989,P
2.037131,1.234058,0.994996,-0.091865,1.895899,N
1.343759,1.392635,1.634525,1.064851,1.792919,N
-0.863047,-0.865369,-0.509385,-0.354076,-0.743255,N
-0.654863,-0.30761,-0.14184,0.732775,-0.191896,N
-0.459037,0.22568,1.325002,1.741066,0.335403,N
-1.008237,-1.059609,-1.109398,-0.565407,-0.768538,N
-0.368802,-0.92768,-0.551882,0.705451,-0.76561,N
0.389379,-0.112373,0.578665,0.06204,0.542069,P
-0.542342,-0.006146,-0.553073,-0.277317,-0.813789,N
-0.596901,-0.927696,-0.288263,0.661119,-0.479984,N
1.408451,1.393707,2.556489,1.364984,3.013349,N
-0.734292,-0.440261,-0.228608,-0.098688,-0.241033,N
-0.592256,-0.644573,-0.228013,1.396335,-0.383704,N
0.948594,0.144843,0.743359,1.058986,1.003306,P
-1.034722,-0.848772,0.080909,1.411066,-0.201355,N
-0.138398,0.256905,-0.701695,-0.700736,-0.73588,P
0.115924,0.626291,-0.801286,-1.220727,-0.466778,P
-1.78438,-1.728982,-0.51476,-0.616984,-0.651253,P
-0.428133,-0.084141,0.793493,0.48949,0.102152,N
-0.49793,-1.086094,-0.65191,-0.183769,-0.745263,N
1.225324,0.891427,1.322072,0.354655,1.49854,N
-1.30986,-2.001207,-1.132687,-1.071774,-0.670642,P
-1.546835,-0.91956,-1.533488,-1.672947,-1.227656,N
-1.416682,-1.706836,-0.553148,1.126452,-0.755402,N
-0.987526,-0.649345,-0.710209,-0.369206,-0.762643,N
0.721778,1.17504,1.010798,-0.048894,1.126546,P
