"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","binaryClass"
0.704483,1.14955,0.656862,-0.176072,0.521063,0.6981,-1.159289,-0.422881,0.719941,0.745729,P
0.392924,-0.043664,-0.310236,-1.313376,-0.474012,-0.748451,-0.538037,-0.479377,-1.456045,-0.073238,P
-1.384145,-0.949839,-1.364541,-1.325709,-0.887728,-1.485136,0.292112,0.083464,-0.522542,1.517787,N
0.87749,1.677647,0.696616,0.195874,0.702892,1.569207,1.505988,0.985557,-0.99202,-0.141155,P
-0.25914,-0.905935,-0.636095,-0.339005,-0.541799,-0.041791,-0.901009,-1.561075,0.29683,-1.084278,N
-1.838091,-1.793846,-0.771661,-0.554281,-0.79408,-0.052422,-0.48154,0.019818,-1.558579,-1.661936,P
-0.855772,-0.387296,-0.220369,-0.581764,-0.428068,-0.1549,-1.646843,1.654485,-0.367384,1.382394,N
-0.359891,0.371541,-0.703939,-0.666856,-0.415041,1.277586,1.366366,-1.104586,-0.766601,-0.536141,N
1.473338,1.586251,1.717201,0.770172,2.003042,-0.248305,-0.498148,-0.456419,1.549641,-1.468482,N
-1.88634,-1.374612,0.092466,1.441013,-0.735924,1.273117,-0.338304,1.226742,-0.865475,-0.946251,N
-1.873142,-1.433466,-0.599594,0.429473,-0.960321,0.916058,0.765857,-0.743188,-1.100585,-0.462196,P
-0.134206,0.761143,1.582486,0.937984,0.893766,-0.499639,-1.248539,0.254152,-1.359428,-0.057349,N
0.375582,0.992482,0.706906,1.036691,0.546168,0.848666,-1.008413,-0.779387,0.132401,1.464763,P
1.744011,1.293339,0.570783,0.340134,0.901239,0.832423,-0.520005,-0.508476,-1.183732,-1.407916,N
-1.308802,-1.20706,0.044814,1.088978,-0.793462,1.60789,-0.408943,-1.275028,1.102192,0.716215,N
-1.015448,-1.31853,-0.749478,1.556467,-0.560822,1.682487,-1.272059,0.316457,0.731106,1.706634,N
-1.023522,-0.449188,-1.310209,-1.275988,-1.024334,1.101962,-1.234343,1.362874,1.579288,1.057326,N
-0.317209,-0.113356,-0.572747,-0.441862,-0.608623,1.116826,0.082591,-1.307751,1.011478,1.082824,N
1.318779,1.668353,3.356646,1.67951,3.688963,0.723706,-0.692143,-1.170118,0.659424,-0.949725,N
0.94751,0.579086,1.452337,0.420045,1.451464,-0.432202,-0.161248,0.099112,-0.380478,0.77732,P
-0.131701,-0.816657,-0.779774,0.050376,-0.804625,0.376296,0.340215,0.012727,0.735789,1.403663,N
-1.466633,-0.849505,-0.925799,-0.773188,-0.883903,-1.759653,-1.486149,-0.012468,0.679251,1.285029,P
0.569661,0.993844,-0.042847,-1.494303,0.030384,-1.120127,0.896282,1.602055,-0.715567,0.432069,P
-1.193725,-0.48265,0.678072,1.683873,-0.591944,-1.178567,-0.987298,-1.145597,-1.443247,0.918639,N
1.540405,1.476871,-0.574632,-1.110277,-0.56799,1.019456,0.216137,0.993698,0.748921,-1.438989,P
-0.529081,-0.71257,-0.462964,-0.608916,-0.633269,-1.593438,0.985077,1.264123,1.336836,-1.509378,N
-0.003817,-0.537927,0.232792,1.553502,-0.009182,-0.769091,-1.093567,0.422077,0.46652,-0.543269,N
1.365214,1.178524,0.084242,-0.986626,0.604958,0.320338,-1.528313,0.484204,-0.520011,0.694314,P
-1.771248,-1.762048,-0.921705,-1.492003,-0.911579,-0.140294,0.450826,-0.583921,1.484398,-0.886778,P
-0.72614,-0.277812,-1.272197,-0.95351,-0.82512,-0.301915,-1.202421,1.653765,0.731864,0.447706,N
-1.400685,-1.584758,0.021453,-1.249934,-0.856375,-0.548018,0.161261,-0.225572,-0.238767,1.284555,P
0.784589,-0.06032,-0.402801,-1.384111,-0.432626,-0.069801,0.179934,1.186989,1.366924,0.006382,P
-0.203201,-0.464849,-0.084065,-0.183547,-0.178219,-0.068248,-0.57658,-1.536344,0.507306,0.995217,N
1.505896,1.366623,1.14629,0.222882,1.537549,0.164135,-1.868611,0.674662,-1.02396,1.502667,N
2.264409,1.51898,2.12698,1.188484,3.128966,-0.613632,-0.876313,1.473248,0.342719,-0.515347,N
-0.11077,-0.317103,-0.691405,-0.874848,-0.328355,0.109876,0.184251,0.426765,-1.208351,1.260005,N
-0.268885,-0.024192,-0.45856,-0.49167,-0.293817,0.088235,0.299093,-1.235148,1.689575,1.338917,N
-1.235151,-0.917673,-0.617441,-0.058017,-0.308177,0.019649,0.090186,0.807092,1.00715,1.227774,N
1.143665,1.092937,0.676001,0.544033,0.944252,-1.591075,0.725486,-1.782077,0.612264,1.604198,P
-1.587813,-1.694931,-0.932029,-0.476297,-1.157293,-0.043327,0.03728,-0.67876,-0.267183,1.252128,P
