"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11","oz12","oz13","oz14","oz15","oz16","oz17","oz18","oz19","oz20","oz21","oz22","oz23","oz24","oz25","binaryClass"
-0.868838,-0.618628,-1.287266,-1.121316,-0.672739,-0.528641,-0.98488,0.100373,-0.955067,1.440395,-0.573978,-0.821934,-0.090249,-0.352523,-0.13536,0.977492,-0.08063,0.1014,-0.169973,-0.677561,0.416573,-0.347993,1.511708,1.472873,0.84013,N
-0.616529,0.051046,-0.013462,-0.791437,-0.323894,-0.831016,0.218249,-0.557826,-0.270937,-1.361456,0.878413,0.629066,0.324886,-0.83284,-1.481308,-0.035047,0.889076,-1.169758,0.277079,1.269726,0.945208,0.975509,-0.549905,-1.501052,0.468032,N
0.033366,-0.31735,0.837626,1.692564,0.374078,0.97077,1.188004,1.578739,1.333895,-1.024305,-1.581818,-1.070441,1.479181,-1.51801,1.602138,-0.436827,1.19522,-1.066352,-1.470045,-0.927304,1.272452,-0.696068,1.178845,0.099276,0.662233,N
-1.808085,-1.685737,-1.641641,0.467749,-0.798253,-0.838413,-0.755437,-0.167433,-1.242151,-1.441277,-0.915473,0.907281,-1.435262,0.220818,0.741883,0.371396,-0.054639,0.572871,0.153589,0.448436,0.965194,-1.242392,0.920172,-0.949966,0.858088,N
-0.445973,-1.011059,0.185564,0.308827,-0.060178,-0.004511,0.021175,-0.480405,-0.6385,-0.921734,1.074549,-0.268427,-1.386958,0.007881,-0.473293,1.649092,-0.393212,0.454743,-0.733829,0.134782,0.708855,1.44636,-0.690667,-0.921904,-0.045864,N
-0.376415,-1.035831,-0.588405,-0.302542,-0.749338,0.198468,0.747468,0.917785,-1.293177,-1.313611,0.166037,-0.254505,-0.717559,-0.039806,-0.749861,1.611833,-1.274899,1.079853,0.29552,-1.512534,-0.392032,-0.365151,1.718153,-0.020583,0.816096,N
1.37952,0.794369,1.289639,1.234571,2.192074,1.960702,0.887438,1.542536,-1.162869,1.372474,-0.607736,0.689235,0.563952,1.020729,0.06337,-1.116679,-0.125205,0.344902,-1.295954,0.904107,1.71512,1.032071,0.187746,0.292744,1.146569,P
0.13389,-0.112052,-0.686801,-1.08902,-0.427209,-1.119271,-1.570516,-1.210516,-1.108815,0.234849,-1.050136,0.387827,1.566093,-1.299815,-1.353195,0.382098,-0.544235,1.143639,0.587251,1.286763,-0.329746,-1.251985,-1.219778,-0.430945,-0.803467,N
0.697169,0.962601,-0.2494,-0.294607,0.443234,1.934873,1.105962,0.608261,0.089873,0.385576,-0.487011,1.43221,-0.170351,0.293538,-1.497952,-1.577831,-0.343229,1.178594,-0.355674,0.21201,-0.836543,-0.673607,0.438991,0.064947,1.177757,P
1.247926,1.009168,-0.237942,-0.726742,-0.363344,-0.410142,-0.670076,-0.97682,-0.052768,0.720642,1.243116,0.332524,-0.782393,-0.274802,1.114503,1.367183,1.195641,0.685564,-1.442267,1.3412,-1.071887,-1.560605,-0.816753,0.546796,0.948339,P
0.300698,0.827759,2.384832,1.609735,1.951392,0.645586,1.609943,0.064319,-0.159053,-0.000069,-0.746009,-0.83529,1.414871,0.337308,-1.440515,1.702889,1.361967,0.335728,0.944768,1.079115,-0.521468,0.245358,-1.670946,0.796221,1.456801,P
0.223748,0.284394,1.891037,1.510866,2.200338,-0.259573,-0.440817,-0.362805,0.260542,0.544461,-1.376271,1.297303,0.58485,-0.856181,1.079814,-1.513432,0.088771,1.40213,0.093381,-0.240726,-0.558641,-0.738763,1.337067,0.00035,0.328348,N
1.459875,1.266789,-0.951415,-1.157147,-0.765786,-0.832238,-1.219278,-1.491359,0.370412,-0.517013,-1.127174,1.306029,-1.363573,1.557796,-0.88676,-0.32343,0.464392,-1.333193,1.739175,1.587511,0.265394,-0.849793,-1.439606,-0.328481,-1.350169,P
