"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11","oz12","oz13","oz14","oz15","oz16","oz17","oz18","oz19","oz20","oz21","oz22","oz23","oz24","oz25","oz26","oz27","oz28","oz29","oz30","oz31","oz32","oz33","oz34","oz35","oz36","oz37","oz38","oz39","oz40","oz41","oz42","oz43","oz44","oz45","oz46","oz47","oz48","oz49","oz50","oz51","oz52","oz53","oz54","oz55","oz56","oz57","oz58","oz59","oz60","oz61","oz62","oz63","oz64","oz65","oz66","oz67","oz68","oz69","oz70","oz71","oz72","oz73","oz74","oz75","oz76","oz77","oz78","oz79","oz80","oz81","oz82","oz83","oz84","oz85","oz86","oz87","oz88","oz89","oz90","oz91","oz92","oz93","oz94","oz95","oz96","oz97","oz98","oz99","oz100","binaryClass"
-1.118728,-0.724287,-1.038581,0.205875,-0.420505,0.057345,0.407036,0.455303,1.745711,-0.360148,0.934168,-1.347864,0.954271,1.063187,0.387952,0.847214,-0.134438,-1.829873,1.222682,0.398204,0.638386,-1.066323,1.544921,0.469084,1.528521,-1.378969,-0.862978,0.82289,0.839723,0.322388,0.58922,-1.494242,-0.956426,1.314696,-0.426071,1.441484,-1.126006,1.599795,-1.23913,0.107785,0.247096,0.890098,0.686247,1.755188,-0.790932,1.412901,1.310619,-0.924648,-0.926686,1.655691,-1.654334,0.651553,1.564784,1.199388,0.759266,-0.920857,-1.57,0.249005,1.445094,-0.672634,1.508098,0.217463,-1.271525,0.826473,0.64743,1.226057,-1.339623,-0.005017,-1.083002,-1.629923,0.205597,0.404561,-0.319668,-0.273103,0.350145,-0.009176,-0.681815,-1.589488,0.985754,1.226239,0.937927,-0.870856,-1.59343,0.849105,1.698654,0.067673,-0.816374,0.79164,-1.424218,0.90191,0.714542,1.389166,-0.73431,-0.385596,-1.518273,0.301833,1.217717,-0.000815,0.41503,-0.764695,N
1.452199,1.226982,0.432366,-0.16425,0.686557,2.298561,1.49551,1.154083,1.520411,1.285992,-0.640017,0.137824,1.518362,1.033947,-1.002414,1.060313,-1.233267,0.102193,1.218135,0.485249,-0.812372,-1.432969,-1.174998,-0.445636,-0.112705,-0.414197,0.627104,0.673639,-1.649914,-1.583357,0.390252,0.254386,-0.820066,1.338158,0.384978,1.018554,-1.174096,-0.260078,1.172046,1.613502,0.420761,1.510047,-0.248252,-0.652151,-0.885069,1.335511,-0.72958,1.557731,0.500729,-1.159354,0.223309,1.307489,-0.328282,1.348878,0.312415,-1.62627,-1.032986,-1.401732,-0.435393,1.421353,1.312752,-0.764528,0.944786,-0.865557,0.846331,-0.24339,-0.802319,0.251499,0.631625,-1.684948,-1.372361,0.950241,-0.979913,0.50432,0.189848,-1.19632,-1.048867,-0.688877,1.614217,-1.042954,0.3286,0.056615,-0.596673,-0.891823,0.186999,-0.495205,0.233072,-0.736448,-1.505102,0.42854,-1.466148,0.966334,-0.559876,-0.026747,-0.395468,-1.001281,0.927244,0.536745,1.739263,1.55017,P
-1.121631,-1.227564,-0.738184,-0.30733,-0.78938,-0.429276,0.368283,-0.929373,1.740715,0.76699,0.764682,-1.092789,-0.762303,-1.294756,0.366044,1.114738,-1.418675,1.059917,-1.012616,1.579066,0.319426,0.465403,0.614485,-1.239856,-0.634586,-0.958888,0.239408,0.122025,-1.008437,0.420276,-1.606111,1.647316,0.903227,1.377595,-0.576691,-0.927073,1.058561,-1.206364,-1.234067,-0.564513,0.684721,-0.602876,1.549225,-1.580845,-1.668842,-1.375771,-1.111872,1.284759,-0.068577,-1.61959,-0.512874,-1.452787,1.067541,-1.004066,-1.120458,-1.389106,-1.084281,-1.647005,0.499893,1.734447,-0.407034,-1.114985,0.91486,1.657316,-0.836348,-0.990096,0.021987,0.967511,1.383794,-1.383182,1.607754,-1.78681,1.550887,1.609792,-1.051428,0.763368,-1.131395,-1.199838,0.780891,1.091067,0.710275,-0.241692,0.500031,-1.569883,-1.036513,-0.780095,-1.341691,1.175333,-1.217037,-0.525522,-0.693934,0.577231,-1.525578,0.63674,-0.227347,0.07209,-0.691946,-0.70677,0.263493,-1.357008,N
0.088206,0.532372,0.655554,-0.465783,0.185025,-1.186614,-1.39961,1.496654,0.601124,-1.506505,-0.681219,1.545348,0.879968,1.293366,0.038092,1.33109,1.002442,0.738606,-1.476704,-1.45098,0.867551,0.38434,-0.88393,-1.265679,-0.969662,1.574855,0.033511,-0.690483,-1.182846,0.153989,0.106386,0.235319,-1.381023,0.306389,-1.377453,1.428774,0.906683,-0.35203,0.855757,-1.521083,1.531671,0.564775,-0.725441,-0.908755,-0.115931,0.988065,0.978065,-1.111029,-0.266687,-0.515901,-0.227479,-0.844094,-1.506474,1.258624,0.815508,-0.522789,-1.230103,0.645854,0.622117,-1.039244,-1.09047,1.705887,0.987228,-0.004958,-1.161716,1.621,-1.645427,0.419789,0.0181,-0.347589,-0.112825,-1.279379,-1.415968,1.559139,-1.498415,1.437557,-0.269223,1.23235,-0.354479,1.453025,0.457752,0.549598,0.759994,-0.050551,0.982909,1.273891,-0.44211,-1.267165,-0.400392,1.751008,0.460744,0.268822,-0.838924,-1.496195,-1.390008,0.712423,1.059563,0.394879,0.141723,-0.742336,P
0.33265,1.117254,2.160673,0.906311,1.357472,0.050635,-0.107129,1.179136,-0.62525,-0.274265,1.207658,0.109932,0.48012,0.547788,-1.580943,-1.617565,0.3156,0.926451,-0.133277,1.611256,-0.306543,-0.059522,0.986393,-0.744771,-1.658599,-0.003339,-1.319636,-1.210475,-1.468342,0.529835,-0.957298,-0.45668,1.54372,0.086414,1.532689,0.97078,-0.134388,-0.920857,-0.746912,1.626899,-0.919273,1.440323,-0.404306,0.342205,-0.487813,1.417406,0.620565,-1.558598,1.366878,0.061954,-0.12623,1.391118,1.423169,0.467889,-0.520759,0.70869,0.263986,-1.304831,-0.180757,0.446118,-0.4826,-1.003311,1.654243,0.360053,-0.905356,0.803364,1.034991,1.120788,0.850737,1.033491,-1.772839,1.079982,1.085432,-0.377402,-0.403061,-1.739221,0.922282,-1.144587,-1.212598,-1.151468,0.696397,-1.600386,-0.596774,0.604529,-0.001819,-1.749175,-1.045114,-0.159116,-0.03202,-0.672754,-0.889627,0.921555,-1.766413,0.38043,-0.910204,0.99688,-1.461498,-1.661928,0.947162,0.477083,P
1.426124,0.803177,0.675347,-0.21457,0.707468,-0.828945,-1.418355,-0.551538,-1.522819,1.081346,-0.822905,-1.152144,0.487063,0.556588,1.108437,0.900436,-1.076705,-0.350381,-1.54933,-1.615429,0.762609,1.654885,1.498902,0.580421,0.513345,0.304163,0.824933,1.370288,-0.420116,-0.579939,-1.11379,-1.312625,-0.750549,-0.393026,0.200665,-1.010377,-0.771081,1.689377,-1.07993,0.979637,-0.464812,0.028315,-1.346662,0.623813,0.384514,-0.363917,1.493857,-0.764742,-0.018087,0.313157,0.572294,-1.585148,-0.959046,-1.148746,0.104394,1.072785,-0.218955,0.52939,1.150302,-0.634708,1.361584,-1.251958,1.122749,-1.09121,-1.172056,-1.468378,-0.020778,0.300826,0.806973,-1.528843,-0.406129,-0.285877,1.306664,0.677053,-0.837725,-0.648169,1.664333,-1.34332,-0.600391,1.240584,-0.753544,1.353435,0.432972,-1.431054,0.788213,-1.315662,0.501399,1.048962,-1.006304,-1.535982,1.676255,1.032637,-1.068857,-0.789239,-1.459979,0.454033,-1.327614,-0.035362,-1.082173,1.086261,P
-0.730394,-0.31353,-0.327869,-1.397013,-0.601984,-0.342909,0.472439,-0.360738,0.354805,-0.888024,-0.268228,1.246537,-0.036922,0.305994,-0.798039,-0.5746,0.286707,0.472018,-0.888353,-0.802659,-0.870855,0.940579,-0.388465,-0.100156,-1.347136,1.299818,1.360854,0.483463,0.554598,-1.168188,-0.408639,-0.852609,1.337037,-1.235351,-1.303334,-0.935695,-1.385648,-0.37418,-0.768022,-0.502804,-1.41972,-0.607527,-0.028455,-1.333862,-0.069643,0.894926,-1.562111,1.067377,-0.582297,-1.612179,1.441438,1.268574,-0.268373,-0.144021,1.197159,1.618617,1.065219,0.939082,0.130292,0.221157,-0.036922,-1.590328,-0.698237,0.073429,-1.101963,1.255886,0.842016,-1.28598,0.936361,1.089594,0.753555,0.82631,0.758667,-0.454417,-1.292353,-0.551019,1.26134,-1.382873,-0.585078,-1.552406,0.650979,-1.015216,0.86753,1.363498,1.288572,-1.453445,0.475365,-1.323663,-0.53898,0.665821,-1.225536,-0.868246,-0.043678,0.335935,0.315203,-1.230076,-1.682957,-0.554668,0.99716,0.257646,N
-0.01135,-0.062438,0.416201,0.679088,0.253902,1.924183,1.506374,-0.035197,-0.855007,0.932246,-0.338703,-0.799382,-1.588176,-1.591746,-1.436519,1.407787,0.966228,0.110873,0.814248,-0.474799,0.214874,-1.098071,0.54857,-1.049024,-1.412356,0.499556,0.17865,-1.042169,0.187916,1.08062,-0.489582,-0.650345,1.364459,-1.233932,-0.281554,0.434643,1.027663,1.599741,-1.394348,-0.155598,-0.228241,0.636841,0.486862,-0.793269,-1.591406,-1.025388,-1.44209,1.231478,-0.209712,0.644992,-1.466454,-1.185451,1.590565,-0.548609,-0.226436,-0.418976,1.073071,0.973446,-1.152715,0.693661,1.736241,0.580085,-0.113545,-0.335705,0.47373,0.450548,-1.385304,0.998291,-0.816689,1.503489,0.779621,0.988224,-1.910105,-1.625123,-0.688191,0.891954,-0.100865,1.46291,0.220593,0.25997,-0.919717,-0.385139,-1.470073,-0.843769,-1.141526,0.947649,1.213954,-0.816118,-0.35972,-0.99279,-1.231354,-0.041801,-1.580798,-1.320585,1.554578,1.264769,-1.420852,-1.085253,-0.860267,0.385304,N
-1.075962,-1.286075,-1.416353,1.120376,-1.101647,0.608548,0.911497,0.156386,0.124881,-0.052094,-1.545533,0.917432,0.138319,1.065282,0.431736,0.504758,1.466466,0.862152,0.754575,1.398686,0.192364,0.834872,-1.214925,0.142129,0.8941,-1.531742,-0.750318,0.874489,-0.274798,-1.350712,0.045329,0.356753,0.614277,0.506499,-0.665773,0.626032,0.261554,-1.187517,0.795884,-0.149161,0.560874,1.560467,1.042986,0.965563,1.048308,-0.258533,0.64382,1.687363,1.392342,1.644549,1.306313,-1.108148,0.963932,-1.289116,0.693714,1.247835,-0.047544,0.51759,0.293872,0.761683,-0.743313,-0.551887,-0.208159,-1.855988,0.607951,1.034412,-0.385156,0.099459,1.424269,-1.273836,0.297241,-0.286704,-0.17877,0.064672,-0.753422,-0.521063,1.66549,1.325837,0.661036,-0.832728,1.012392,-0.611216,0.79215,1.379605,0.251254,-0.580846,-0.046021,1.52617,1.427647,0.295231,0.04766,0.517776,-0.5429,-1.506907,0.060633,1.241786,0.651327,-0.032629,-0.299714,1.369888,N
1.266536,0.975876,-0.194255,-1.235498,-0.064674,-0.781359,1.366458,-0.660792,-1.435906,-1.564823,1.072966,-1.412076,-1.467689,-0.559642,-1.352955,0.393042,1.355217,1.101732,0.340752,-1.383674,-0.072435,1.122917,1.448032,-0.149387,-0.866364,-0.673696,-1.04385,-0.608673,1.44007,-1.237128,0.225424,0.223854,-0.590052,-0.389347,-0.978722,1.561913,0.026441,0.92761,-0.970539,0.85156,-1.194605,0.195952,1.350662,1.499694,1.245117,1.281529,-0.520174,0.435157,-1.326507,0.117258,-0.776315,-1.092061,-0.34174,0.913272,1.604435,-1.643013,0.468977,-1.659783,1.684987,0.992217,-0.119541,-0.836684,1.680795,1.021318,-0.599584,-0.126379,-0.179645,1.076398,1.495181,-0.374633,1.535362,-0.89984,0.385991,-0.393334,0.686481,-0.764919,1.139366,-0.333186,0.318464,-0.381069,1.258703,-1.573274,-1.29053,0.096437,-0.527196,-0.001217,-0.529156,-0.691088,-0.379957,0.887473,0.979341,-0.024058,-1.328428,0.687221,0.90223,-0.768929,0.132948,-1.530647,0.335967,1.081172,P
