"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11","oz12","oz13","oz14","oz15","oz16","oz17","oz18","oz19","oz20","oz21","oz22","oz23","oz24","oz25","oz26","oz27","oz28","oz29","oz30","oz31","oz32","oz33","oz34","oz35","oz36","oz37","oz38","oz39","oz40","oz41","oz42","oz43","oz44","oz45","oz46","oz47","oz48","oz49","oz50","binaryClass"
0.252792,-0.066031,-0.081809,0.857598,-0.028858,-1.084127,-1.221356,0.854503,1.268188,-0.878433,0.766283,0.473281,0.090408,0.054917,-0.035376,0.463958,-0.038052,-0.045226,-0.656751,-0.904718,-0.300444,-1.131355,1.103299,1.448341,-1.425255,1.727482,0.477432,-0.699411,-0.64858,-1.742452,-1.160002,0.824163,-1.161566,1.057437,-0.037039,-0.550589,0.215009,-1.179044,-0.540935,-0.406862,1.159631,1.598964,-1.261406,-1.783371,-0.879496,-0.054819,0.695914,-0.450824,-1.200167,0.1244,N
0.861756,1.253035,-0.96371,-1.666306,-0.630229,-0.112561,-0.572763,-1.040838,-1.567513,-0.633702,1.681012,0.794531,1.303449,-0.485045,-1.048207,-0.227639,0.113836,1.030021,-0.339532,-1.310489,1.742646,0.473233,1.578106,1.383516,-1.571387,0.728357,0.158223,1.135857,1.332321,-0.892087,1.522753,-0.403603,-0.829627,0.608239,-0.858341,1.321734,-0.459817,-0.405451,-1.233526,-1.590269,1.417186,1.333146,0.558724,-1.496051,0.33887,-1.018087,-0.889096,0.224999,0.038355,0.902288,P
1.361428,1.386206,1.518705,0.495908,1.888396,0.072442,-0.472785,0.876324,1.309407,1.043455,1.008107,-1.702391,-1.178226,-0.716075,1.191383,-1.28529,-1.585228,-1.432436,-1.017163,1.117022,0.781692,0.09203,1.12712,-1.099412,0.329501,1.428986,-0.368051,-1.805363,-1.205465,1.605414,0.731231,0.110462,0.171314,1.271581,0.691101,-0.545403,1.227382,1.07002,-0.977659,-0.871008,-1.515909,0.46553,1.167626,-0.801438,-1.204741,1.088653,-1.196387,0.611464,1.337136,-1.147917,N
0.413137,0.52618,0.378707,-0.365868,0.044452,2.201839,1.240474,0.703606,-1.059408,1.581334,-1.044637,-0.377513,-0.143203,0.817233,-1.676501,0.434125,-1.39417,0.487476,-1.570628,0.832451,-1.317592,0.45236,1.426137,-0.822976,0.237449,1.591487,0.33502,-1.372218,-0.737973,0.430235,-1.451947,0.408538,0.517094,-1.135611,-0.639678,1.282213,1.183381,-1.452161,-0.42448,-0.885911,-0.937581,-1.185237,-1.197919,0.562216,-1.269991,-1.130391,1.479509,-1.418695,-1.203118,-0.971059,P
-1.301304,-1.019025,-0.84207,0.00879,-0.980466,0.787375,0.506337,1.403934,0.097702,-0.802244,-1.422199,-1.133194,-1.594039,1.130389,-1.356222,1.453095,0.793905,-0.639618,-0.985898,-0.921815,0.72034,-0.725148,-0.054677,-0.8144,1.627697,0.540904,0.875244,0.68396,-0.389373,-0.763346,1.273407,0.173319,-1.182188,0.055971,-1.066254,1.37635,-1.12084,-0.714985,-1.15751,-0.661591,-1.383039,-0.704205,-0.878889,0.529156,0.835071,0.053603,0.948153,-1.533102,0.254868,0.047375,N
-0.02886,0.639167,0.612763,0.101557,0.379787,-0.666578,-0.820225,0.98745,1.440252,-0.288656,-1.323171,1.32962,-0.728625,0.531041,-0.401511,0.604962,0.078844,0.532411,0.070793,-0.018305,-0.488408,-0.641351,0.721379,-0.959604,1.133417,0.67228,-0.388387,1.190273,0.093709,-1.373981,0.935899,1.368402,-1.595434,1.361449,0.236023,1.6316,1.12971,0.960108,-1.775622,0.881108,-0.653649,-1.743392,1.750242,-0.444087,-1.02645,1.076666,1.11513,-0.346481,1.300163,1.265391,P
1.636871,1.254682,1.958901,0.771945,2.689888,-0.278103,-1.650713,0.367505,1.334345,1.603396,0.701898,0.907405,1.641556,0.636157,0.155709,0.79213,-1.150759,-0.117156,1.044385,1.098145,-1.00004,0.656305,-0.592457,-0.473079,0.797437,-1.738791,-0.264897,0.359364,-1.433772,1.229172,-1.566555,0.765064,-0.25286,-1.632198,0.47629,0.237072,0.85565,-1.138156,1.006906,-1.193721,-0.970417,1.678542,0.437435,-0.696982,-1.511734,1.494576,1.045009,0.561171,-1.014084,-0.823846,N
1.488813,1.049433,1.140897,1.434485,1.497781,0.093868,0.592816,-0.191702,0.205394,0.210905,0.205882,-0.232324,0.174243,-0.421675,-1.395286,-0.081443,0.208868,-0.669924,-0.857926,-1.383914,-0.048343,0.335048,-0.812856,-1.067068,0.209266,-0.66391,0.626166,-0.379222,-1.429019,-0.128509,-0.389552,-1.089655,1.324959,-1.558153,0.423905,-0.835591,1.398518,0.380468,0.415978,-1.162865,0.93458,0.678351,-1.579506,-1.528945,1.188703,1.330941,-1.203317,-0.138752,-0.861361,0.810226,N
2.230696,1.643925,-0.359643,-0.859162,0.074415,1.889009,1.527174,-0.57293,0.297323,1.777421,-0.050414,0.696168,-1.253176,-0.864991,-1.216703,0.883283,-1.102951,0.498194,-0.421519,0.784836,1.605548,0.927376,0.480212,-0.544474,-1.262597,1.351891,0.28144,-1.7591,0.841626,0.225191,-0.885366,-0.559533,-1.215372,0.939543,-1.219543,0.736897,-0.865837,-0.495042,-0.640608,1.561038,-0.772062,1.193863,-0.121787,1.294466,1.10187,-0.1866,1.039062,0.002139,0.408362,1.201885,P
-0.908824,-0.598919,-0.891948,-0.515723,-0.914678,0.182181,-0.525057,1.412086,-0.363571,0.748463,-0.790529,-0.206912,-0.939891,0.808891,0.637403,0.695874,-0.927562,-1.332807,-0.134319,0.121804,-0.293347,1.324178,-0.453653,-0.350917,-0.32466,-1.314631,1.656675,-0.365986,1.2442,0.410345,1.163476,0.158278,0.71782,1.633508,-1.153602,-1.183735,-0.985172,0.937642,-1.091467,-0.314069,-0.157215,0.245613,0.088104,0.606914,-1.148712,-0.259051,1.508737,1.432717,0.353848,0.93946,N
