rank;hdi;binaryClass
1;0.116;P
2;0.143;P
3;0.15;P
4;0.15;P
5;0.157;P
6;0.162;P
7;0.2;P
8;0.208;P
9;0.212;P
10;0.212;P
11;0.235;P
12;0.236;P
13;0.239;P
14;0.25;P
15;0.255;P
16;0.258;P
17;0.273;P
18;0.274;P
19;0.282;P
20;0.294;P
21;0.304;P
22;0.304;P
23;0.318;P
24;0.322;P
25;0.328;P
26;0.333;P
27;0.337;P
28;0.354;P
29;0.356;P
30;0.36;P
31;0.369;P
32;0.393;P
33;0.395;P
34;0.404;P
35;0.413;P
36;0.423;P
37;0.439;P
38;0.44;P
39;0.471;P
40;0.471;P
41;0.474;P
42;0.481;P
43;0.481;P
44;0.489;P
45;0.501;P
46;0.506;P
47;0.525;N
48;0.535;N
49;0.548;P
50;0.561;P
51;0.563;P
52;0.576;P
53;0.58;P
54;0.591;P
55;0.592;P
56;0.608;P
57;0.609;N
58;0.646;N
59;0.651;P
60;0.657;N
61;0.66;N
62;0.691;N
63;0.699;P
64;0.702;N
65;0.714;P
66;0.716;P
67;0.719;N
68;0.731;N
69;0.735;N
70;0.737;P
71;0.743;P
72;0.751;N
73;0.752;N
74;0.753;N
75;0.758;N
76;0.759;N
77;0.782;N
78;0.783;P
79;0.784;P
80;0.784;N
81;0.788;N
82;0.789;N
83;0.789;P
84;0.79;P
85;0.8;N
86;0.801;N
87;0.824;P
88;0.824;N
89;0.861;N
90;0.863;N
91;0.876;N
92;0.877;N
93;0.883;N
94;0.885;N
95;0.899;N
96;0.899;N
97;0.903;N
98;0.91;N
99;0.91;N
100;0.913;N
101;0.915;N
102;0.916;N
103;0.916;N
104;0.918;N
105;0.92;N
106;0.931;N
107;0.931;N
108;0.936;N
109;0.946;N
110;0.953;N
111;0.957;N
112;0.961;N
113;0.961;N
114;0.961;N
115;0.965;N
116;0.966;N
117;0.966;N
118;0.966;N
119;0.967;N
120;0.967;N
121;0.97;N
122;0.971;N
123;0.974;N
124;0.978;N
125;0.983;N
126;0.983;N
127;0.984;N
128;0.986;N
129;0.987;N
130;0.996;N
