"obs","e","z","binaryClass"
1,0.057,0,P
2,0.064,0,P
3,0.064,0,P
4,0.066,1,P
5,0.462,0,P
6,0.086,0,P
7,0.114,0,P
8,0.117,0,P
9,0.118,0,P
10,0.119,0,P
11,0.126,0,P
12,0.231,1,P
13,0.261,1,P
14,0.211,1,P
15,0.216,1,P
16,0.218,0,P
17,0.648,1,P
18,0.143,0,P
19,0.144,2,P
20,0.21,1,P
21,0.244,0,P
22,0.53,3,P
23,0.796,2,P
24,1.622,4,P
25,0.561,2,P
26,0.762,0,P
27,1.222,1,P
28,0.513,4,P
29,0.532,0,P
30,0.936,1,P
31,0.503,1,P
32,0.564,0,P
33,0.572,2,P
34,0.583,0,P
35,0.722,0,P
36,0.771,2,P
37,1.873,4,P
38,0.532,0,P
39,0.584,0,P
40,0.672,2,P
41,0.722,1,P
42,0.904,1,P
43,1.236,0,P
44,0.95,0,P
45,1.405,1,P
46,0.776,3,P
47,1.013,0,P
48,0.739,0,P
49,1.77,1,P
50,0.821,0,P
51,1.115,2,P
52,1.164,3,P
53,1.164,0,P
54,1.303,0,P
55,1.774,3,P
56,3.585,1,P
57,1.193,1,P
58,1.213,1,P
59,1.232,1,P
60,1.517,4,P
61,1.52,3,P
62,1.862,3,P
63,1.888,1,P
64,1.247,0,P
65,1.381,2,P
66,1.643,2,P
67,1.66,4,P
68,1.827,4,P
69,1.486,3,P
70,1.593,2,P
71,2.265,4,P
72,1.524,1,P
73,1.759,3,P
74,1.309,0,P
75,1.529,4,P
76,1.677,1,P
77,1.654,2,P
78,1.785,3,P
79,1.979,4,P
80,1.767,4,P
81,2.465,2,P
82,1.75,2,P
83,2.458,4,P
84,2.383,2,N
85,2.717,3,N
86,2.282,0,N
87,2.115,0,N
88,2.852,2,N
89,2.856,5,N
90,3.174,5,N
91,2.369,1,N
92,2.557,1,N
93,3.859,3,N
94,2.641,1,N
95,2.741,1,N
96,3.055,3,N
97,3.513,1,N
98,2.728,2,N
99,3.354,6,N
100,3.814,0,N
101,4.014,2,N
102,2.612,2,N
103,2.815,1,N
104,4.294,2,N
105,3.45,8,N
106,3.628,6,N
107,4.219,1,N
108,3.932,6,N
109,4.082,4,N
110,4.203,1,N
111,4.022,3,N
112,4.636,5,N
113,5.571,2,N
114,6.436,4,N
115,5.344,3,N
116,4.445,4,N
117,4.705,5,N
118,5.039,2,N
119,6.043,6,N
120,5.121,8,N
121,11.26,5,N
122,5.789,0,N
123,6.044,6,N
124,5.569,8,N
125,6.13,7,N
126,6.249,3,N
127,7.002,3,N
128,7.851,9,N
129,9.573,7,N
130,12.05,18,N
131,12.131,17,N
