"year","field_goals","binaryClass"
85,3,P
85,7,N
85,5,P
85,12,N
85,7,N
85,0,P
85,2,P
85,2,P
85,2,P
85,4,P
85,1,P
85,11,N
85,5,N
85,14,N
85,3,P
85,10,N
85,10,N
85,4,P
85,3,P
85,10,N
85,8,N
85,2,P
85,7,N
85,6,P
85,9,N
85,2,P
85,11,N
85,3,P
85,4,P
85,1,P
85,6,N
85,2,P
85,4,P
85,7,N
85,7,N
85,8,N
85,7,N
85,11,N
85,6,N
85,7,N
85,5,P
85,8,N
85,10,N
85,4,N
85,5,P
85,6,P
85,5,N
85,4,N
85,6,P
85,11,N
85,12,N
85,3,P
85,7,P
85,5,P
85,11,N
85,1,P
85,6,N
85,4,P
85,5,P
85,7,N
85,3,P
85,6,N
85,5,P
85,6,P
85,6,N
85,2,P
85,4,P
85,1,P
85,9,N
85,10,N
85,5,P
85,8,N
85,3,N
85,8,N
85,3,P
85,7,P
85,9,N
85,10,N
85,2,P
85,8,N
85,9,N
85,4,P
85,1,P
86,7,N
86,5,N
86,11,N
86,9,N
86,6,N
86,7,N
86,9,N
86,1,P
86,9,N
86,10,N
86,11,N
86,6,P
86,9,N
86,5,P
86,9,N
86,10,N
86,6,N
86,12,N
86,4,P
86,7,N
86,7,N
86,5,P
86,10,N
86,3,P
86,6,N
86,7,N
86,5,N
86,5,N
86,3,P
86,8,N
86,8,N
86,10,N
86,8,N
86,7,N
86,3,P
86,3,N
86,8,P
86,7,N
86,8,N
86,6,P
86,3,P
86,11,N
86,9,N
86,10,N
86,8,N
86,6,N
86,2,P
86,5,N
86,6,N
86,4,P
86,4,P
86,7,N
86,1,P
86,13,N
86,7,N
86,10,N
86,8,N
86,4,P
86,2,P
86,12,N
86,3,P
86,6,N
86,7,N
86,3,P
86,7,N
86,15,N
86,3,P
86,9,N
86,10,N
86,7,N
86,4,P
86,7,N
86,7,N
86,7,N
86,9,N
86,6,N
86,7,N
86,4,N
86,6,N
86,6,N
86,8,N
86,5,N
86,6,N
86,2,P
86,2,P
86,6,N
86,7,N
86,7,P
86,6,N
86,12,N
86,8,N
86,9,N
86,5,P
87,6,N
87,6,N
87,5,N
87,13,N
87,6,N
87,9,N
87,9,N
87,2,P
87,9,N
87,8,N
87,6,P
87,4,N
87,9,N
87,6,P
87,7,N
87,4,P
87,0,P
87,5,P
87,2,P
87,4,P
87,3,P
87,1,P
87,2,P
87,3,P
87,12,N
87,7,N
87,4,N
87,8,N
87,9,N
87,3,P
87,10,N
87,6,P
87,8,N
87,3,P
87,9,N
87,7,N
87,9,N
87,1,P
87,2,P
87,2,P
87,0,P
87,7,N
87,5,N
87,5,P
87,4,P
87,2,P
87,10,N
87,5,N
87,1,P
87,7,N
87,6,N
87,3,P
87,0,P
87,8,N
87,3,P
87,5,P
87,0,P
87,6,P
87,3,P
87,6,N
87,3,P
87,7,N
87,5,P
87,4,P
87,1,P
87,0,P
87,1,P
87,9,N
87,5,P
87,7,N
87,4,P
87,3,P
87,4,P
87,6,P
87,4,P
87,7,P
87,6,P
87,7,P
87,6,P
87,4,P
87,8,N
87,9,N
87,0,P
87,2,P
87,3,P
87,3,P
87,4,P
87,4,N
87,2,P
87,9,N
87,7,P
87,3,P
87,5,P
87,9,N
87,5,P
87,1,P
87,0,P
87,10,N
87,7,P
87,3,N
87,3,P
87,6,P
87,8,N
87,2,P
87,5,N
88,4,P
88,1,P
88,8,N
88,7,P
88,3,P
88,1,P
88,3,P
88,2,P
88,2,P
88,6,N
88,6,P
88,4,P
88,8,N
88,5,N
88,5,P
88,1,P
88,7,N
88,0,P
88,4,P
88,3,P
88,2,P
88,3,P
88,7,N
88,9,N
88,8,N
88,5,N
88,2,P
88,9,N
88,9,N
88,4,P
88,2,P
88,7,N
88,5,P
88,7,P
88,7,P
88,7,P
88,9,N
88,8,N
88,10,N
88,10,N
88,4,N
88,9,N
88,10,N
88,9,N
88,4,P
88,8,N
88,1,P
88,9,N
88,9,N
88,3,P
88,3,P
88,3,P
88,13,N
88,6,P
88,7,P
88,4,P
88,4,P
88,3,P
88,4,P
88,9,P
88,12,N
88,6,N
88,0,P
88,2,P
88,5,P
88,4,N
88,0,P
88,10,N
88,1,P
88,10,N
88,4,N
88,6,N
88,11,N
88,9,N
88,7,P
88,13,N
88,3,P
88,5,P
88,4,P
88,7,N
88,1,P
88,10,N
88,1,P
88,5,P
88,10,N
88,5,P
88,7,N
88,5,P
88,1,P
88,3,P
88,4,P
88,6,N
88,3,P
88,8,N
88,3,N
88,9,N
88,8,N
88,8,P
88,5,P
