hair;feathers;eggs;milk;airborne;aquatic;predator;toothed;backbone;breathes;venomous;fins;legs;tail;domestic;catsize;binaryClass
true;false;false;true;false;false;true;true;true;true;false;false;4;false;false;true;P
true;false;false;true;false;false;false;true;true;true;false;false;4;true;false;true;P
false;false;true;false;false;true;true;true;true;false;false;true;0;true;false;false;N
true;false;false;true;false;false;true;true;true;true;false;false;4;false;false;true;P
true;false;false;true;false;false;true;true;true;true;false;false;4;true;false;true;P
true;false;false;true;false;false;false;true;true;true;false;false;4;true;false;true;P
true;false;false;true;false;false;false;true;true;true;false;false;4;true;true;true;P
false;false;true;false;false;true;false;true;true;false;false;true;0;true;true;false;N
false;false;true;false;false;true;true;true;true;false;false;true;0;true;false;false;N
true;false;false;true;false;false;false;true;true;true;false;false;4;false;true;false;P
true;false;false;true;false;false;true;true;true;true;false;false;4;true;false;true;P
false;true;true;false;true;false;false;false;true;true;false;false;2;true;true;false;N
false;false;true;false;false;true;true;true;true;false;false;true;0;true;false;false;N
false;false;true;false;false;false;true;false;false;false;false;false;0;false;false;false;N
false;false;true;false;false;true;true;false;false;false;false;false;4;false;false;false;N
false;false;true;false;false;true;true;false;false;false;false;false;6;false;false;false;N
false;true;true;false;true;false;true;false;true;true;false;false;2;true;false;false;N
true;false;false;true;false;false;false;true;true;true;false;false;4;true;false;true;P
false;false;true;false;false;true;true;true;true;false;false;true;0;true;false;true;N
false;false;false;true;false;true;true;true;true;true;false;true;0;true;false;true;P
false;true;true;false;true;false;false;false;true;true;false;false;2;true;true;false;N
false;true;true;false;true;true;false;false;true;true;false;false;2;true;false;false;N
true;false;false;true;false;false;false;true;true;true;false;false;4;true;false;true;P
false;true;true;false;true;false;false;false;true;true;false;false;2;true;false;true;N
false;false;true;false;false;false;false;false;false;true;false;false;6;false;false;false;N
false;false;true;false;false;true;true;true;true;true;false;false;4;false;false;false;N
false;false;true;false;false;true;true;true;true;true;true;false;4;false;false;false;N
