"V1","V2","V3","V4","V5","V6","V7","V8","V9"
558,577,443,398,268,428,411,447,"1"
631,464,612,624,642,427,575,643,"1"
350,502,514,507,589,459,544,583,"1"
604,506,428,720,453,439,600,550,"1"
507,579,547,425,547,433,549,465,"1"
508,436,493,390,504,510,510,535,"1"
424,568,501,374,657,513,428,511,"1"
471,386,514,323,463,572,401,399,"1"
473,557,504,684,661,424,374,477,"1"
542,553,348,474,499,406,583,434,"1"
423,549,427,456,531,446,688,609,"1"
544,689,537,410,516,414,470,306,"1"
438,590,512,466,477,427,560,382,"1"
287,523,545,401,419,467,479,580,"1"
602,516,503,546,435,403,349,580,"1"
495,411,468,345,418,694,612,517,"1"
473,490,599,586,432,455,638,473,"1"
490,643,346,523,469,440,495,471,"1"
430,375,408,565,442,539,534,505,"1"
328,585,589,463,546,466,397,481,"1"
621,519,466,599,378,597,456,461,"1"
601,495,500,538,485,508,457,582,"1"
575,473,551,360,566,509,479,453,"1"
522,495,532,487,511,523,451,523,"1"
367,459,474,484,430,625,461,488,"1"
574,530,372,508,481,522,284,623,"1"
450,462,472,313,494,418,390,458,"1"
556,412,555,441,530,487,493,433,"1"
602,471,580,456,526,516,402,584,"1"
588,550,549,532,587,512,654,420,"1"
367,405,496,579,430,390,542,566,"1"
477,781,581,451,532,737,624,519,"1"
383,593,626,342,639,527,463,405,"1"
366,638,347,459,651,638,554,502,"1"
569,501,480,605,558,463,459,365,"1"
370,550,451,381,460,716,505,454,"1"
549,368,436,466,382,695,575,567,"1"
621,378,487,728,574,524,508,625,"1"
514,466,530,541,429,295,559,495,"1"
384,562,470,395,422,298,522,666,"1"
584,466,603,579,491,442,593,402,"1"
500,434,616,597,398,453,551,494,"1"
440,527,540,247,465,613,561,546,"1"
693,507,416,588,477,502,434,560,"1"
371,539,410,397,475,393,348,526,"1"
594,553,441,555,632,616,452,427,"1"
376,445,338,577,623,375,553,574,"1"
574,570,652,375,339,415,529,471,"1"
458,637,490,454,572,547,512,621,"1"
414,361,573,442,485,519,573,475,"1"
588,636,508,558,482,638,837,478,"1"
438,488,643,533,422,359,388,442,"1"
553,275,612,521,462,540,385,621,"1"
407,467,311,742,593,494,566,540,"1"
525,492,545,458,585,631,542,578,"1"
416,528,387,662,429,505,486,377,"1"
498,600,580,550,507,531,425,540,"1"
527,448,483,479,466,512,476,473,"1"
671,454,623,500,541,409,494,448,"1"
529,350,597,606,468,454,471,422,"1"
540,559,490,546,565,697,792,415,"1"
631,529,572,462,439,450,441,442,"1"
332,679,437,648,576,418,559,506,"1"
284,306,661,347,517,583,413,476,"1"
434,432,523,531,583,495,611,511,"1"
429,480,279,520,443,579,662,338,"1"
629,560,329,400,456,656,560,562,"1"
568,354,502,490,590,550,530,419,"1"
448,449,496,492,615,590,502,596,"1"
512,486,586,550,464,508,264,642,"1"
685,609,331,517,574,417,455,534,"1"
464,631,327,356,471,541,421,555,"1"
465,331,566,377,546,498,528,592,"1"
476,555,426,383,577,560,550,420,"1"
442,465,344,301,476,403,574,422,"1"
428,343,285,539,426,441,520,532,"1"
372,543,472,452,612,461,495,395,"1"
267,558,667,617,525,614,592,450,"1"
455,429,535,378,537,539,622,566,"1"
665,375,486,564,504,542,448,500,"1"
515,394,582,669,606,491,644,594,"1"
385,491,509,484,574,440,496,480,"1"
619,384,444,519,621,468,455,445,"1"
433,482,512,496,368,348,472,466,"1"
364,411,448,496,451,503,491,479,"1"
435,529,584,471,452,624,529,544,"1"
637,514,556,559,533,585,454,390,"1"
428,495,460,465,350,437,473,454,"1"
472,493,419,594,350,471,577,498,"1"
397,546,369,527,582,477,407,472,"1"
586,508,478,514,502,498,562,433,"1"
676,528,439,520,344,497,610,629,"1"
519,554,434,496,569,531,382,545,"1"
487,571,472,455,400,369,662,580,"1"
487,493,621,545,512,629,555,548,"1"
400,232,527,453,516,489,541,505,"1"
366,482,589,485,608,374,345,550,"1"
508,412,524,485,488,443,448,809,"1"
593,539,746,608,424,485,615,519,"1"
499,639,351,594,452,618,466,589,"1"
629,629,588,512,432,418,393,569,"1"
454,494,437,425,600,377,587,648,"1"
658,520,479,401,479,498,527,459,"1"
422,662,602,482,610,581,580,739,"1"
508,437,450,619,632,428,335,521,"1"
579,570,388,452,425,401,623,438,"1"
376,541,519,585,617,438,580,559,"1"
533,461,349,631,652,540,576,505,"1"
339,385,428,517,465,552,395,575,"1"
478,308,527,491,389,460,372,530,"1"
429,509,446,469,362,493,427,452,"1"
474,525,410,408,543,382,586,608,"1"
381,440,542,381,534,531,429,630,"1"
524,365,376,442,519,455,356,527,"1"
410,572,511,579,435,443,680,525,"1"
592,320,482,534,350,632,551,293,"1"
522,483,601,455,541,479,429,385,"1"
557,466,517,554,402,433,402,344,"1"
