instances;feature_number_ex;feature_number_ftr;feature_ratio_ftr_ex;feature_skewness;feature_kurtosis;feature_multi_norm;feature_perc_out;feature_avg_pca;feature_ratio_pca;feature_avg_abs_cor;feature_low_dist;feature_high_dist;feature_eigen_cent_mst;feature_net_dens;feature_clust_coef;feature_intr_dim;feature_contrast;feature_hub_score;feature_avg_nnd;feature_power_cent;algo_kmeans;algo_kmedians;algo_kmedoids;algo_single;algo_complete;algo_average;algo_ward;algo_closest;algo_mbkmeans;algo_fcmeans
10d-10c-no0.dat;0.845203060623896;0.258000221459418;0.00330132052821128;3.54531124571203e-05;0.00978630824742294;0.00103949352630751;0.0690690690690691;0.120702670056073;0.8998998998999;0.229568701887588;0.478467384420519;0.435276967930029;1.69209620545005e-07;0.357731015553522;0.474959132114727;8.36883461074029e-06;6.86586143538078e-09;3.07625054340962e-11;0.00845035803295322;0.510096303199752;0.636363636363636;0.647798742138365;0.339181286549708;0.611940298507463;0.466666666666667;0.646153846153846;0.856115107913669;0.576923076923077;0.17910447761194;0.626666666666667
10d-10c-no1.dat;0.87416127133608;0.258000221459418;0.00290116046418567;4.03733667901453e-05;0.0088568213661023;0.00109094199733073;0.0650650650650651;0.135245725620357;0.8998998998999;0.219445323209955;0.47751741608613;0.43935860058309;1.52700403968166e-07;0.315645013723696;0.452370337345816;8.76449982851069e-06;6.79493119209853e-09;3.93733361769972e-11;0.009349977688469;0.582789686237962;0.748251748251748;0.735849056603774;0.432748538011696;0.559701492537313;0.346666666666667;0.661538461538462;0.870503597122302;0.557692307692308;0.223880597014925;0.44
10d-10c-no2.dat;0.917304296645085;0.258000221459418;0.00240096038415366;5.30950084235831e-05;0.012646883046904;0.00123986664126556;0.0560560560560561;0.16024014890247;0.8998998998999;0.20436570705473;0.482267257758075;0.438483965014577;1.94988419248215e-07;0.341262580054895;0.444048149799376;7.72535565516332e-06;7.30240296182051e-09;5.10139200370685e-11;0.011400603428325;0.491456974215595;0.650349650349651;0.49685534591195;0.39766081871345;0.582089552238806;0.493333333333333;0.523076923076923;0.928057553956835;0.576923076923077;0.641791044776119;0.333333333333333
10d-10c-no3.dat;0.83225426721601;0.258000221459418;0.00350140056022409;3.82626114353989e-05;0.010854194620228;0.00104664796485037;0.0615615615615616;0.114698667307521;0.8998998998999;0.220710745544659;0.477200759974667;0.43935860058309;2.00164576260756e-07;0.353156450137237;0.450141179967306;8.33151723976472e-06;6.6419038450756e-09;2.76357698980477e-11;0.00803939879086492;0.465051258154706;0.650349650349651;0.559748427672956;0.304093567251462;0.626865671641791;0.373333333333333;0.646153846153846;0.856115107913669;0.564102564102564;0.402985074626866;0.64
10d-10c-no4.dat;0.872277810476751;0.258000221459418;0.00290116046418567;3.46628744677614e-05;0.00854945605339348;0.000884024890804466;0.0545545545545546;0.134267273305768;0.8998998998999;0.203311188442476;0.484800506649778;0.446064139941691;1.7421393752717e-07;0.38060384263495;0.409124684202705;9.1023357569476e-06;6.29511078972769e-09;4.52859265947902e-11;0.00969138366810595;0.335818577197888;0.72027972027972;0.685534591194969;0.257309941520468;0.611940298507463;0.453333333333333;0.738461538461538;0.870503597122302;0.551282051282051;0.432835820895522;0.32
10d-10c-no5.dat;0.929017068864038;0.258000221459418;0.00220088035214086;4.08925626255377e-05;0.007633865077889;0.000893596699366927;0.0790790790790791;0.167800749403612;0.8998998998999;0.223452493936518;0.46675110829639;0.43265306122449;1.77614973055193e-07;0.355901189387008;0.374052608114133;8.48843832907774e-06;7.08206426147871e-09;6.17053025396826e-11;0.0119878270987391;0.654240447343896;0.846153846153846;0.559748427672956;0.409356725146199;0.597014925373134;0.36;0.4;0.841726618705036;0.58974358974359;0.402985074626866;0.573333333333333
10d-10c-no6.dat;0.785579752795762;0.258000221459418;0.00420168067226891;3.1355732378681e-05;0.00995504091586516;0.000915963476517985;0.0705705705705706;0.0954413888651286;0.8998998998999;0.229252346303912;0.489867004433186;0.428862973760933;1.68165727287307e-07;0.351326623970723;0.479417446871749;8.31792686538385e-06;6.62928942863182e-09;1.85787039662958e-11;0.00664928897053293;0.58807082945014;0.804195804195804;0.748427672955975;0.257309941520468;0.567164179104478;0.44;0.661538461538462;0.841726618705036;0.538461538461538;0.343283582089552;0.413333333333333
10d-10c-no7.dat;0.887639788110654;0.258000221459418;0.00270108043217287;4.29032291740488e-05;0.00867568496964968;0.00109975685164463;0.0905905905905906;0.142628407506717;0.8998998998999;0.201834862385321;0.470234325522483;0.429154518950437;1.63642562390195e-07;0.328453796889295;0.434239857333928;8.51267075281884e-06;6.94620079256781e-09;4.17485836185162e-11;0.0100669287857986;0.552345448897173;0.776223776223776;0.408805031446541;0.421052631578947;0.626865671641791;0.386666666666667;0.630769230769231;0.784172661870504;0.538461538461538;0.492537313432836;0.56
10d-10c-no8.dat;0.839258387286639;0.258000221459418;0.00340136054421769;3.58177492576233e-05;0.00986917074619918;0.000929368892081228;0.0500500500500501;0.117900802106749;0.8998998998999;0.22999050933249;0.486700443318556;0.443148688046647;1.58301550714368e-07;0.346752058554437;0.448803685540199;8.30701806280747e-06;6.54615835633017e-09;2.83625920116215e-11;0.00813869037974289;0.613544579061821;0.776223776223776;0.610062893081761;0.245614035087719;0.582089552238806;0.4;0.661538461538462;0.870503597122302;0.564102564102564;0.417910447761194;0.506666666666667
10d-10c-no9.dat;0.841612713360801;0.258000221459418;0.00330132052821128;3.82738921162682e-05;0.0107302272859587;0.00106002896253462;0.0545545545545546;0.11901266336241;0.8998998998999;0.238110302646842;0.482267257758075;0.43935860058309;1.66831801588097e-07;0.358645928636779;0.469757764898202;7.6618964690047e-06;6.86069159257595e-09;2.63427465627268e-11;0.00834276605590501;0.398260329294812;0.650349650349651;0.610062893081761;0.526315789473684;0.567164179104478;0.386666666666667;0.6;0.870503597122302;0.538461538461538;0.447761194029851;0.386666666666667
10d-20c-no0.dat;0.591877575044144;0.258000221459418;0.00950380152060824;3.19186780551519e-05;0.00670703613828487;0.00194422477849199;0.279279279279279;0.0443851506922635;0.8998998998999;0.227776020246757;0.396453451551615;0.38600583090379;1.0840423535753e-07;0.31747483989021;0.467974438995393;7.20148041792378e-06;7.88235592766619e-09;3.12081233135378e-12;0.00317203624433191;0.430568499534017;0.160839160839161;0.383647798742138;0.269005847953216;0.761194029850746;0.92;0.846153846153846;0.942446043165468;0.67948717948718;0.283582089552239;0.4
10d-20c-no1.dat;0.562801648028252;0.258000221459418;0.0107042817126851;3.01386240760851e-05;0.00756846572249582;0.00181949825263216;0.274274274274274;0.0395374388197123;0.8998998998999;0.264156912369503;0.416719442685244;0.372594752186589;1.34869276523509e-07;0.347666971637694;0.490117402288602;6.67495168816567e-06;7.64526693663675e-09;2.15714031506661e-12;0.00269133070750924;0.597701149425288;0.622377622377622;0.29559748427673;0.0467836257309941;0.723880597014926;0.926666666666667;0.838461538461538;0.877697841726619;0.794871794871795;0.328358208955224;0.24
10d-20c-no2.dat;0.627427898763979;0.258000221459418;0.00820328131252501;3.18077470821946e-05;0.00712430967249938;0.00181095199498711;0.263263263263263;0.0575717019022242;0.7997997997998;0.239797532426447;0.418302723242559;0.389504373177843;1.11898036560488e-07;0.358645928636779;0.496061821964631;6.87806320280212e-06;8.1565643900343e-09;3.70993627710717e-12;0.00356949133720832;0.543336439888164;0.202797202797203;0.641509433962264;0.105263157894737;0.850746268656717;0.92;0.815384615384615;0.640287769784173;0.685897435897436;0.447761194029851;0.346666666666667
10d-20c-no3.dat;0.635373749264273;0.258000221459418;0.0079031612645058;3.45833275645894e-05;0.00635751680256326;0.00182433299267136;0.25025025025025;0.0527462448665276;0.8998998998999;0.19846040282611;0.408486383787207;0.390087463556851;1.0413952904269e-07;0.351326623970723;0.469906375390102;7.33644350565449e-06;7.34727719736642e-09;4.17501295969955e-12;0.00369086322387274;0.488971730351041;0.314685314685315;0.572327044025157;0.128654970760234;0.746268656716418;0.733333333333333;0.807692307692308;0.820143884892086;0.846153846153846;0.134328358208955;0.52
10d-20c-no4.dat;0.641082989994114;0.258000221459418;0.007703081232493;3.20343562304522e-05;0.0061578680752079;0.00176008955305954;0.21971971971972;0.0607738367014521;0.7997997997998;0.216176315511969;0.425902469917669;0.401166180758017;9.85408970286408e-08;0.408051235132662;0.427849606182196;6.9162931505698e-06;7.78030323069887e-09;4.61071342666295e-12;0.00395656648404185;0.636533084808947;0.356643356643357;0.534591194968553;0.0818713450292398;0.850746268656717;0.773333333333333;0.784615384615384;0.899280575539568;0.551282051282051;0.402985074626866;0.453333333333333
10d-20c-no5.dat;0.645203060623897;0.258000221459418;0.00760304121648659;3.38250978314047e-05;0.00563609546403361;0.00200724732415452;0.265265265265265;0.0548365584367786;0.8998998998999;0.214067278287462;0.410702976567448;0.389795918367347;1.22899430895428e-07;0.34583714547118;0.423242680933274;7.11171094086666e-06;7.95566429863866e-09;4.46918869406703e-12;0.00386659884107018;0.491767629698664;0.503496503496504;0.427672955974843;0.140350877192982;0.649253731343284;0.893333333333333;0.876923076923077;0.942446043165468;0.711538461538462;0.149253731343284;0.36
10d-20c-no6.dat;0.651500882872278;0.258000221459418;0.00740296118447379;3.44660040055713e-05;0.00649531009681413;0.00162986900442789;0.226726726726727;0.0562152375745862;0.8998998998999;0.239902984287673;0.423369221025966;0.423032069970845;9.64117571400817e-08;0.353156450137237;0.478377173428444;6.88198026318669e-06;7.33621373376409e-09;4.33278886963391e-12;0.00394267302602385;0.44206275240758;0.79020979020979;0.49685534591195;0.245614035087719;0.567164179104478;0.84;0.853846153846154;0.863309352517986;0.397435897435897;0.283582089552239;0.32
10d-20c-no7.dat;0.608711006474397;0.258000221459418;0.00880352140856343;2.96299864381041e-05;0.00652918719606058;0.00183375829395991;0.295795795795796;0.0474538365237336;0.8998998998999;0.209321944532321;0.370487650411653;0.383673469387755;1.22206761894937e-07;0.430009149130832;0.37553871303314;6.88679586072041e-06;7.75993405004785e-09;3.92322176997942e-12;0.00359148890687348;0.604846225535881;0.160839160839161;0.572327044025157;0.175438596491228;0.656716417910448;0.866666666666667;0.861538461538462;0.913669064748202;0.666666666666667;0.208955223880597;0.546666666666667
10d-20c-no8.dat;0.652501471453796;0.258000221459418;0.00740296118447379;3.34027672044759e-05;0.00699761445067887;0.0017140130154132;0.220720720720721;0.0564376258363926;0.8998998998999;0.22566698302225;0.411019632678911;0.403790087463557;9.81539076919407e-08;0.369624885635864;0.422648238965671;6.90528607049273e-06;7.49865019469181e-09;4.6269782842715e-12;0.00400042049892996;0.430568499534017;0.510489510489511;0.559748427672956;0.187134502923977;0.597014925373134;0.96;0.969230769230769;0.985611510791367;0.576923076923077;0.134328358208955;0.173333333333333
