"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"10d-10c-no0.dat",3.436,1,272.9,6492.1165,0.676730879237039,4.8973,0.0138,303.2222,0.9,0.2628,0.1511,0.1493,60.5773,0.1891,0.6078,59.6463,6.9849,101870215.3475,534.9518,0.5,198.597444967134,314.391651326225,317.931964233125,132.116361144282,254.232609638739,123.07732115604,213.434499924589,132.036656450989,222.190325511044,326.512438829467
"10d-10c-no1.dat",3.4852,1,305.6,7393.1055,0.676701949994193,5.108,0.013,339.5556,0.9,0.2532,0.1508,0.1507,54.6688,0.1907,0.5842,62.4645,6.9163,131421076.65,606.2443,0.524,218.891247134701,328.369934759919,326.625968718881,138.526947882708,230.431565729067,134.056326901358,196.70920230611,138.455840151364,265.624306885199,381.738701469839
"10d-10c-no2.dat",3.5585,1,361.8,9722.6719,0.676819911438264,5.7179,0.0112,402,0.9,0.2389,0.1523,0.1504,69.8033,0.1922,0.5851,55.063,7.4071,163091175.8367,728.4902,0.5535,212.397314446907,290.622033526087,322.225848203342,116.154894319304,198.488354239746,151.691083821774,193.572771405629,116.126119762678,210.630363613888,316.282900907877
"10d-10c-no3.dat",3.414,1,259.4,7006.5874,0.676764116009749,4.9266,0.0123,288.2222,0.9,0.2544,0.1507,0.1507,71.6558,0.1897,0.6066,59.3805,6.7683,86723685.598,511.7865,0.5095,254.754171532388,357.788990142508,344.395672229713,132.256637967326,213.03126802524,126.846624547349,195.319988511435,132.196440935807,260.669457145882,325.673844288987
"10d-10c-no4.dat",3.482,1,303.4,6347.4094,0.676692383591533,4.2606,0.0109,337.1111,0.9,0.2379,0.1531,0.153,62.3683,0.1922,0.5629,64.8708,6.4329,149359918.8307,611.7603,0.464,275.534158774911,360.382988361029,425.61476408383,140.441662132033,260.865382180916,167.003602102492,252.394017912423,140.400554763024,300.695233996366,363.089136766719
"10d-10c-no5.dat",3.5784,1,378.8,7488.1798,0.676663886843262,4.2998,0.0158,420.8889,0.9,0.257,0.1474,0.1484,63.5855,0.1903,0.5347,60.4982,7.194,204165399.9244,757.98,0.5215,208.231326163004,333.831818013147,355.902904430344,128.031833755658,262.219213307136,202.394903256457,209.870699359171,127.892326418731,257.614509760785,421.416688451603
"10d-10c-no6.dat",3.3347,1,216.1,5741.8109,0.676736130853215,4.3914,0.0141,240.1111,0.9,0.2625,0.1547,0.1471,60.2037,0.1875,0.6158,59.2837,6.7561,59554152.786,422.6188,0.512,246.000956297712,298.486188265173,348.356040172517,130.07246473208,287.075824710934,178.500607128464,206.91618280072,129.941226505261,270.265012922227,288.085918862544
"10d-10c-no7.dat",3.5081,1,322.2,7856.3698,0.676696312325812,5.1441,0.0181,358,0.9,0.2365,0.1485,0.1472,58.5849,0.1893,0.5648,60.6708,7.0626,139762515.6227,644.3747,0.5273,202.73231731582,321.864903083169,305.153630473768,123.004684587576,207.686504739865,153.373740907919,190.385758898206,122.978182409202,213.494208608086,341.986062805812
"10d-10c-no8.dat",3.4259,1,266.6,6558.8882,0.676733458239926,4.4463,0.01,296.2222,0.9,0.2632,0.1537,0.152,56.6734,0.1908,0.5847,59.206,6.6757,93402862.7372,527.1731,0.4997,207.07851579008,328.857549017784,360.479778527713,130.049994885049,337.509216112779,192.890896758031,202.842363725033,130.006029875156,229.841823445811,342.084486394276
"10d-10c-no9.dat",3.4299,1,269.1,7008.6531,0.676760257664688,4.9814,0.0109,299,0.9,0.2709,0.1523,0.1507,59.7263,0.1887,0.6067,54.611,6.9799,81177701.515,530.701,0.4958,211.620442280919,293.15559281332,283.977213256067,118.939919459088,266.152840096952,211.886151359104,194.771068855756,118.88576601739,241.458008322952,303.897346893478
"10d-20c-no0.dat",3.0056,1,101.3,5844.8966,0.676635040325889,8.6025,0.0558,112.5556,0.9,0.2611,0.1252,0.1324,38.8156,0.1851,0.5907,51.3316,7.968,10914615.4982,213.1133,0.4409,91.667224267207,41.6327303097508,51.9815869317184,42.3563325795564,42.9506131335713,42.1404522054814,43.5749774006644,34.5047288325771,93.7521446476584,126.97471472279
"10d-20c-no1.dat",2.9562,1,90.4,5518.936,0.676661851361243,8.0917,0.0548,100.4444,0.9,0.2956,0.1316,0.1278,48.2872,0.187,0.614,47.5813,7.7387,6788136.4192,181.2206,0.452,43.8004422990025,36.459077681661,78.7072280207079,33.3902702142156,38.848047937976,41.308484812053,41.308484812053,40.5437203241952,49.3203295847642,54.0080235091369
"10d-20c-no2.dat",3.066,1,116.4,5824.5831,0.676648027499401,8.0567,0.0526,145.5,0.8,0.2725,0.1321,0.1336,40.066,0.1901,0.6007,49.028,8.2332,12442506.6239,239.6871,0.4786,67.4456538874608,63.3157207873575,58.6712276920118,61.2707283576711,40.3200836772763,40.1776856988519,39.323714061967,38.7403814474977,71.6885715864952,87.9114370478912
"10d-20c-no3.dat",3.0795,1,120.1,6332.8429,0.676624161926262,8.1115,0.05,133.4444,0.9,0.2333,0.129,0.1338,37.2893,0.1915,0.5701,52.2929,7.4505,14071500.449,248.1011,0.4895,60.9211483453192,44.5090462014143,74.3767666543335,45.145529156508,40.2737699666872,40.2044707204406,40.2044707204406,43.7890863878042,61.0532044982532,65.9660243121397
"10d-20c-no4.dat",3.0892,1,122.8,5866.0794,0.676617948082223,7.8484,0.0439,153.5,0.8,0.2501,0.1345,0.1376,35.2856,0.1935,0.5636,49.3003,7.8693,14697548.7439,258.6576,0.5562,61.7820378819913,51.627473964001,57.4771373326484,45.3574059489719,39.3068089778075,39.2805839321415,39.1746375570514,39.2796403197085,63.3637705402105,68.5564646527512
"10d-20c-no5.dat",3.0962,1,124.8,6193.9971,0.676601708491452,8.8606,0.053,138.6667,0.9,0.2481,0.1297,0.1337,44.0033,0.1888,0.566,50.6922,8.0389,14599255.3104,257.0829,0.4741,48.4860653612682,41.9690177870082,65.0773941399662,40.4817001576118,39.4477016706703,39.4477016706703,39.4477016706703,37.6333216287016,73.7156375304564,57.7709705180569
"10d-20c-no6.dat",3.1069,1,127.9,6311.3588,0.676628450588913,7.3151,0.0453,142.1111,0.9,0.2726,0.1337,0.1451,34.5236,0.189,0.5968,49.0559,7.4398,13703444.7993,257.4351,0.5024,52.7424729571027,39.3331548484769,53.7746793201417,49.6770083988455,45.0001136708929,41.6268940234823,41.5596714425963,33.3012558936665,63.9296730099346,91.6438696096402
"10d-20c-no7.dat",3.0342,1,108.2,5425.7951,0.676629504975856,8.1501,0.0591,120.2222,0.9,0.2436,0.117,0.1316,43.7554,0.1917,0.5487,49.0902,7.8496,11367814.453,227.35,0.5132,70.7351073437057,48.594486407991,70.1332308182592,43.9651725507836,39.3601993476065,39.3601993476065,39.3601993476065,38.3344134201051,62.2382498787752,71.7766124839342
"10d-20c-no8.dat",3.1086,1,128.4,6116.6606,0.676644084251881,7.6597,0.0441,142.6667,0.9,0.2591,0.1298,0.1385,35.1471,0.1897,0.5763,49.2219,7.5969,13872762.3425,261.2291,0.543,44.5638073790508,43.5537210801631,47.5246063932719,32.2954126730789,41.0439307325364,41.0439307325364,41.0439307325364,33.798870253323,53.3912336035148,69.562311296972
"10d-20c-no9.dat",3.1193,1,131.6,7367.3587,0.676638738299639,8.7943,0.0489,146.2222,0.9,0.2817,0.1276,0.1393,39.1585,0.1901,0.5813,48.3003,7.9177,15963323.6118,277.9349,0.4234,45.0264050697152,33.6934749578525,56.716780762283,49.709913194017,39.5489348809177,39.5489348809177,39.5489348809177,35.436809772837,52.8673154957159,56.2317957248498
"10d-40c-no0.dat",3.2871,1,193.7,6642.3071,0.676590814852923,10.892,0.0348,215.2222,0.9,0.2136,0.1322,0.1387,42.3403,0.1904,0.5056,59.1591,8.176,46439378.0106,398.8921,0.5358,63.1885713264927,49.7656615748931,78.9644705824494,40.9681706856515,39.7359271487661,39.8229726842505,39.8000580845136,42.5058678391561,72.5099277029508,145.695326726788
"10d-40c-no1.dat",3.3596,1,228.9,6533.8931,0.676579756489111,10.237,0.0303,254.3333,0.9,0.2137,0.1373,0.1438,36.9333,0.1923,0.5121,58.4901,8.2245,59433811.9708,462.8194,0.4852,52.6730793000723,42.1150249109106,62.8540240403324,36.6862143997401,40.2332246341692,40.7231709226921,39.7345324053833,36.380578975979,66.6818206474135,140.077226532598
"10d-40c-no2.dat",3.3983,1,250.2,8020.0413,0.67656276220982,11.2487,0.0289,278,0.9,0.1958,0.1381,0.1461,38.6647,0.1901,0.4951,58.3279,8.261,69358897.4539,500.8406,0.4839,53.9231790271529,44.3093821770732,66.3199024213864,55.130294351143,41.6285462095416,38.8470108550542,38.8143547412022,33.290567690331,65.7346930867684,163.733713526754
"10d-40c-no3.dat",3.3556,1,226.8,7388.2075,0.676630693610275,8.811,0.0278,252,0.9,0.2096,0.1391,0.1477,35.5176,0.1968,0.5073,54.0092,7.9519,59744613.6677,484.0777,0.5036,54.0454333456592,61.8689034265834,262.827518673912,41.2510064056159,41.9982159418396,42.0302345955557,41.1851128698504,88.9112402254744,67.1419271250517,158.173718114807
"10d-40c-no4.dat",3.4325,1,270.7,7344.97,0.676587918010063,10.4822,0.0266,300.7778,0.9,0.2071,0.1366,0.1508,33.5324,0.1984,0.4913,56.5359,8.1509,90493144.4936,590.2881,0.5411,56.3208365974865,44.8367198921584,56.5344638632498,45.8946002522097,40.8332862100194,41.6996003174467,41.1062645293061,27.9456613770815,67.566065362347,142.728555148779
"10d-40c-no5.dat",3.372,1,235.5,6340.6168,0.676558632467156,10.7515,0.0314,261.6667,0.9,0.2218,0.1303,0.1442,37.9475,0.1867,0.4993,60.2339,8.1952,59626922.6616,463.5468,0.5335,52.4568793865496,48.3975300732389,61.6142466232541,38.8913859376814,41.2386595151441,41.1699326294393,41.129671909993,37.3693574093206,61.8475380350998,129.35596067484
"10d-40c-no6.dat",3.4252,1,266.2,7770.5959,0.676569187947175,10.1519,0.0303,295.7778,0.9,0.2312,0.1317,0.1488,36.2032,0.1931,0.5136,56.2166,8.2909,84696988.2878,559.0727,0.5098,44.9017104356932,47.2289987133312,59.9539786631827,54.9918560819013,39.2940854130744,40.040723219053,39.308372053964,35.0922534929964,55.4616353550129,177.274054850573
"10d-40c-no7.dat",3.3345,1,216,6844.0351,0.676606542126294,9.4583,0.0306,240,0.9,0.2218,0.1399,0.1422,38.975,0.1944,0.5,55.3852,8.2336,53789522.8682,456.0695,0.546,50.7307460523263,53.4818959453714,61.2942294828206,40.8139232222033,39.924343074018,39.4044306386782,39.3143292114926,34.0866686046984,64.8519420509412,126.211112236147
"10d-40c-no8.dat",3.3629,1,230.6,7541.7192,0.676587058100547,9.7516,0.0307,256.2222,0.9,0.218,0.134,0.1462,41.2542,0.1909,0.4922,56.0181,8.1194,60566625.4122,474.8535,0.5217,50.5449113033262,58.6213546147048,56.582891113698,43.2934446203791,39.2866184819849,40.2368827906826,41.1170544429365,32.3181527349468,64.2661859332894,122.130077508161
"10d-40c-no9.dat",3.3746,1,236.9,9027.4626,0.676637546762571,11.1177,0.0264,263.2222,0.9,0.2064,0.1417,0.1485,35.6771,0.1958,0.5208,54.6047,8.3304,64530699.3635,488.884,0.4831,68.6822114094186,51.2440041759877,70.8264805820712,37.3599958282737,42.6330576902904,39.7298962428718,38.9929461347857,37.3756612719177,79.8934827983848,143.476158138581
"10d-4c-no0.dat",3.1103,1,128.9,3214.0548,0.676773340625588,2.87,7e-04,143.2222,0.9,0.3575,0.1945,0.1609,59.2565,0.194,0.6138,42.9446,6.4812,19383200.1426,259.9389,0.4607,222.61530628459,194.062605573305,225.839070240404,111.140333696312,194.01645483296,152.130635248411,194.01645483296,110.913649766753,199.882300243244,228.176181119236
"10d-4c-no1.dat",2.9814,1,95.8,2857.622,0.676827162253358,2.4775,3e-04,106.4444,0.9,0.3191,0.1945,0.158,63.8976,0.1926,0.6481,47.3657,6.3982,10721224.9914,190.4443,0.4707,234.1019229391,147.349730175766,235.000839441198,131.536539692105,235.170602959829,186.926276198343,234.761793856101,131.530701069537,243.304482865084,247.270559880081
"10d-4c-no2.dat",2.9232,1,83.8,1764.9502,0.676731575872597,1.8917,0.0039,93.1111,0.9,0.3284,0.1728,0.1541,64.5825,0.1937,0.6145,54.3389,5.8896,10080308.1092,168.2858,0.5331,253.13687391475,251.639741384975,286.570628392939,140.703172536053,238.06920637594,230.728620052899,249.196623453319,185.94853810569,311.977231383639,274.85846037921
"10d-4c-no3.dat",3.1199,1,131.8,3276.7065,0.676736766533162,2.5419,0.0021,146.4444,0.9,0.2819,0.1736,0.1576,51.3623,0.1935,0.6089,48.214,6.1012,17371694.8394,264.6365,0.5111,214.371234983586,214.997974718418,228.257257297921,108.694013354203,188.870860581216,235.370718450828,209.12996758666,108.698954191063,236.218100244041,240.656574254224
"10d-4c-no4.dat",2.9699,1,93.3,2633.1001,0.676768667362057,1.8609,5e-04,103.6667,0.9,0.3573,0.1938,0.1553,54.0985,0.195,0.6071,48.6057,5.7542,9827902.3438,187.5253,0.4934,213.972179276941,211.693299194941,233.828032466956,121.737457651769,257.017378107084,139.3786979259,211.498180210532,121.348289309389,232.521247339646,224.496226789472
"10d-4c-no5.dat",3.0565,1,113.9,3053.6656,0.676776290441777,2.9191,3e-04,126.5556,0.9,0.3235,0.1943,0.1653,64.4846,0.1995,0.5976,44.3996,6.1594,14134576.7908,237.7858,0.4943,220.38124021131,223.694265629883,254.675005585204,115.198448824337,243.66114524452,223.972581367193,222.14226782968,115.105908474737,235.606543209025,228.264540887704
"10d-4c-no6.dat",2.9899,1,97.7,2491.8974,0.676737368832654,2.4318,0.002,108.5556,0.9,0.3068,0.184,0.1537,57.9823,0.196,0.5923,48.1614,5.7897,10859542.3024,199.0674,0.5175,247.968961114025,223.463616838924,282.613751614323,118.712346394109,200.827573950314,107.116431194709,222.050469862131,118.482953734667,259.0862441531,282.572403284429
"10d-4c-no7.dat",3.1708,1,148.2,3414.777,0.676704883845817,2.4336,0.0016,185.25,0.8,0.3563,0.191,0.1472,47.8328,0.1861,0.6799,50.2532,7.5671,22861807.3724,282.9713,0.5672,199.76551936932,199.939594992635,267.543745784029,111.364810698137,223.620431254561,199.714055762611,199.561010765002,141.948580587224,284.334428467628,200.035841776201
"10d-4c-no8.dat",2.985,1,96.6,2223.3143,0.676719096662512,2.2637,0.0015,107.3333,0.9,0.273,0.1824,0.1534,58.861,0.1934,0.6019,49.1546,5.6283,11251166.4281,194.3526,0.4951,260.28932899872,190.744979962518,244.732579217632,118.136833347479,203.236244582463,132.424674728374,189.449252475395,159.404065058478,250.566810660238,207.350954038225
"10d-4c-no9.dat",3.073,1,118.3,2092.9939,0.676691676796707,1.8208,0.0015,131.4444,0.9,0.3066,0.1774,0.1575,61.7954,0.1906,0.6684,56.6699,5.3403,17316346.8119,231.8013,0.487,249.592307351379,249.150356741213,269.210370427925,135.674039784665,271.455967722385,217.506206669423,249.893999757481,135.443438645616,278.600506910396,279.17351387341
"2d-10c-no0.dat",3.473,0.301,1486,27.1526,0.676563258562655,94.7976,0.001,1486,1,0.5675,0.1526,0.1801,5.7629,0.1777,0.8034,10.8436,372.743,818959.5073,565.4182,0.5038,5.90018379848553,6.09771594917021,6.38204227667549,1.72448408948925,2.98036892639349,3.33372464989949,3.95198121502236,3.98456781389526,4.02236817826854,5.22465374163879
"2d-10c-no1.dat",3.4023,0.301,1262.5,193.6764,0.67661216383011,112.4903,0.0042,1262.5,1,0.5672,0.184,0.1603,8.4666,0.1796,0.7962,9.9965,630.9364,1250468.0464,505.8104,0.5413,3.86578655883786,1.48837256181345,3.60360713233006,21.5778108046471,14.8382309572526,1.61895720336408,3.06921356099816,3.54545306867416,4.49566431893984,4.86159305225204
"2d-10c-no2.dat",3.4876,0.301,1536.5,423.0761,0.676565760645365,151.3574,0,1536.5,1,0.6577,0.1754,0.2017,6.8471,0.1829,0.8262,12.1575,651.147,1403446.5457,623.2757,0.384,4.48987458455531,1.42624367215038,5.86075380231781,5.22809577056622,6.43669172240867,3.86098217527898,3.77411675328148,4.95974013668173,6.70787133879861,4.63013315920949
"2d-10c-no3.dat",3.5262,0.301,1679.5,496.8316,0.676530285205265,236.1748,0,1679.5,1,0.531,0.2122,0.1725,6.3137,0.1872,0.7987,10.5814,686.9597,925410.1029,698.4214,0.5605,4.49771591324181,5.09787172782179,3.4797057442471,1.66036207147558,2.32179414082427,9.79127355866026,7.0711715093723,3.59803610293729,4.58152540243917,4.18895896559758
"2d-10c-no4.dat",3.5173,0.301,1645.5,183.3464,0.676585740298284,124.8025,0.0033,1645.5,1,0.698,0.1596,0.1665,7.019,0.1803,0.8097,10.0291,626.7592,764512.9214,646.0526,0.4286,2.96806394187357,1.39935148857001,2.14361633439642,1.22665550428969,1.99043934860857,2.71956528421913,3.57733122754128,2.20475752786141,4.30352162850087,2.94587352972666
"2d-10c-no5.dat",3.5599,0.301,1815,48.297,0.676588708981686,167.2791,2e-04,1815,1,0.7335,0.1856,0.1826,14.4266,0.177,0.8827,10.9812,765.6859,1302422.1007,741.9055,0.561,3.11562085496535,2.23237841618635,2.15520810070157,19.1269562028875,22.3381954183323,1.51786437389011,5.07163437405232,1.88004553369568,5.33697368988184,3.27623798692016
"2d-10c-no6.dat",3.5325,0.301,1704,66.577,0.676614020073605,96.1482,0.0026,1704,1,0.5758,0.1698,0.1694,9.1731,0.176,0.8092,10.3234,712.4282,1817727.0852,672.7621,0.4808,5.80405559546079,2.51168747044671,1.79456374748559,18.3752414045539,2.29828525820185,1.76418256244931,6.23361624560214,1.73409721635693,6.11482938925559,5.77526509928642
"2d-10c-no7.dat",3.4038,0.301,1267,433.0298,0.676606829488461,110.5555,0.0012,1267,1,0.6213,0.1871,0.1783,9.4512,0.176,0.8122,11.2026,811.5412,1789947.4994,480.1452,0.3143,4.72159095026048,13.3675092531843,5.73056701426557,2.49302095586662,7.75584014992831,6.42472606319351,8.63422763754613,5.76777783461662,5.71261382791612,4.48356814861679
"2d-10c-no8.dat",3.4518,0.301,1415,283.1979,0.6765869557822,203.2103,0,1415,1,0.7287,0.1897,0.1981,7.9666,0.1796,0.8237,10.9094,851.968,374042.9603,557.8069,0.5563,6.40381689863636,11.5320328171259,4.00479492357121,20.0819454479159,8.38560940425228,4.98074569708059,7.94413939721314,4.33379458091692,6.98462194934891,6.26602106573429
"2d-10c-no9.dat",3.5539,0.301,1790,92.7729,0.676543909510047,207.7096,0,1790,1,0.5454,0.1837,0.181,5.9482,0.1778,0.8237,11.6969,786.2712,483752.6732,709.113,0.5057,5.92426663507876,5.82903265510981,2.91590483387567,2.35893699438743,3.74813787464302,2.04382122872602,3.76753517796492,3.02358590758316,6.11738674307676,5.89756373844403
"2d-20c-no0.dat",3.181,0.301,758.5,109.2867,0.676589290236979,48.3451,0,758.5,1,0.6076,0.1919,0.1843,5.407,0.1696,0.7953,11.9418,359.4942,63265.7786,274.9094,0.4476,1.23065529286319,0.815570901505719,1.19730677548346,0.780161181603124,1.17436190112772,1.61676767819936,1.14844760689558,0.892953421999922,1.41140586732372,1.46055315753165
"2d-20c-no1.dat",3.0903,0.301,615.5,16.9623,0.67661191129972,34.3269,5e-04,615.5,1,0.5393,0.1772,0.1685,7.9653,0.1718,0.8335,10.1106,339.9658,134379.4632,225.6193,0.4731,1.20239055249831,1.6029721016375,1.21018060375555,3.43897157390236,2.12619967360642,1.05101047953149,0.941124519642917,0.835557715228369,1.16746122491052,1.08400540687622
