"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"10d-10c-no0.dat",3.436,1,272.9,6492.1165,0.676730879237039,4.8973,0.0138,303.2222,0.9,0.2628,0.1511,0.1493,60.5773,0.1891,0.6078,59.6463,6.9849,101870215.3475,534.9518,0.5,458.810317460317,624.16626984127,694.181349206349,8.95357142857143,596.089285714286,175.226984126984,86.9392857142857,8.98690476190476,1396.89047619048,750.343650793651
"10d-10c-no1.dat",3.4852,1,305.6,7393.1055,0.676701949994193,5.108,0.013,339.5556,0.9,0.2532,0.1508,0.1507,54.6688,0.1907,0.5842,62.4645,6.9163,131421076.65,606.2443,0.524,336.065873015873,491.151984126984,775.790873015873,8.78690476190476,826.442857142857,187.771428571429,141.353968253968,8.78690476190476,1139.10992063492,679.373015873016
"10d-10c-no2.dat",3.5585,1,361.8,9722.6719,0.676819911438264,5.7179,0.0112,402,0.9,0.2389,0.1523,0.1504,69.8033,0.1922,0.5851,55.063,7.4071,163091175.8367,728.4902,0.5535,445.622222222222,837.049206349206,1229.66984126984,8.89801587301587,586.656349206349,165.199603174603,121.890079365079,8.78690476190476,843.520634920635,2212.70753968254
"10d-10c-no3.dat",3.414,1,259.4,7006.5874,0.676764116009749,4.9266,0.0123,288.2222,0.9,0.2544,0.1507,0.1507,71.6558,0.1897,0.6066,59.3805,6.7683,86723685.598,511.7865,0.5095,344.395238095238,552.010714285714,1076.52738095238,9.13690476190476,726.233333333333,273.586507936508,114.639285714286,9.03690476190476,979.998412698413,752.624206349206
"10d-10c-no4.dat",3.482,1,303.4,6347.4094,0.676692383591533,4.2606,0.0109,337.1111,0.9,0.2379,0.1531,0.153,62.3683,0.1922,0.5629,64.8708,6.4329,149359918.8307,611.7603,0.464,445.869444444444,551.189682539683,1497.92619047619,9.1202380952381,806.469047619048,201.379761904762,112.283333333333,9.28690476190476,1277.08134920635,921.649603174603
"10d-10c-no5.dat",3.5784,1,378.8,7488.1798,0.676663886843262,4.2998,0.0158,420.8889,0.9,0.257,0.1474,0.1484,63.5855,0.1903,0.5347,60.4982,7.194,204165399.9244,757.98,0.5215,349.969047619048,916.040079365079,1176.15873015873,8.78690476190476,1196.03611111111,11.715873015873,137.845238095238,8.91190476190476,1666.36111111111,819.444047619048
"10d-10c-no6.dat",3.3347,1,216.1,5741.8109,0.676736130853215,4.3914,0.0141,240.1111,0.9,0.2625,0.1547,0.1471,60.2037,0.1875,0.6158,59.2837,6.7561,59554152.786,422.6188,0.512,210.955158730159,443.152380952381,895.514682539683,8.88690476190476,338.459126984127,120.529365079365,72.4900793650794,8.92976190476191,852.464682539682,699.375396825397
"10d-10c-no7.dat",3.5081,1,322.2,7856.3698,0.676696312325812,5.1441,0.0181,358,0.9,0.2365,0.1485,0.1472,58.5849,0.1893,0.5648,60.6708,7.0626,139762515.6227,644.3747,0.5273,423.245238095238,973.536507936508,834.495634920635,8.88690476190476,902.711507936508,148.911904761905,161.005952380952,9.41190476190476,1011.86547619048,816.750396825397
"10d-10c-no8.dat",3.4259,1,266.6,6558.8882,0.676733458239926,4.4463,0.01,296.2222,0.9,0.2632,0.1537,0.152,56.6734,0.1908,0.5847,59.206,6.6757,93402862.7372,527.1731,0.4997,279.999206349206,563.955555555556,1004.16349206349,9.08690476190476,368.161904761905,94.9,85.6428571428571,9.02976190476191,921.73373015873,984.338095238095
"10d-10c-no9.dat",3.4299,1,269.1,7008.6531,0.676760257664688,4.9814,0.0109,299,0.9,0.2709,0.1523,0.1507,59.7263,0.1887,0.6067,54.611,6.9799,81177701.515,530.701,0.4958,518.539682539683,603.161111111111,661.209126984127,8.78690476190476,576.282936507936,111.90753968254,109.517063492063,8.88690476190476,1113.35714285714,1227.93968253968
"10d-20c-no0.dat",3.0056,1,101.3,5844.8966,0.676635040325889,8.6025,0.0558,112.5556,0.9,0.2611,0.1252,0.1324,38.8156,0.1851,0.5907,51.3316,7.968,10914615.4982,213.1133,0.4409,59.934126984127,214.471825396825,203.671031746032,3.04007936507936,1.93333333333333,0.353968253968254,2.89404761904762,12.1698412698413,165.637698412698,260.817857142857
"10d-20c-no1.dat",2.9562,1,90.4,5518.936,0.676661851361243,8.0917,0.0548,100.4444,0.9,0.2956,0.1316,0.1278,48.2872,0.187,0.614,47.5813,7.7387,6788136.4192,181.2206,0.452,13.1638888888889,215.936904761905,427.137698412698,13.1583333333333,3.58650793650794,2.48849206349206,2.48849206349206,2.05238095238095,111.10119047619,254.748412698413
"10d-20c-no2.dat",3.066,1,116.4,5824.5831,0.676648027499401,8.0567,0.0526,145.5,0.8,0.2725,0.1321,0.1336,40.066,0.1901,0.6007,49.028,8.2332,12442506.6239,239.6871,0.4786,63.8253968253968,12.0420634920635,422.214285714286,0.85,2.91468253968254,6.3952380952381,14.4448412698413,12.0420634920635,116.595634920635,202.887698412698
"10d-20c-no3.dat",3.0795,1,120.1,6332.8429,0.676624161926262,8.1115,0.05,133.4444,0.9,0.2333,0.129,0.1338,37.2893,0.1915,0.5701,52.2929,7.4505,14071500.449,248.1011,0.4895,130.219841269841,70.4035714285714,420.975396825397,5.85793650793651,11.9515873015873,6.46309523809524,6.46309523809524,3.59563492063492,232.897619047619,154.430952380952
"10d-20c-no4.dat",3.0892,1,122.8,5866.0794,0.676617948082223,7.8484,0.0439,153.5,0.8,0.2501,0.1345,0.1376,35.2856,0.1935,0.5636,49.3003,7.8693,14697548.7439,258.6576,0.5562,70.9714285714286,99.0785714285714,245.605555555556,2.92896825396825,15.5936507936508,13.2313492063492,7.31746031746032,16.3115079365079,115.205158730159,140.430555555556
"10d-20c-no5.dat",3.0962,1,124.8,6193.9971,0.676601708491452,8.8606,0.053,138.6667,0.9,0.2481,0.1297,0.1337,44.0033,0.1888,0.566,50.6922,8.0389,14599255.3104,257.0829,0.4741,74.0444444444444,228.577380952381,426.280555555556,5.85793650793651,0.533333333333333,0.533333333333333,0.533333333333333,5.85793650793651,421.61626984127,259.070634920635
"10d-20c-no6.dat",3.1069,1,127.9,6311.3588,0.676628450588913,7.3151,0.0453,142.1111,0.9,0.2726,0.1337,0.1451,34.5236,0.189,0.5968,49.0559,7.4398,13703444.7993,257.4351,0.5024,6.46626984126984,197.84126984127,338.192063492063,7.79404761904762,6.75992063492063,12.8345238095238,7.30714285714286,26.5761904761905,276.475,232.488095238095
"10d-20c-no7.dat",3.0342,1,108.2,5425.7951,0.676629504975856,8.1501,0.0591,120.2222,0.9,0.2436,0.117,0.1316,43.7554,0.1917,0.5487,49.0902,7.8496,11367814.453,227.35,0.5132,141.32619047619,95.8857142857143,402.329761904762,3.17896825396825,1.08611111111111,1.08611111111111,1.08611111111111,6.46904761904762,192.54880952381,132.820634920635
