"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"10d-10c-no0.dat",3.436,1,272.9,6492.1165,0.676730879237039,4.8973,0.0138,303.2222,0.9,0.2628,0.1511,0.1493,60.5773,0.1891,0.6078,59.6463,6.9849,101870215.3475,534.9518,0.5,4.79640988817594e-05,6.19681873370248e-05,6.57395654723193e-05,7.60587719244948e-05,5.92277394453776e-05,4.91244061067078e-05,4.81346518890268e-05,7.60718976703619e-05,5.71524069511944e-05,6.09248475745982e-05
"10d-10c-no1.dat",3.4852,1,305.6,7393.1055,0.676701949994193,5.108,0.013,339.5556,0.9,0.2532,0.1508,0.1507,54.6688,0.1907,0.5842,62.4645,6.9163,131421076.65,606.2443,0.524,5.22644753266366e-05,6.51666092791017e-05,6.67688832716834e-05,7.79859065973927e-05,5.68737562205545e-05,4.92201884744363e-05,4.77068359429794e-05,7.80104151735571e-05,6.20064146004951e-05,6.74646958641742e-05
"10d-10c-no2.dat",3.5585,1,361.8,9722.6719,0.676819911438264,5.7179,0.0112,402,0.9,0.2389,0.1523,0.1504,69.8033,0.1922,0.5851,55.063,7.4071,163091175.8367,728.4902,0.5535,4.8359262884277e-05,6.28726081551343e-05,6.42368230003117e-05,7.12035165171523e-05,5.01040222609832e-05,5.5219659755527e-05,4.35669461557565e-05,7.1222114249324e-05,5.15982488856597e-05,6.19577231035228e-05
"10d-10c-no3.dat",3.414,1,259.4,7006.5874,0.676764116009749,4.9266,0.0123,288.2222,0.9,0.2544,0.1507,0.1507,71.6558,0.1897,0.6066,59.3805,6.7683,86723685.598,511.7865,0.5095,5.43794972908293e-05,6.54217841460676e-05,6.62830039110986e-05,7.60560216865065e-05,5.08834591098852e-05,4.56633955064334e-05,4.53308279700765e-05,7.60743883493876e-05,5.98139793018897e-05,6.13242239674453e-05
"10d-10c-no4.dat",3.482,1,303.4,6347.4094,0.676692383591533,4.2606,0.0109,337.1111,0.9,0.2379,0.1531,0.153,62.3683,0.1922,0.5629,64.8708,6.4329,149359918.8307,611.7603,0.464,5.82275890506153e-05,6.68718947537864e-05,7.36366637230213e-05,7.86721863504963e-05,5.81593938558913e-05,5.28696089003387e-05,5.42208791047979e-05,7.86940419605674e-05,6.48780046506712e-05,7.27292295761371e-05
"10d-10c-no5.dat",3.5784,1,378.8,7488.1798,0.676663886843262,4.2998,0.0158,420.8889,0.9,0.257,0.1474,0.1484,63.5855,0.1903,0.5347,60.4982,7.194,204165399.9244,757.98,0.5215,4.88809694101008e-05,6.7231861466722e-05,6.84830149255614e-05,7.50002860344491e-05,6.08890607878808e-05,7.50024209135789e-05,4.8210967685412e-05,7.49987285482004e-05,6.02461764635462e-05,6.87633173729815e-05
"10d-10c-no6.dat",3.3347,1,216.1,5741.8109,0.676736130853215,4.3914,0.0141,240.1111,0.9,0.2625,0.1547,0.1471,60.2037,0.1875,0.6158,59.2837,6.7561,59554152.786,422.6188,0.512,5.41472364101792e-05,6.1095843749399e-05,6.66593485251432e-05,7.54413009219969e-05,6.35676476036377e-05,5.01397443810359e-05,4.75076482953871e-05,7.5464318981464e-05,5.9789185801641e-05,6.17418243010439e-05
"10d-10c-no7.dat",3.5081,1,322.2,7856.3698,0.676696312325812,5.1441,0.0181,358,0.9,0.2365,0.1485,0.1472,58.5849,0.1893,0.5648,60.6708,7.0626,139762515.6227,644.3747,0.5273,4.9197117972242e-05,6.67030213963105e-05,6.52779822981107e-05,7.3592929365706e-05,5.39907944805114e-05,5.32636367610431e-05,4.52798951771777e-05,7.36306333123069e-05,5.4227569025566e-05,6.67239768443075e-05
"10d-10c-no8.dat",3.4259,1,266.6,6558.8882,0.676733458239926,4.4463,0.01,296.2222,0.9,0.2632,0.1537,0.152,56.6734,0.1908,0.5847,59.206,6.6757,93402862.7372,527.1731,0.4997,4.83397852055705e-05,6.61234433261301e-05,6.87211087942345e-05,7.54568342182181e-05,6.82139696247813e-05,5.74965302296106e-05,4.69697292964422e-05,7.55087685587099e-05,5.53888350026973e-05,6.2966542701657e-05
"10d-10c-no9.dat",3.4299,1,269.1,7008.6531,0.676760257664688,4.9814,0.0109,299,0.9,0.2709,0.1523,0.1507,59.7263,0.1887,0.6067,54.611,6.9799,81177701.515,530.701,0.4958,4.75046380411499e-05,6.06400897051582e-05,5.91880887303095e-05,7.19448715915962e-05,5.79785855051404e-05,5.62949198386597e-05,4.49192744764789e-05,7.19662342783713e-05,5.48109547628958e-05,5.4465242916894e-05
