"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"10d-10c-no0.dat",3.436,1,272.9,6492.1165,0.676730879237039,4.8973,0.0138,303.2222,0.9,0.2628,0.1511,0.1493,60.5773,0.1891,0.6078,59.6463,6.9849,101870215.3475,534.9518,0.5,459.860291217047,602.862452506494,426.63209765621,2.83981872846845,350.259937518698,215.998608399654,509.273052924825,3.38985368522954,323.213173729327,569.934658697163
"10d-10c-no1.dat",3.4852,1,305.6,7393.1055,0.676701949994193,5.108,0.013,339.5556,0.9,0.2532,0.1508,0.1507,54.6688,0.1907,0.5842,62.4645,6.9163,131421076.65,606.2443,0.524,657.574731952794,644.203681881286,557.992211616736,2.14043780011848,452.462696090008,313.310136475497,649.729684855122,2.66401605403139,367.246711828456,595.576810861434
"10d-10c-no2.dat",3.5585,1,361.8,9722.6719,0.676819911438264,5.7179,0.0112,402,0.9,0.2389,0.1523,0.1504,69.8033,0.1922,0.5851,55.063,7.4071,163091175.8367,728.4902,0.5535,581.236552331836,629.596475344716,520.814734880203,3.52870373967001,507.821375693765,296.162219464927,740.418965034802,3.82807898936028,599.333159701127,511.499483391448
"10d-10c-no3.dat",3.414,1,259.4,7006.5874,0.676764116009749,4.9266,0.0123,288.2222,0.9,0.2544,0.1507,0.1507,71.6558,0.1897,0.6066,59.3805,6.7683,86723685.598,511.7865,0.5095,470.501779052258,461.841026694203,433.999948967781,2.50153698533016,345.001334713401,160.903252637996,515.07077682789,2.89580394599855,405.732968514684,529.507546571617
"10d-10c-no4.dat",3.482,1,303.4,6347.4094,0.676692383591533,4.2606,0.0109,337.1111,0.9,0.2379,0.1531,0.153,62.3683,0.1922,0.5629,64.8708,6.4329,149359918.8307,611.7603,0.464,499.526502901385,547.426899682607,309.30311203804,2.59538523764912,377.755482116699,230.564489816216,533.756495187731,2.89185936646284,404.958903314518,161.335170328012
"10d-10c-no5.dat",3.5784,1,378.8,7488.1798,0.676663886843262,4.2998,0.0158,420.8889,0.9,0.257,0.1474,0.1484,63.5855,0.1903,0.5347,60.4982,7.194,204165399.9244,757.98,0.5215,682.932929105634,617.384035565689,516.507156646597,2.1122380950245,417.258609738637,3.55399667012711,668.790420861448,3.49042810812082,418.250108035327,819.709977890426
"10d-10c-no6.dat",3.3347,1,216.1,5741.8109,0.676736130853215,4.3914,0.0141,240.1111,0.9,0.2625,0.1547,0.1471,60.2037,0.1875,0.6158,59.2837,6.7561,59554152.786,422.6188,0.512,503.819507565508,500.972867598718,341.38574355586,1.96547004807251,376.117099326266,300.696761291793,463.698880264886,2.69363179035543,369.022230873577,365.720271085497
"10d-10c-no7.dat",3.5081,1,322.2,7856.3698,0.676696312325812,5.1441,0.0181,358,0.9,0.2365,0.1485,0.1472,58.5849,0.1893,0.5648,60.6708,7.0626,139762515.6227,644.3747,0.5273,653.323416559371,478.165203458439,474.132667857689,3.26145181156685,418.855763679861,329.284124089202,573.973917302439,3.49331764625442,543.31286857778,533.586273216327
"10d-10c-no8.dat",3.4259,1,266.6,6558.8882,0.676733458239926,4.4463,0.01,296.2222,0.9,0.2632,0.1537,0.152,56.6734,0.1908,0.5847,59.206,6.6757,93402862.7372,527.1731,0.4997,525.353910411563,496.885737257213,385.186625606412,2.69283001079373,378.146894186525,402.809219718662,515.070713991327,2.99381611977585,409.292782491029,432.37934991337
"10d-10c-no9.dat",3.4299,1,269.1,7008.6531,0.676760257664688,4.9814,0.0109,299,0.9,0.2709,0.1523,0.1507,59.7263,0.1887,0.6067,54.611,6.9799,81177701.515,530.701,0.4958,547.532839820894,558.669895179743,574.335613151658,2.49799410717503,390.645228853146,321.024254932342,520.944328795468,2.90711547822937,424.834702963844,310.100986274957
"10d-20c-no0.dat",3.0056,1,101.3,5844.8966,0.676635040325889,8.6025,0.0558,112.5556,0.9,0.2611,0.1252,0.1324,38.8156,0.1851,0.5907,51.3316,7.968,10914615.4982,213.1133,0.4409,214.287193903179,368.563000733673,206.305705589239,361.831253624314,449.922037404351,446.254749868088,456.113564409024,370.41741298323,235.668908376707,258.666181076372
"10d-20c-no1.dat",2.9562,1,90.4,5518.936,0.676661851361243,8.0917,0.0548,100.4444,0.9,0.2956,0.1316,0.1278,48.2872,0.187,0.614,47.5813,7.7387,6788136.4192,181.2206,0.452,390.922177140316,329.310466293706,106.813245695158,339.429938488264,390.412015409305,396.346282760401,396.346282760401,374.981952593572,310.972908951592,302.585695391886
"10d-20c-no2.dat",3.066,1,116.4,5824.5831,0.676648027499401,8.0567,0.0526,145.5,0.8,0.2725,0.1321,0.1336,40.066,0.1901,0.6007,49.028,8.2332,12442506.6239,239.6871,0.4786,335.988888498486,404.598553889193,236.014377361285,377.827521946111,496.317322277489,495.162897347117,503.084608086967,360.525419011334,357.283720352939,328.274170088585
"10d-20c-no3.dat",3.0795,1,120.1,6332.8429,0.676624161926262,8.1115,0.05,133.4444,0.9,0.2333,0.129,0.1338,37.2893,0.1915,0.5701,52.2929,7.4505,14071500.449,248.1011,0.4895,286.817782874798,419.153569833928,187.870452660694,326.862147564392,475.110185610379,475.906704200665,475.906704200665,359.809852070671,275.743188670476,344.374123768992
"10d-20c-no4.dat",3.0892,1,122.8,5866.0794,0.676617948082223,7.8484,0.0439,153.5,0.8,0.2501,0.1345,0.1376,35.2856,0.1935,0.5636,49.3003,7.8693,14697548.7439,258.6576,0.5562,357.723534006025,391.037003047618,246.257223738053,358.788631177665,501.2863853416,501.877621342847,502.874658298234,284.018416823872,362.204037873288,385.730055010796
"10d-20c-no5.dat",3.0962,1,124.8,6193.9971,0.676601708491452,8.8606,0.053,138.6667,0.9,0.2481,0.1297,0.1337,44.0033,0.1888,0.566,50.6922,8.0389,14599255.3104,257.0829,0.4741,467.321486652795,431.473650812066,249.290946447126,397.505330948216,532.805984246387,532.805984246387,532.805984246387,462.0782181143,269.924825663246,400.319384133027
"10d-20c-no6.dat",3.1069,1,127.9,6311.3588,0.676628450588913,7.3151,0.0453,142.1111,0.9,0.2726,0.1337,0.1451,34.5236,0.189,0.5968,49.0559,7.4398,13703444.7993,257.4351,0.5024,437.017856346525,410.736120185259,290.268084457836,259.140572130869,477.685474958788,479.60652619412,480.393533364633,249.189514572941,325.103516869948,292.668067404137
"10d-20c-no7.dat",3.0342,1,108.2,5425.7951,0.676629504975856,8.1501,0.0591,120.2222,0.9,0.2436,0.117,0.1316,43.7554,0.1917,0.5487,49.0902,7.8496,11367814.453,227.35,0.5132,200.634200028257,368.733297717551,212.320497737959,308.284361922444,427.102021600353,427.102021600353,427.102021600353,340.512649364389,248.04297423795,314.738157355029
"10d-20c-no8.dat",3.1086,1,128.4,6116.6606,0.676644084251881,7.6597,0.0441,142.6667,0.9,0.2591,0.1298,0.1385,35.1471,0.1897,0.5763,49.2219,7.5969,13872762.3425,261.2291,0.543,378.826824488257,411.69216278614,261.817466958602,327.25253791039,488.421001132397,488.421001132397,488.421001132397,318.980924235635,213.708665459019,280.561655325007
