"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"10d-10c-no0.dat",3.436,1,272.9,6492.1165,0.676730879237039,4.8973,0.0138,303.2222,0.9,0.2628,0.1511,0.1493,60.5773,0.1891,0.6078,59.6463,6.9849,101870215.3475,534.9518,0.5,1.53940992486328,1.59259832326968,1.81497833569425,0.61228600696118,1.66571391536057,1.00036965319675,1.29531803322785,0.53659044668875,1.97475998803898,1.70904908070883
"10d-10c-no1.dat",3.4852,1,305.6,7393.1055,0.676701949994193,5.108,0.013,339.5556,0.9,0.2532,0.1508,0.1507,54.6688,0.1907,0.5842,62.4645,6.9163,131421076.65,606.2443,0.524,1.30629193995306,1.57521145316131,1.71898634120903,0.728917378034093,1.61054891192417,1.0621814643916,1.24838432021458,0.60763468297148,1.86548309293577,2.02276851762256
"10d-10c-no2.dat",3.5585,1,361.8,9722.6719,0.676819911438264,5.7179,0.0112,402,0.9,0.2389,0.1523,0.1504,69.8033,0.1922,0.5851,55.063,7.4071,163091175.8367,728.4902,0.5535,1.6580753987415,1.79528043840151,2.06577598243748,0.534530324868255,1.54365735623246,1.15502692849831,1.29737072134709,0.511409474476288,1.57805129651797,3.65766933665411
"10d-10c-no3.dat",3.414,1,259.4,7006.5874,0.676764116009749,4.9266,0.0123,288.2222,0.9,0.2544,0.1507,0.1507,71.6558,0.1897,0.6066,59.3805,6.7683,86723685.598,511.7865,0.5095,1.65353801675581,1.78241293321795,2.05843771772782,0.639791312184694,1.89341633072257,1.20685873100117,1.23224730215834,0.577579853643005,1.74963010826348,1.77364453564536
"10d-10c-no4.dat",3.482,1,303.4,6347.4094,0.676692383591533,4.2606,0.0109,337.1111,0.9,0.2379,0.1531,0.153,62.3683,0.1922,0.5629,64.8708,6.4329,149359918.8307,611.7603,0.464,1.4594105374802,1.78409250769587,2.45705451691279,0.634939623967035,1.9136524902443,1.18602988569073,1.45381607595286,0.591200704470923,1.72217378970693,3.18180510521122
"10d-10c-no5.dat",3.5784,1,378.8,7488.1798,0.676663886843262,4.2998,0.0158,420.8889,0.9,0.257,0.1474,0.1484,63.5855,0.1903,0.5347,60.4982,7.194,204165399.9244,757.98,0.5215,1.31384198654772,1.98795102753052,2.08996776093847,0.731694560127984,1.81867008021015,0.84207176425396,1.32170182475538,0.535465931376252,2.08116216282284,2.09272447650437
"10d-10c-no6.dat",3.3347,1,216.1,5741.8109,0.676736130853215,4.3914,0.0141,240.1111,0.9,0.2625,0.1547,0.1471,60.2037,0.1875,0.6158,59.2837,6.7561,59554152.786,422.6188,0.512,1.4394104229595,1.50477136444092,2.3662053276192,0.804114221645532,1.60329455666882,1.2939921730475,1.34892749603352,0.610277437383341,1.91673594661921,1.74312297349368
"10d-10c-no7.dat",3.5081,1,322.2,7856.3698,0.676696312325812,5.1441,0.0181,358,0.9,0.2365,0.1485,0.1472,58.5849,0.1893,0.5648,60.6708,7.0626,139762515.6227,644.3747,0.5273,1.40574410699304,1.90637945970002,1.87543142159437,0.573153992172465,1.77274574348385,1.09344834686262,1.38317318860161,0.537609202348635,1.57622755211288,1.95945854028752
"10d-10c-no8.dat",3.4259,1,266.6,6558.8882,0.676733458239926,4.4463,0.01,296.2222,0.9,0.2632,0.1537,0.152,56.6734,0.1908,0.5847,59.206,6.6757,93402862.7372,527.1731,0.4997,1.35813659824815,1.65590643925148,2.31083131388088,0.649793469092801,1.73229564537784,1.23026917291139,1.32191164068975,0.583986220029397,1.75038832395333,2.26548776661952
"10d-10c-no9.dat",3.4299,1,269.1,7008.6531,0.676760257664688,4.9814,0.0109,299,0.9,0.2709,0.1523,0.1507,59.7263,0.1887,0.6067,54.611,6.9799,81177701.515,530.701,0.4958,1.49671019881999,1.61847891009178,1.65806920211407,0.676078381444037,1.8601267354586,1.27253007586318,1.28871585754065,0.580840794615827,1.80226951100676,3.06905500032252
