"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"10d-10c-no0.dat",3.436,1,272.9,6492.1165,0.676730879237039,4.8973,0.0138,303.2222,0.9,0.2628,0.1511,0.1493,60.5773,0.1891,0.6078,59.6463,6.9849,101870215.3475,534.9518,0.5,0.0808220898116051,0.0695635004462142,0.0576870660156463,0.241261126810488,0.0919425841455015,0.147605536548703,0.125768142001539,0.176796992418226,0.0598717244221941,0.0633158175401008
"10d-10c-no1.dat",3.4852,1,305.6,7393.1055,0.676701949994193,5.108,0.013,339.5556,0.9,0.2532,0.1508,0.1507,54.6688,0.1907,0.5842,62.4645,6.9163,131421076.65,606.2443,0.524,0.0872289625678862,0.0842372117133888,0.0738868209275435,0.246564142148411,0.0895006996971789,0.122820707962319,0.113805339895991,0.218156636023491,0.0654325466965986,0.0480677363855081
"10d-10c-no2.dat",3.5585,1,361.8,9722.6719,0.676819911438264,5.7179,0.0112,402,0.9,0.2389,0.1523,0.1504,69.8033,0.1922,0.5851,55.063,7.4071,163091175.8367,728.4902,0.5535,0.0884636211105227,0.0641524559352149,0.0519050633947947,0.279321818609444,0.103344161681905,0.122590938284253,0.124858512161942,0.241933486154031,0.0695963091721206,0.038278146174203
"10d-10c-no3.dat",3.414,1,259.4,7006.5874,0.676764116009749,4.9266,0.0123,288.2222,0.9,0.2544,0.1507,0.1507,71.6558,0.1897,0.6066,59.3805,6.7683,86723685.598,511.7865,0.5095,0.119980709298467,0.0776395550494967,0.0654307883689091,0.265868149683902,0.113226764775128,0.149331908291959,0.14043729149234,0.215123890744896,0.0681712745049679,0.0595484601057422
"10d-10c-no4.dat",3.482,1,303.4,6347.4094,0.676692383591533,4.2606,0.0109,337.1111,0.9,0.2379,0.1531,0.153,62.3683,0.1922,0.5629,64.8708,6.4329,149359918.8307,611.7603,0.464,0.066136968272722,0.0826001125830481,0.0405851039464271,0.26473896935502,0.0738413659778468,0.140720512939994,0.125595168114953,0.160972484152353,0.0604326066977886,0.0609436717073533
"10d-10c-no5.dat",3.5784,1,378.8,7488.1798,0.676663886843262,4.2998,0.0158,420.8889,0.9,0.257,0.1474,0.1484,63.5855,0.1903,0.5347,60.4982,7.194,204165399.9244,757.98,0.5215,0.0868394760080909,0.0689119110647304,0.0627584418953305,0.236077286854629,0.0847387372478796,0.180029255863137,0.116939380163839,0.198040170416665,0.0673034628444195,0.0663648942778643
"10d-10c-no6.dat",3.3347,1,216.1,5741.8109,0.676736130853215,4.3914,0.0141,240.1111,0.9,0.2625,0.1547,0.1471,60.2037,0.1875,0.6158,59.2837,6.7561,59554152.786,422.6188,0.512,0.0934287299851512,0.0743007907005448,0.065456914370044,0.238744874792313,0.0954191073565606,0.144927543610286,0.139914483730465,0.191157041080774,0.0708645833093353,0.0494310004335184
"10d-10c-no7.dat",3.5081,1,322.2,7856.3698,0.676696312325812,5.1441,0.0181,358,0.9,0.2365,0.1485,0.1472,58.5849,0.1893,0.5648,60.6708,7.0626,139762515.6227,644.3747,0.5273,0.0919009035545334,0.0398291366768565,0.0556583587228884,0.243238478160709,0.103172468950861,0.13624206507511,0.116416044675209,0.182412166597299,0.0634201010648164,0.0688959905997111
"10d-10c-no8.dat",3.4259,1,266.6,6558.8882,0.676733458239926,4.4463,0.01,296.2222,0.9,0.2632,0.1537,0.152,56.6734,0.1908,0.5847,59.206,6.6757,93402862.7372,527.1731,0.4997,0.0971653903781404,0.0715985635494986,0.0397301288106469,0.244800655725534,0.0805245368844552,0.156340584989193,0.125371738896768,0.19623562427555,0.070387558686897,0.0605575552467261
"10d-10c-no9.dat",3.4299,1,269.1,7008.6531,0.676760257664688,4.9814,0.0109,299,0.9,0.2709,0.1523,0.1507,59.7263,0.1887,0.6067,54.611,6.9799,81177701.515,530.701,0.4958,0.0911770897703999,0.0833122078055657,0.0725864926850931,0.270722242991163,0.101227903236365,0.170566742813573,0.121232179371037,0.160678826447194,0.0914711281643949,0.0569619072106756
"10d-20c-no0.dat",3.0056,1,101.3,5844.8966,0.676635040325889,8.6025,0.0558,112.5556,0.9,0.2611,0.1252,0.1324,38.8156,0.1851,0.5907,51.3316,7.968,10914615.4982,213.1133,0.4409,0.0875782619280428,0.0997466898686077,0.0967350321849641,0.313324860407654,0.340892156455535,0.302293084014911,0.338835972081385,0.281010974279989,0.114619097596,0.0736076100711022
"10d-20c-no1.dat",2.9562,1,90.4,5518.936,0.676661851361243,8.0917,0.0548,100.4444,0.9,0.2956,0.1316,0.1278,48.2872,0.187,0.614,47.5813,7.7387,6788136.4192,181.2206,0.452,0.250045699512039,0.155596693203497,0.0811589619532657,0.493957995968336,0.493957995968336,0.388534302222327,0.388534302222327,0.345915581554431,0.115702904419104,0.103900481816642
"10d-20c-no2.dat",3.066,1,116.4,5824.5831,0.676648027499401,8.0567,0.0526,145.5,0.8,0.2725,0.1321,0.1336,40.066,0.1901,0.6007,49.028,8.2332,12442506.6239,239.6871,0.4786,0.104169957288449,0.194255611912537,0.0657529608313781,0.279432899219581,0.323823242398212,0.283544044307211,0.269584578117865,0.27201671169153,0.114312028507516,0.0982435487314659
"10d-20c-no3.dat",3.0795,1,120.1,6332.8429,0.676624161926262,8.1115,0.05,133.4444,0.9,0.2333,0.129,0.1338,37.2893,0.1915,0.5701,52.2929,7.4505,14071500.449,248.1011,0.4895,0.092813210965369,0.123546361687412,0.0704441174011996,0.296532363013451,0.26050621694833,0.271121398324832,0.271121398324832,0.245778865251672,0.0901654152265685,0.0914734009240704
"10d-20c-no4.dat",3.0892,1,122.8,5866.0794,0.676617948082223,7.8484,0.0439,153.5,0.8,0.2501,0.1345,0.1376,35.2856,0.1935,0.5636,49.3003,7.8693,14697548.7439,258.6576,0.5562,0.134900030436299,0.153602456173475,0.0818222272785193,0.315588208074291,0.218257083184749,0.266063045732056,0.316419379834101,0.210339318788592,0.111873116001163,0.0927369178165179
"10d-20c-no5.dat",3.0962,1,124.8,6193.9971,0.676601708491452,8.8606,0.053,138.6667,0.9,0.2481,0.1297,0.1337,44.0033,0.1888,0.566,50.6922,8.0389,14599255.3104,257.0829,0.4741,0.11063668390035,0.11063668390035,0.103919178255436,0.327856640853435,0.304712415046878,0.304712415046878,0.304712415046878,0.297830543314643,0.0842954869225284,0.0909279480864389
"10d-20c-no6.dat",3.1069,1,127.9,6311.3588,0.676628450588913,7.3151,0.0453,142.1111,0.9,0.2726,0.1337,0.1451,34.5236,0.189,0.5968,49.0559,7.4398,13703444.7993,257.4351,0.5024,0.256693570589377,0.146980808734294,0.098705228319175,0.232289305809757,0.200804321129478,0.249649311280564,0.249649311280564,0.173919185780461,0.0911480824031092,0.0840422320917475
"10d-20c-no7.dat",3.0342,1,108.2,5425.7951,0.676629504975856,8.1501,0.0591,120.2222,0.9,0.2436,0.117,0.1316,43.7554,0.1917,0.5487,49.0902,7.8496,11367814.453,227.35,0.5132,0.105887494904836,0.103931882431547,0.0901447598627276,0.323066110780059,0.369690342342947,0.369690342342947,0.369690342342947,0.307637403674824,0.101387418608787,0.126405144327829
"10d-20c-no8.dat",3.1086,1,128.4,6116.6606,0.676644084251881,7.6597,0.0441,142.6667,0.9,0.2591,0.1298,0.1385,35.1471,0.1897,0.5763,49.2219,7.5969,13872762.3425,261.2291,0.543,0.108264283682836,0.10607604255031,0.100664319372959,0.315241100513832,0.346974290412886,0.346974290412886,0.346974290412886,0.235350129922259,0.0836562189280125,0.0697371835117862
"10d-20c-no9.dat",3.1193,1,131.6,7367.3587,0.676638738299639,8.7943,0.0489,146.2222,0.9,0.2817,0.1276,0.1393,39.1585,0.1901,0.5813,48.3003,7.9177,15963323.6118,277.9349,0.4234,0.0842029690828722,0.112865172263855,0.108870939190663,0.245374297022616,0.347053875789229,0.347053875789229,0.347053875789229,0.263093525724202,0.100940119101721,0.0887217469857453
"10d-40c-no0.dat",3.2871,1,193.7,6642.3071,0.676590814852923,10.892,0.0348,215.2222,0.9,0.2136,0.1322,0.1387,42.3403,0.1904,0.5056,59.1591,8.176,46439378.0106,398.8921,0.5358,0.0881214396419098,0.113090748464041,0.0725725325494428,0.222104297855653,0.368609301169263,0.272785241900413,0.272785241900413,0.252768280043456,0.0953681045676646,0.0718746329814349
"10d-40c-no1.dat",3.3596,1,228.9,6533.8931,0.676579756489111,10.237,0.0303,254.3333,0.9,0.2137,0.1373,0.1438,36.9333,0.1923,0.5121,58.4901,8.2245,59433811.9708,462.8194,0.4852,0.099494367005085,0.127979077219716,0.065492682791232,0.238927867949946,0.29526530706567,0.254044686539089,0.257127702806548,0.179065475438726,0.0807348006654288,0.0482723010223559
"10d-40c-no2.dat",3.3983,1,250.2,8020.0413,0.67656276220982,11.2487,0.0289,278,0.9,0.1958,0.1381,0.1461,38.6647,0.1901,0.4951,58.3279,8.261,69358897.4539,500.8406,0.4839,0.10386208522292,0.098308269532794,0.0992298480835921,0.247151790249315,0.199846830264572,0.266063045732056,0.306382091255487,0.165670213730605,0.077639207665058,0.0586238159860661
"10d-40c-no3.dat",3.3556,1,226.8,7388.2075,0.676630693610275,8.811,0.0278,252,0.9,0.2096,0.1391,0.1477,35.5176,0.1968,0.5073,54.0092,7.9519,59744613.6677,484.0777,0.5036,0.090853213526482,0.142310542893961,0.0604988359017763,0.211186410233908,0.238290670743903,0.234100149148888,0.238290670743903,0.142509605579448,0.0950077708393515,0.0590614921046431
"10d-40c-no4.dat",3.4325,1,270.7,7344.97,0.676587918010063,10.4822,0.0266,300.7778,0.9,0.2071,0.1366,0.1508,33.5324,0.1984,0.4913,56.5359,8.1509,90493144.4936,590.2881,0.5411,0.0939230671458943,0.09817331339101,0.0777404556041989,0.251599841362754,0.252510460474234,0.235655014704569,0.250194289212752,0.126959387286143,0.0895308614704479,0.0551515719270085
"10d-40c-no5.dat",3.372,1,235.5,6340.6168,0.676558632467156,10.7515,0.0314,261.6667,0.9,0.2218,0.1303,0.1442,37.9475,0.1867,0.4993,60.2339,8.1952,59626922.6616,463.5468,0.5335,0.0885662950688755,0.10320650212333,0.0493488241160586,0.254362993444812,0.352800253296822,0.325065567229618,0.28694103134837,0.208337851837618,0.0692876410810523,0.0400928059720286
"10d-40c-no6.dat",3.4252,1,266.2,7770.5959,0.676569187947175,10.1519,0.0303,295.7778,0.9,0.2312,0.1317,0.1488,36.2032,0.1931,0.5136,56.2166,8.2909,84696988.2878,559.0727,0.5098,0.167642568876844,0.118389054319384,0.0806168498635988,0.200123800674676,0.227414271237561,0.204857000905409,0.204877171789664,0.153442992151908,0.0615064124041345,0.0439352474146552
"10d-40c-no7.dat",3.3345,1,216,6844.0351,0.676606542126294,9.4583,0.0306,240,0.9,0.2218,0.1399,0.1422,38.975,0.1944,0.5,55.3852,8.2336,53789522.8682,456.0695,0.546,0.0895157073486361,0.129032583109577,0.097555479878634,0.282773053485417,0.289644662775713,0.290471556951015,0.306248090028652,0.146403377604853,0.102091448140301,0.0667452796180596
"10d-40c-no8.dat",3.3629,1,230.6,7541.7192,0.676587058100547,9.7516,0.0307,256.2222,0.9,0.218,0.134,0.1462,41.2542,0.1909,0.4922,56.0181,8.1194,60566625.4122,474.8535,0.5217,0.115252876629776,0.0978472036716196,0.0687981089585927,0.215759348275977,0.275752829336387,0.272774696846559,0.2529361596429,0.153390670724049,0.0695181984428399,0.0612110800607937
"10d-40c-no9.dat",3.3746,1,236.9,9027.4626,0.676637546762571,11.1177,0.0264,263.2222,0.9,0.2064,0.1417,0.1485,35.6771,0.1958,0.5208,54.6047,8.3304,64530699.3635,488.884,0.4831,0.0924682853770203,0.108110681736095,0.075057709392333,0.25728088375578,0.256616389402581,0.299627695086992,0.236174871367085,0.182871062291038,0.0751680912614338,0.0557559203207389
"10d-4c-no0.dat",3.1103,1,128.9,3214.0548,0.676773340625588,2.87,7e-04,143.2222,0.9,0.3575,0.1945,0.1609,59.2565,0.194,0.6138,42.9446,6.4812,19383200.1426,259.9389,0.4607,0.0852891996864473,0.271834232208338,0.0559720663343038,0.245592869099763,0.271834232208338,0.272688177416047,0.271834232208338,0.201150249621663,0.141314343879595,0.0808056596328133
"10d-4c-no1.dat",2.9814,1,95.8,2857.622,0.676827162253358,2.4775,3e-04,106.4444,0.9,0.3191,0.1945,0.158,63.8976,0.1926,0.6481,47.3657,6.3982,10721224.9914,190.4443,0.4707,0.149136874946221,0.0764751725464109,0.149136874946221,0.276463698370473,0.163745423060912,0.181527535117299,0.179774144236604,0.206130987555466,0.146431575504911,0.0913290447312412
"10d-4c-no2.dat",2.9232,1,83.8,1764.9502,0.676731575872597,1.8917,0.0039,93.1111,0.9,0.3284,0.1728,0.1541,64.5825,0.1937,0.6145,54.3389,5.8896,10080308.1092,168.2858,0.5331,0.130270734051215,0.130270734051215,0.0862641598927169,0.242740371050993,0.114300726037688,0.157179129886937,0.145921153457481,0.181039795194607,0.122736732888273,0.117306800871183
"10d-4c-no3.dat",3.1199,1,131.8,3276.7065,0.676736766533162,2.5419,0.0021,146.4444,0.9,0.2819,0.1736,0.1576,51.3623,0.1935,0.6089,48.214,6.1012,17371694.8394,264.6365,0.5111,0.0867678405007226,0.0919256975992849,0.0654263556387859,0.24643127252192,0.108827015290561,0.171403442576622,0.109663604159231,0.231955869817899,0.0672415923942739,0.0864028279595624
"10d-4c-no4.dat",2.9699,1,93.3,2633.1001,0.676768667362057,1.8609,5e-04,103.6667,0.9,0.3573,0.1938,0.1553,54.0985,0.195,0.6071,48.6057,5.7542,9827902.3438,187.5253,0.4934,0.0838074963649166,0.153133108357075,0.0889754134466514,0.241255128140454,0.118216893942532,0.202046954844343,0.146479968511321,0.219441620189045,0.0864438494353888,0.0862746271557262
"10d-4c-no5.dat",3.0565,1,113.9,3053.6656,0.676776290441777,2.9191,3e-04,126.5556,0.9,0.3235,0.1943,0.1653,64.4846,0.1995,0.5976,44.3996,6.1594,14134576.7908,237.7858,0.4943,0.161758323411395,0.121185499317107,0.0544779414221771,0.2409232656715,0.111414525412651,0.191782012633025,0.15955257666865,0.185702169002593,0.0877622201221502,0.063005324081587
"10d-4c-no6.dat",2.9899,1,97.7,2491.8974,0.676737368832654,2.4318,0.002,108.5556,0.9,0.3068,0.184,0.1537,57.9823,0.196,0.5923,48.1614,5.7897,10859542.3024,199.0674,0.5175,0.119656247088931,0.132298649673589,0.0683842596119609,0.260304188210872,0.131169688768565,0.228652984288908,0.213341811914215,0.222377966081114,0.10572661408622,0.0969159359621104
"10d-4c-no7.dat",3.1708,1,148.2,3414.777,0.676704883845817,2.4336,0.0016,185.25,0.8,0.3563,0.191,0.1472,47.8328,0.1861,0.6799,50.2532,7.5671,22861807.3724,282.9713,0.5672,0.105536641770067,0.148787766874746,0.0905108368498735,0.219903188338071,0.102150776456104,0.203458778487515,0.203458778487515,0.149654154670171,0.0876148918269614,0.105536641770067
"10d-4c-no8.dat",2.985,1,96.6,2223.3143,0.676719096662512,2.2637,0.0015,107.3333,0.9,0.273,0.1824,0.1534,58.861,0.1934,0.6019,49.1546,5.6283,11251166.4281,194.3526,0.4951,0.108950092358237,0.14976157547292,0.0988815152300342,0.265041240643865,0.174177313010056,0.183847342556848,0.155899325769702,0.210084769248504,0.0988641182669717,0.0745571447707367
"10d-4c-no9.dat",3.073,1,118.3,2092.9939,0.676691676796707,1.8208,0.0015,131.4444,0.9,0.3066,0.1774,0.1575,61.7954,0.1906,0.6684,56.6699,5.3403,17316346.8119,231.8013,0.487,0.164890964399668,0.125772258346145,0.107588442122973,0.252182485271332,0.124477780768877,0.183992386557771,0.181615485538161,0.205378085417567,0.138693379803877,0.108327809932845
"2d-10c-no0.dat",3.473,0.301,1486,27.1526,0.676563258562655,94.7976,0.001,1486,1,0.5675,0.1526,0.1801,5.7629,0.1777,0.8034,10.8436,372.743,818959.5073,565.4182,0.5038,0.00885134938822905,0.00344030247771012,0.00127679725548636,0.0517737739163646,0.00194392780648899,0.0240730419027539,0.0583672409718093,0.0240359886001992,0.00928256847371978,0.0050397050229281
"2d-10c-no1.dat",3.4023,0.301,1262.5,193.6764,0.67661216383011,112.4903,0.0042,1262.5,1,0.5672,0.184,0.1603,8.4666,0.1796,0.7962,9.9965,630.9364,1250468.0464,505.8104,0.5413,0.00182016478816269,0.00563964164137793,0.000694978757213555,0.0442953455980031,0.00491412528431189,0.0149191418108024,0.00593366399620952,0.0103934161185114,0.00673320502389462,0.00334056866061509
"2d-10c-no2.dat",3.4876,0.301,1536.5,423.0761,0.676565760645365,151.3574,0,1536.5,1,0.6577,0.1754,0.2017,6.8471,0.1829,0.8262,12.1575,651.147,1403446.5457,623.2757,0.384,0.0072311714804101,0.00477666800067046,0.00217304063975934,0.0687902269678514,0.00653937932018648,0.0368449248096789,0.0108224829201261,0.0133764732839558,0.00425297635464509,0.00335557644532165
"2d-10c-no3.dat",3.5262,0.301,1679.5,496.8316,0.676530285205265,236.1748,0,1679.5,1,0.531,0.2122,0.1725,6.3137,0.1872,0.7987,10.5814,686.9597,925410.1029,698.4214,0.5605,0.0127030354830844,0.00601689258964322,0.00329556350436903,0.0847623399150969,0.0116476439636554,0.0257764051659052,0.00973669972339292,0.0508347081796688,0.00357309690720632,0.00704639838407611
"2d-10c-no4.dat",3.5173,0.301,1645.5,183.3464,0.676585740298284,124.8025,0.0033,1645.5,1,0.698,0.1596,0.1665,7.019,0.1803,0.8097,10.0291,626.7592,764512.9214,646.0526,0.4286,0.00829014063330597,0.00305392598191001,0.000759227225274727,0.0442718379049245,0.0283469865697763,0.0253728341286209,0.0205383280619386,0.026042432523379,0.00360975031586929,0.00922516872295611
"2d-10c-no5.dat",3.5599,0.301,1815,48.297,0.676588708981686,167.2791,2e-04,1815,1,0.7335,0.1856,0.1826,14.4266,0.177,0.8827,10.9812,765.6859,1302422.1007,741.9055,0.561,0.00213186258204947,0.00165149696560598,0.000565235995678752,0.0901056901353558,0.042622715364271,0.0128578369804573,0.0048853426027335,0.0210679427694782,0.00260012306346146,0.00213186258204947
"2d-10c-no6.dat",3.5325,0.301,1704,66.577,0.676614020073605,96.1482,0.0026,1704,1,0.5758,0.1698,0.1694,9.1731,0.176,0.8092,10.3234,712.4282,1817727.0852,672.7621,0.4808,0.00528460258758124,0.000797455002031907,0.000640989467700771,0.0808486872031877,0.0169826629629871,0.0179840677454209,0.0085202510394805,0.0251811948038252,0.00298924572582726,0.000203405851279555
"2d-10c-no7.dat",3.4038,0.301,1267,433.0298,0.676606829488461,110.5555,0.0012,1267,1,0.6213,0.1871,0.1783,9.4512,0.176,0.8122,11.2026,811.5412,1789947.4994,480.1452,0.3143,0.00704259235991836,0.00465159534622977,0.000682946982687175,0.04987434620869,0.0187260833197939,0.0204770618869854,0.0147417934845938,0.021403086004082,0.00770668530529083,0.00520733347165255
"2d-10c-no8.dat",3.4518,0.301,1415,283.1979,0.6765869557822,203.2103,0,1415,1,0.7287,0.1897,0.1981,7.9666,0.1796,0.8237,10.9094,851.968,374042.9603,557.8069,0.5563,0.00591490369832132,0.00868733294581843,0.00143070162644932,0.0619266199911737,0.0316815240852019,0.0247584541193811,0.0183934004241532,0.0222636600835843,0.00407273219037211,0.0115248304577907
"2d-10c-no9.dat",3.5539,0.301,1790,92.7729,0.676543909510047,207.7096,0,1790,1,0.5454,0.1837,0.181,5.9482,0.1778,0.8237,11.6969,786.2712,483752.6732,709.113,0.5057,0.0123439721869928,0.00724594828782039,0.00160923080372985,0.052752676704803,0.0128576199084764,0.02064573299466,0.0179130004097069,0.0118369740876716,0.008647708545376,0.0114635464882741
"2d-20c-no0.dat",3.181,0.301,758.5,109.2867,0.676589290236979,48.3451,0,758.5,1,0.6076,0.1919,0.1843,5.407,0.1696,0.7953,11.9418,359.4942,63265.7786,274.9094,0.4476,0.0125711705776144,0.0134912449482284,0.0132964154272784,0.127930362395155,0.0289633978139406,0.103740857520543,0.112745044797359,0.109356382179063,0.00546818829142161,0.00334080247430656
"2d-20c-no1.dat",3.0903,0.301,615.5,16.9623,0.67661191129972,34.3269,5e-04,615.5,1,0.5393,0.1772,0.1685,7.9653,0.1718,0.8335,10.1106,339.9658,134379.4632,225.6193,0.4731,0.00700215962540368,0.0103286479897772,0.00856964900470456,0.116476336897132,0.0390833407724766,0.0637938674773121,0.0266857628218286,0.0525389345215882,0.0105064379936339,0.0116962293291904
"2d-20c-no2.dat",3.035,0.301,542,12.7314,0.676620765102258,30.502,0.0076,542,1,0.6636,0.16,0.1603,6.666,0.1698,0.8196,9.7654,237.2127,54553.6747,196.4464,0.6254,0.0115936679465053,0.0112927867447493,0.00359372853967712,0.100603924545043,0.0222152113567744,0.0436964416170446,0.0249772448852437,0.0493914418812868,0.0151884643959029,0.00885652936786222
