"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"10d-10c-no0.dat",3.436,1,272.9,6492.1165,0.676730879237039,4.8973,0.0138,303.2222,0.9,0.2628,0.1511,0.1493,60.5773,0.1891,0.6078,59.6463,6.9849,101870215.3475,534.9518,0.5,0.549300023218132,0.573749800906713,0.419320834739525,0.235022512582661,0.538071119574426,0.621885123767591,0.591672535377218,0.147351958108547,0.473115710523494,0.525087172599516
"10d-10c-no1.dat",3.4852,1,305.6,7393.1055,0.676701949994193,5.108,0.013,339.5556,0.9,0.2532,0.1508,0.1507,54.6688,0.1907,0.5842,62.4645,6.9163,131421076.65,606.2443,0.524,0.563696463469813,0.586307287721089,0.466549776316164,0.214066852884838,0.512995192817767,0.597706482412452,0.565384915655979,0.123749881788395,0.521001852386267,0.433034255600876
"10d-10c-no2.dat",3.5585,1,361.8,9722.6719,0.676819911438264,5.7179,0.0112,402,0.9,0.2389,0.1523,0.1504,69.8033,0.1922,0.5851,55.063,7.4071,163091175.8367,728.4902,0.5535,0.499290317220304,0.497353767792565,0.417463716000464,0.243278944866494,0.562678249820978,0.591174792626828,0.54866958148041,0.147440988434855,0.56042233444027,0.410612939832824
"10d-10c-no3.dat",3.414,1,259.4,7006.5874,0.676764116009749,4.9266,0.0123,288.2222,0.9,0.2544,0.1507,0.1507,71.6558,0.1897,0.6066,59.3805,6.7683,86723685.598,511.7865,0.5095,0.585349631018114,0.559689390920755,0.439604157060648,0.229325726326449,0.572716129076491,0.625998430976628,0.588935349194099,0.135368252756697,0.506031575281326,0.50087639741544
"10d-10c-no4.dat",3.482,1,303.4,6347.4094,0.676692383591533,4.2606,0.0109,337.1111,0.9,0.2379,0.1531,0.153,62.3683,0.1922,0.5629,64.8708,6.4329,149359918.8307,611.7603,0.464,0.522699276910669,0.543752000590404,0.356569158698839,0.229011867977402,0.544772908407383,0.59809962828905,0.556537962271846,0.132206240024403,0.488412236410324,0.36339836990206
"10d-10c-no5.dat",3.5784,1,378.8,7488.1798,0.676663886843262,4.2998,0.0158,420.8889,0.9,0.257,0.1474,0.1484,63.5855,0.1903,0.5347,60.4982,7.194,204165399.9244,757.98,0.5215,0.499592828373102,0.483265101535071,0.406055704117816,0.209164153517369,0.441329692165757,0.100961091726851,0.496502491507982,0.138009120358756,0.454040826185767,0.393045354474851
"10d-10c-no6.dat",3.3347,1,216.1,5741.8109,0.676736130853215,4.3914,0.0141,240.1111,0.9,0.2625,0.1547,0.1471,60.2037,0.1875,0.6158,59.2837,6.7561,59554152.786,422.6188,0.512,0.592630236930989,0.589916556882429,0.438283711638758,0.214230636935491,0.53099444649562,0.625527798180718,0.600052998165266,0.135930121145338,0.530884081088345,0.524495079647913
"10d-10c-no7.dat",3.5081,1,322.2,7856.3698,0.676696312325812,5.1441,0.0181,358,0.9,0.2365,0.1485,0.1472,58.5849,0.1893,0.5648,60.6708,7.0626,139762515.6227,644.3747,0.5273,0.553163345952695,0.483063734591192,0.404717288968424,0.244483826183557,0.534350775653355,0.589058130395614,0.553042362008219,0.147261414894991,0.550078403454162,0.403427045453903
"10d-10c-no8.dat",3.4259,1,266.6,6558.8882,0.676733458239926,4.4463,0.01,296.2222,0.9,0.2632,0.1537,0.152,56.6734,0.1908,0.5847,59.206,6.6757,93402862.7372,527.1731,0.4997,0.568865059390749,0.55144262713016,0.431248149456231,0.232412143324645,0.486808248344559,0.603066086171119,0.570348365567458,0.136834006258436,0.516307245358715,0.443060420500918
"10d-10c-no9.dat",3.4299,1,269.1,7008.6531,0.676760257664688,4.9814,0.0109,299,0.9,0.2709,0.1523,0.1507,59.7263,0.1887,0.6067,54.611,6.9799,81177701.515,530.701,0.4958,0.562867474435899,0.56885929550501,0.51886193414742,0.225091867874495,0.563310350497277,0.596790238410351,0.588560143574615,0.13230031070841,0.578631231838958,0.53567099525921
"10d-20c-no0.dat",3.0056,1,101.3,5844.8966,0.676635040325889,8.6025,0.0558,112.5556,0.9,0.2611,0.1252,0.1324,38.8156,0.1851,0.5907,51.3316,7.968,10914615.4982,213.1133,0.4409,0.577011058726648,0.640380366093359,0.647672906608641,0.749483422641035,0.706462003769024,0.703123266088089,0.675932693691961,0.713247094773758,0.619311622135292,0.635417107172057
"10d-20c-no1.dat",2.9562,1,90.4,5518.936,0.676661851361243,8.0917,0.0548,100.4444,0.9,0.2956,0.1316,0.1278,48.2872,0.187,0.614,47.5813,7.7387,6788136.4192,181.2206,0.452,0.723093407641016,0.673528728431747,0.563959242937386,0.782222342393906,0.749063778364169,0.743413062939906,0.724992999186201,0.752021147784005,0.706953564298364,0.664320455418624
"10d-20c-no2.dat",3.066,1,116.4,5824.5831,0.676648027499401,8.0567,0.0526,145.5,0.8,0.2725,0.1321,0.1336,40.066,0.1901,0.6007,49.028,8.2332,12442506.6239,239.6871,0.4786,0.624563176658155,0.724665000547928,0.583086505924424,0.748922995703843,0.698159752279481,0.690748498674163,0.646307205491222,0.710215967843109,0.684653222972014,0.629252922882285
"10d-20c-no3.dat",3.0795,1,120.1,6332.8429,0.676624161926262,8.1115,0.05,133.4444,0.9,0.2333,0.129,0.1338,37.2893,0.1915,0.5701,52.2929,7.4505,14071500.449,248.1011,0.4895,0.597071483704247,0.668663024914745,0.537339785932284,0.719403674141253,0.676226459809071,0.669259132003322,0.645515647848368,0.681579993332719,0.6139597038358,0.646412907885595
"10d-20c-no4.dat",3.0892,1,122.8,5866.0794,0.676617948082223,7.8484,0.0439,153.5,0.8,0.2501,0.1345,0.1376,35.2856,0.1935,0.5636,49.3003,7.8693,14697548.7439,258.6576,0.5562,0.627201285887359,0.658660988550397,0.586230532561523,0.722755094431333,0.662061565222499,0.65405285747221,0.629676711347207,0.681631766286101,0.649981425763259,0.635239792262897
"10d-20c-no5.dat",3.0962,1,124.8,6193.9971,0.676601708491452,8.8606,0.053,138.6667,0.9,0.2481,0.1297,0.1337,44.0033,0.1888,0.566,50.6922,8.0389,14599255.3104,257.0829,0.4741,0.640122434525786,0.673293544518143,0.60557287906742,0.744283332908034,0.705602480863796,0.698687689339458,0.677056845479143,0.704404494138965,0.622318782888277,0.651833466840361
