"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"10d-10c-no0.dat",3.436,1,272.9,6492.1165,0.676730879237039,4.8973,0.0138,303.2222,0.9,0.2628,0.1511,0.1493,60.5773,0.1891,0.6078,59.6463,6.9849,101870215.3475,534.9518,0.5,0.128607954719666,0.0678690615781682,0.108591411183996,0.050972614685905,0.101161469986657,0.0949466964618247,0.0787130123424557,0.0401251276724517,0.197830427676574,0.0747703490905441
"10d-10c-no1.dat",3.4852,1,305.6,7393.1055,0.676701949994193,5.108,0.013,339.5556,0.9,0.2532,0.1508,0.1507,54.6688,0.1907,0.5842,62.4645,6.9163,131421076.65,606.2443,0.524,0.0750346521797966,0.0650318384057365,0.0767772359103489,0.0790726352064262,0.0994449477839938,0.0948455914078313,0.0723350864759777,0.0685066039527329,0.162189020422879,0.0975192303177384
"10d-10c-no2.dat",3.5585,1,361.8,9722.6719,0.676819911438264,5.7179,0.0112,402,0.9,0.2389,0.1523,0.1504,69.8033,0.1922,0.5851,55.063,7.4071,163091175.8367,728.4902,0.5535,0.122706999815195,0.097059378333811,0.100771253336531,0.0528398479416176,0.122833036512747,0.11208749547522,0.0857728842882952,0.0495910410351635,0.108806112337471,0.276135470131057
"10d-10c-no3.dat",3.414,1,259.4,7006.5874,0.676764116009749,4.9266,0.0123,288.2222,0.9,0.2544,0.1507,0.1507,71.6558,0.1897,0.6066,59.3805,6.7683,86723685.598,511.7865,0.5095,0.107442344592573,0.074253233249967,0.105983786875699,0.0604049287003922,0.135843197672532,0.106300733081324,0.0846991509458335,0.0526805249092678,0.128377496349629,0.0823373698048156
"10d-10c-no4.dat",3.482,1,303.4,6347.4094,0.676692383591533,4.2606,0.0109,337.1111,0.9,0.2379,0.1531,0.153,62.3683,0.1922,0.5629,64.8708,6.4329,149359918.8307,611.7603,0.464,0.0677872803548428,0.0786594555026212,0.120790502079779,0.0506764162883101,0.136162549401187,0.100611200387088,0.0739891821510009,0.0522014868053889,0.0936344081792129,0.229760341196351
"10d-10c-no5.dat",3.5784,1,378.8,7488.1798,0.676663886843262,4.2998,0.0158,420.8889,0.9,0.257,0.1474,0.1484,63.5855,0.1903,0.5347,60.4982,7.194,204165399.9244,757.98,0.5215,0.0855569670550333,0.102185980654166,0.0960835712588887,0.0699517228970128,0.111544974634125,0.043275892849294,0.0856881541093382,0.049446861295954,0.165066579889832,0.104693158301811
"10d-10c-no6.dat",3.3347,1,216.1,5741.8109,0.676736130853215,4.3914,0.0141,240.1111,0.9,0.2625,0.1547,0.1471,60.2037,0.1875,0.6158,59.2837,6.7561,59554152.786,422.6188,0.512,0.0739728405649163,0.068690955656049,0.121715538297553,0.0844371770438983,0.0925015684866887,0.102572926880341,0.0746759432689406,0.0716874401731222,0.138403400741718,0.0972692049989901
"10d-10c-no7.dat",3.5081,1,322.2,7856.3698,0.676696312325812,5.1441,0.0181,358,0.9,0.2365,0.1485,0.1472,58.5849,0.1893,0.5648,60.6708,7.0626,139762515.6227,644.3747,0.5273,0.0984159107718757,0.0840594768855017,0.0946423282095351,0.0467862197831215,0.136345591101958,0.0982155108427141,0.105723103894035,0.0577356611740754,0.162558503681337,0.0914754885887138
"10d-10c-no8.dat",3.4259,1,266.6,6558.8882,0.676733458239926,4.4463,0.01,296.2222,0.9,0.2632,0.1537,0.152,56.6734,0.1908,0.5847,59.206,6.6757,93402862.7372,527.1731,0.4997,0.0878115060351801,0.0751967314737289,0.111296096812574,0.0775446199894585,0.0927274748004136,0.0841552426130797,0.0784389659664902,0.0478334326132339,0.134527113884046,0.105521493455493
"10d-10c-no9.dat",3.4299,1,269.1,7008.6531,0.676760257664688,4.9814,0.0109,299,0.9,0.2709,0.1523,0.1507,59.7263,0.1887,0.6067,54.611,6.9799,81177701.515,530.701,0.4958,0.108363979790023,0.0741558693481264,0.0911250315424854,0.092271521345429,0.107140574946397,0.0934003328956744,0.081373648532003,0.0476573205614468,0.12428153755171,0.25709446146967
"10d-20c-no0.dat",3.0056,1,101.3,5844.8966,0.676635040325889,8.6025,0.0558,112.5556,0.9,0.2611,0.1252,0.1324,38.8156,0.1851,0.5907,51.3316,7.968,10914615.4982,213.1133,0.4409,0.329480110758611,0.388397059992277,0.426953487642065,0.118219380510103,0.110398554203465,0.104528220103937,0.125246604002765,0.152254236235623,0.197555165084451,0.109260885583295
"10d-20c-no1.dat",2.9562,1,90.4,5518.936,0.676661851361243,8.0917,0.0548,100.4444,0.9,0.2956,0.1316,0.1278,48.2872,0.187,0.614,47.5813,7.7387,6788136.4192,181.2206,0.452,0.115671416480553,0.349636427489969,0.455598232708262,0.167857668480751,0.10510369403601,0.108205708927713,0.108205708927713,0.0946771768208888,0.254082043457055,0.366054012762351
"10d-20c-no2.dat",3.066,1,116.4,5824.5831,0.676648027499401,8.0567,0.0526,145.5,0.8,0.2725,0.1321,0.1336,40.066,0.1901,0.6007,49.028,8.2332,12442506.6239,239.6871,0.4786,0.373481736165408,0.104456075401844,0.375975130776522,0.0854451678359072,0.1099349377895,0.110156914291524,0.155168982461637,0.127641405959301,0.102799928960189,0.142725229485012
"10d-20c-no3.dat",3.0795,1,120.1,6332.8429,0.676624161926262,8.1115,0.05,133.4444,0.9,0.2333,0.129,0.1338,37.2893,0.1915,0.5701,52.2929,7.4505,14071500.449,248.1011,0.4895,0.309571732058325,0.313496009087985,0.397612007709779,0.124842105379061,0.12353577320816,0.12215660704189,0.12215660704189,0.106205227111774,0.3379178503531,0.11725667707304
"10d-20c-no4.dat",3.0892,1,122.8,5866.0794,0.676617948082223,7.8484,0.0439,153.5,0.8,0.2501,0.1345,0.1376,35.2856,0.1935,0.5636,49.3003,7.8693,14697548.7439,258.6576,0.5562,0.297324942083539,0.321291932482658,0.418408425165414,0.102397439676102,0.127982290077188,0.12758282541204,0.127560214944693,0.111475981779218,0.159413198435771,0.123505464286106
"10d-20c-no5.dat",3.0962,1,124.8,6193.9971,0.676601708491452,8.8606,0.053,138.6667,0.9,0.2481,0.1297,0.1337,44.0033,0.1888,0.566,50.6922,8.0389,14599255.3104,257.0829,0.4741,0.408968337747553,0.409215783769037,0.488615782756958,0.137586733055584,0.121066674403968,0.121066674403968,0.121066674403968,0.1162194434432,0.312144249773337,0.358214350055921
"10d-20c-no6.dat",3.1069,1,127.9,6311.3588,0.676628450588913,7.3151,0.0453,142.1111,0.9,0.2726,0.1337,0.1451,34.5236,0.189,0.5968,49.0559,7.4398,13703444.7993,257.4351,0.5024,0.115438866600316,0.336888808972459,0.385205411075062,0.160666887133574,0.116784153890009,0.12335716976598,0.123601035438866,0.152779610293198,0.416373260186498,0.154787545073413
"10d-20c-no7.dat",3.0342,1,108.2,5425.7951,0.676629504975856,8.1501,0.0591,120.2222,0.9,0.2436,0.117,0.1316,43.7554,0.1917,0.5487,49.0902,7.8496,11367814.453,227.35,0.5132,0.335388759879873,0.35585294939529,0.435752975027475,0.154874144830095,0.142408488733973,0.142408488733973,0.142408488733973,0.121394067626349,0.446269161333442,0.119945518008008
"10d-20c-no8.dat",3.1086,1,128.4,6116.6606,0.676644084251881,7.6597,0.0441,142.6667,0.9,0.2591,0.1298,0.1385,35.1471,0.1897,0.5763,49.2219,7.5969,13872762.3425,261.2291,0.543,0.302450734410554,0.369562447903824,0.410771125117648,0.163602730761986,0.12217999825323,0.12217999825323,0.12217999825323,0.132966549148876,0.389889444887647,0.366419970039317
"10d-20c-no9.dat",3.1193,1,131.6,7367.3587,0.676638738299639,8.7943,0.0489,146.2222,0.9,0.2817,0.1276,0.1393,39.1585,0.1901,0.5813,48.3003,7.9177,15963323.6118,277.9349,0.4234,0.397813046710876,0.427424000783961,0.355028214919147,0.102058191984395,0.128227148369654,0.128227148369654,0.128227148369654,0.147438705563647,0.319170670706746,0.397335642738985
"10d-40c-no0.dat",3.2871,1,193.7,6642.3071,0.676590814852923,10.892,0.0348,215.2222,0.9,0.2136,0.1322,0.1387,42.3403,0.1904,0.5056,59.1591,8.176,46439378.0106,398.8921,0.5358,0.327023441137746,0.37992775746725,0.435213528358525,0.179456538379346,0.125976488705734,0.126008753521657,0.125214940679817,0.127898990730128,0.420372834933454,0.197711396769687
"10d-40c-no1.dat",3.3596,1,228.9,6533.8931,0.676579756489111,10.237,0.0303,254.3333,0.9,0.2137,0.1373,0.1438,36.9333,0.1923,0.5121,58.4901,8.2245,59433811.9708,462.8194,0.4852,0.339019590323827,0.395239802040674,0.439936605621458,0.213107765026059,0.133188313807326,0.120300359878758,0.165565224711536,0.177251524065699,0.305861578288225,0.351399662535532
"10d-40c-no2.dat",3.3983,1,250.2,8020.0413,0.67656276220982,11.2487,0.0289,278,0.9,0.1958,0.1381,0.1461,38.6647,0.1901,0.4951,58.3279,8.261,69358897.4539,500.8406,0.4839,0.347715834963152,0.414203809107648,0.402020919982403,0.100817450523085,0.122804397493982,0.127553329606236,0.127546184935029,0.158637789544527,0.317014463764708,0.517651349309728
"10d-40c-no3.dat",3.3556,1,226.8,7388.2075,0.676630693610275,8.811,0.0278,252,0.9,0.2096,0.1391,0.1477,35.5176,0.1968,0.5073,54.0092,7.9519,59744613.6677,484.0777,0.5036,0.328840798280823,0.329258281136273,0.108598114525149,0.189016241609642,0.156101012737338,0.1565722859095,0.190481185093785,0.0994412609034298,0.262647026849731,0.154393141662892
"10d-40c-no4.dat",3.4325,1,270.7,7344.97,0.676587918010063,10.4822,0.0266,300.7778,0.9,0.2071,0.1366,0.1508,33.5324,0.1984,0.4913,56.5359,8.1509,90493144.4936,590.2881,0.5411,0.343811244599016,0.355047779132372,0.484456126628161,0.148658933927223,0.127922514012714,0.121613044992233,0.128152018192302,0.183752286110632,0.432561002758182,0.126480537875337
"10d-40c-no5.dat",3.372,1,235.5,6340.6168,0.676558632467156,10.7515,0.0314,261.6667,0.9,0.2218,0.1303,0.1442,37.9475,0.1867,0.4993,60.2339,8.1952,59626922.6616,463.5468,0.5335,0.326213819251486,0.294822750062816,0.45718023173264,0.167115614293617,0.1274999558138,0.127534986018767,0.129029335658291,0.189101602704837,0.322904421609868,0.505811757898904
"10d-40c-no6.dat",3.4252,1,266.2,7770.5959,0.676569187947175,10.1519,0.0303,295.7778,0.9,0.2312,0.1317,0.1488,36.2032,0.1931,0.5136,56.2166,8.2909,84696988.2878,559.0727,0.5098,0.36174563299073,0.367213484743885,0.385924510608143,0.159373830301865,0.157738525579176,0.145997555255133,0.158801391264574,0.171245794907243,0.42733324804846,0.516865116327059
"10d-40c-no7.dat",3.3345,1,216,6844.0351,0.676606542126294,9.4583,0.0306,240,0.9,0.2218,0.1399,0.1422,38.975,0.1944,0.5,55.3852,8.2336,53789522.8682,456.0695,0.546,0.329434127784195,0.330758701232784,0.430056703724899,0.200088909643287,0.132199280204123,0.131806422796332,0.133715773251097,0.144341921477561,0.333284514800603,0.121753284039175
"10d-40c-no8.dat",3.3629,1,230.6,7541.7192,0.676587058100547,9.7516,0.0307,256.2222,0.9,0.218,0.134,0.1462,41.2542,0.1909,0.4922,56.0181,8.1194,60566625.4122,474.8535,0.5217,0.407499377471495,0.381952853000601,0.438796617430527,0.19679383266125,0.144523074220914,0.145895123234538,0.145862621406804,0.199213175852844,0.399663788627495,0.234011589020719
"10d-40c-no9.dat",3.3746,1,236.9,9027.4626,0.676637546762571,11.1177,0.0264,263.2222,0.9,0.2064,0.1417,0.1485,35.6771,0.1958,0.5208,54.6047,8.3304,64530699.3635,488.884,0.4831,0.291103277388748,0.368451221340691,0.520727603546113,0.164956560630765,0.116639385555781,0.119060959328226,0.151553858754684,0.13154945888498,0.320300138003027,0.169203607712437
"10d-4c-no0.dat",3.1103,1,128.9,3214.0548,0.676773340625588,2.87,7e-04,143.2222,0.9,0.3575,0.1945,0.1609,59.2565,0.194,0.6138,42.9446,6.4812,19383200.1426,259.9389,0.4607,0.136721357504814,0.069383941878459,0.267648648741579,0.0585431668028291,0.0694160787108025,0.0733841051132008,0.0694160787108025,0.0516732536447611,0.0696819458170833,0.156785998889512
"10d-4c-no1.dat",2.9814,1,95.8,2857.622,0.676827162253358,2.4775,3e-04,106.4444,0.9,0.3191,0.1945,0.158,63.8976,0.1926,0.6481,47.3657,6.3982,10721224.9914,190.4443,0.4707,0.0540272389344918,0.167549288138692,0.0545740735349601,0.0478146139030252,0.0544136507672682,0.0637267107977923,0.0541679946927737,0.0528439426080805,0.0545963658760112,0.055769993339818
"10d-4c-no2.dat",2.9232,1,83.8,1764.9502,0.676731575872597,1.8917,0.0039,93.1111,0.9,0.3284,0.1728,0.1541,64.5825,0.1937,0.6145,54.3389,5.8896,10080308.1092,168.2858,0.5331,0.0619130634581344,0.061163079825537,0.114746053696798,0.0624932748854344,0.164885933701638,0.0829013099143237,0.0600767373922195,0.0631289702038951,0.111248260585843,0.0806160657156755
"10d-4c-no3.dat",3.1199,1,131.8,3276.7065,0.676736766533162,2.5419,0.0021,146.4444,0.9,0.2819,0.1736,0.1576,51.3623,0.1935,0.6089,48.214,6.1012,17371694.8394,264.6365,0.5111,0.0816524623740864,0.0811382559552489,0.136633769781173,0.0579564188922834,0.135064430346156,0.0910491476662463,0.0825238959295237,0.0604454416731224,0.10868337172717,0.127629095781577
"10d-4c-no4.dat",2.9699,1,93.3,2633.1001,0.676768667362057,1.8609,5e-04,103.6667,0.9,0.3573,0.1938,0.1553,54.0985,0.195,0.6071,48.6057,5.7542,9827902.3438,187.5253,0.4934,0.130895769968781,0.0558246995390172,0.124228605298819,0.0654850372808224,0.0915204055865035,0.0671088202878327,0.0564415793748397,0.0491485904244622,0.118507100147134,0.140395912902545
