"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"10d-10c-no0.dat",3.436,1,272.9,6492.1165,0.676730879237039,4.8973,0.0138,303.2222,0.9,0.2628,0.1511,0.1493,60.5773,0.1891,0.6078,59.6463,6.9849,101870215.3475,534.9518,0.5,1.9396388359257e-05,2.78631824304566e-05,4.17311719093059e-05,1.89160171369936e-07,4.09014915364311e-05,1.20164094879925e-05,6.4855199377199e-06,3.16951945619904e-07,4.2827082246012e-05,2.17251644931532e-05
"10d-10c-no1.dat",3.4852,1,305.6,7393.1055,0.676701949994193,5.108,0.013,339.5556,0.9,0.2532,0.1508,0.1507,54.6688,0.1907,0.5842,62.4645,6.9163,131421076.65,606.2443,0.524,2.49274995089467e-05,3.39717674630026e-05,3.91547905988073e-05,1.19099977072872e-07,4.07470784308405e-05,1.37444625145359e-05,7.81165388074628e-06,2.55648243186389e-07,4.33946702475124e-05,2.91747371582666e-05
"10d-10c-no2.dat",3.5585,1,361.8,9722.6719,0.676819911438264,5.7179,0.0112,402,0.9,0.2389,0.1523,0.1504,69.8033,0.1922,0.5851,55.063,7.4071,163091175.8367,728.4902,0.5535,2.48538858384225e-05,4.54391141344343e-05,4.30268234532423e-05,7.94272889643676e-08,3.19559003270809e-05,3.09122950630166e-05,4.75251597084496e-06,1.77208455486676e-07,3.03287181709547e-05,3.04667419701194e-05
"10d-10c-no3.dat",3.414,1,259.4,7006.5874,0.676764116009749,4.9266,0.0123,288.2222,0.9,0.2544,0.1507,0.1507,71.6558,0.1897,0.6066,59.3805,6.7683,86723685.598,511.7865,0.5095,2.7962195485178e-05,4.23554985068895e-05,4.02926252635488e-05,1.58369783287156e-07,3.67011766106817e-05,1.07354901774904e-05,6.41364245875608e-06,2.80372283287319e-07,3.88796274286254e-05,1.92122160766462e-05
"10d-10c-no4.dat",3.482,1,303.4,6347.4094,0.676692383591533,4.2606,0.0109,337.1111,0.9,0.2379,0.1531,0.153,62.3683,0.1922,0.5629,64.8708,6.4329,149359918.8307,611.7603,0.464,2.72052311027529e-05,3.26681825234712e-05,4.96821603725589e-05,1.30251808049205e-07,3.76124218248096e-05,1.49696714272854e-05,1.96745409543982e-05,2.25674608155912e-07,4.5844622894332e-05,2.86700650231487e-05
"10d-10c-no5.dat",3.5784,1,378.8,7488.1798,0.676663886843262,4.2998,0.0158,420.8889,0.9,0.257,0.1474,0.1484,63.5855,0.1903,0.5347,60.4982,7.194,204165399.9244,757.98,0.5215,9.792767814626e-06,4.66412693842021e-05,4.46971426858191e-05,1.37629590684204e-07,4.40646455151985e-05,1.33146300446822e-05,5.25688494948934e-06,2.12646578920351e-07,4.3245050240671e-05,1.97300656525127e-05
"10d-10c-no6.dat",3.3347,1,216.1,5741.8109,0.676736130853215,4.3914,0.0141,240.1111,0.9,0.2625,0.1547,0.1471,60.2037,0.1875,0.6158,59.2837,6.7561,59554152.786,422.6188,0.512,2.55338722237537e-05,3.1712976249297e-05,4.68446016810431e-05,2.3587824655337e-07,4.23593780116789e-05,1.75696851627917e-05,7.06659492606336e-06,4.50551449184248e-07,3.58863741155997e-05,3.29154107935578e-05
"10d-10c-no7.dat",3.5081,1,322.2,7856.3698,0.676696312325812,5.1441,0.0181,358,0.9,0.2365,0.1485,0.1472,58.5849,0.1893,0.5648,60.6708,7.0626,139762515.6227,644.3747,0.5273,1.81244641425773e-05,4.79570158436528e-05,3.68985581343846e-05,1.01202763923053e-07,3.53883166240272e-05,2.17070768457019e-05,5.67335878336818e-06,2.72689061302299e-07,2.97273398007394e-05,3.1495136206132e-05
"10d-10c-no8.dat",3.4259,1,266.6,6558.8882,0.676733458239926,4.4463,0.01,296.2222,0.9,0.2632,0.1537,0.152,56.6734,0.1908,0.5847,59.206,6.6757,93402862.7372,527.1731,0.4997,1.42825244683429e-05,4.47520672657551e-05,5.02053160177064e-05,1.96213915511741e-07,4.013541898364e-05,3.13164576022451e-05,5.23345473529455e-06,3.9494595549298e-07,3.53207847277602e-05,2.02176833167709e-05
"10d-10c-no9.dat",3.4299,1,269.1,7008.6531,0.676760257664688,4.9814,0.0109,299,0.9,0.2709,0.1523,0.1507,59.7263,0.1887,0.6067,54.611,6.9799,81177701.515,530.701,0.4958,1.74645725180086e-05,3.69877481762309e-05,2.8231661816878e-05,1.14344789287521e-07,3.88040325249369e-05,2.45678496330928e-05,7.75160306050848e-06,2.34460623043459e-07,3.56021123414864e-05,1.71225856224189e-05
"10d-20c-no0.dat",3.0056,1,101.3,5844.8966,0.676635040325889,8.6025,0.0558,112.5556,0.9,0.2611,0.1252,0.1324,38.8156,0.1851,0.5907,51.3316,7.968,10914615.4982,213.1133,0.4409,3.42889453307041e-05,8.65204654624772e-06,1.93707011070899e-05,8.04268300170796e-06,2.22279960854445e-06,3.23501386743362e-06,1.30652931819598e-06,6.73754329278683e-06,3.52020567793907e-05,2.39660893766482e-05
"10d-20c-no1.dat",2.9562,1,90.4,5518.936,0.676661851361243,8.0917,0.0548,100.4444,0.9,0.2956,0.1316,0.1278,48.2872,0.187,0.614,47.5813,7.7387,6788136.4192,181.2206,0.452,9.38522081197453e-06,1.02450823436261e-05,2.84348851157547e-05,7.69617639495876e-06,1.52815050534942e-07,2.51358557498227e-06,5.03121441135604e-07,7.98845286249304e-06,1.72412251013754e-05,1.5378166883406e-05
"10d-20c-no2.dat",3.066,1,116.4,5824.5831,0.676648027499401,8.0567,0.0526,145.5,0.8,0.2725,0.1321,0.1336,40.066,0.1901,0.6007,49.028,8.2332,12442506.6239,239.6871,0.4786,2.22526334107414e-05,1.71456034402251e-05,1.98269382749343e-05,1.40957204491121e-05,5.73187273715483e-07,2.71132419925295e-06,6.21338652513085e-07,6.35917122731525e-06,1.94135688049645e-05,1.66498121485096e-05
"10d-20c-no3.dat",3.0795,1,120.1,6332.8429,0.676624161926262,8.1115,0.05,133.4444,0.9,0.2333,0.129,0.1338,37.2893,0.1915,0.5701,52.2929,7.4505,14071500.449,248.1011,0.4895,2.39590403327339e-05,1.22875358130014e-05,2.16606061474417e-05,1.60810548956606e-05,1.05262356150158e-06,1.13916216904548e-06,6.10282030292492e-07,1.22292104215911e-05,2.6223280872416e-05,2.2811710228025e-05
"10d-20c-no4.dat",3.0892,1,122.8,5866.0794,0.676617948082223,7.8484,0.0439,153.5,0.8,0.2501,0.1345,0.1376,35.2856,0.1935,0.5636,49.3003,7.8693,14697548.7439,258.6576,0.5562,1.91290985899584e-05,1.73632854060422e-05,2.1637945232307e-05,1.34317596788247e-05,1.12857143816043e-06,1.68000979114337e-06,4.59384270002211e-07,1.55252779519385e-05,1.97424801816149e-05,2.81335664039426e-05
