"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"10d-10c-no0.dat",3.436,1,272.9,6492.1165,0.676730879237039,4.8973,0.0138,303.2222,0.9,0.2628,0.1511,0.1493,60.5773,0.1891,0.6078,59.6463,6.9849,101870215.3475,534.9518,0.5,0.228862823155657,0.275575589203375,0.451618429236367,0.000934500680734083,0.4345961546394,0.05716608207236,0.0698464062355638,0.0013591745078202,0.54946285092377,0.26968837654517
"10d-10c-no1.dat",3.4852,1,305.6,7393.1055,0.676701949994193,5.108,0.013,339.5556,0.9,0.2532,0.1508,0.1507,54.6688,0.1907,0.5842,62.4645,6.9163,131421076.65,606.2443,0.524,0.208180695612531,0.322515364671235,0.396341976652163,0.000606969071104488,0.465297848805373,0.077705976968614,0.0808133285008852,0.00121383869614171,0.502471874244913,0.390419187376259
"10d-10c-no2.dat",3.5585,1,361.8,9722.6719,0.676819911438264,5.7179,0.0112,402,0.9,0.2389,0.1523,0.1504,69.8033,0.1922,0.5851,55.063,7.4071,163091175.8367,728.4902,0.5535,0.282639366867304,0.492566418655715,0.511620702306287,0.000384494550871284,0.373543555310423,0.0868554264495684,0.0486373737941354,0.000897124393718772,0.370364090336141,0.373297298137758
"10d-10c-no3.dat",3.414,1,259.4,7006.5874,0.676764116009749,4.9266,0.0123,288.2222,0.9,0.2544,0.1507,0.1507,71.6558,0.1897,0.6066,59.3805,6.7683,86723685.598,511.7865,0.5095,0.295049918340105,0.451088887708665,0.466736212965424,0.000804440695290138,0.465875698238179,0.10792405800432,0.0686793416261114,0.00134055042803858,0.44700370472283,0.199225445012188
"10d-10c-no4.dat",3.482,1,303.4,6347.4094,0.676692383591533,4.2606,0.0109,337.1111,0.9,0.2379,0.1531,0.153,62.3683,0.1922,0.5629,64.8708,6.4329,149359918.8307,611.7603,0.464,0.257858992982528,0.317076727096658,0.617188980417917,0.00061141892655504,0.464369523587756,0.0697439178332786,0.172442879569949,0.00106980655659991,0.508878621897018,0.394878631303945
"10d-10c-no5.dat",3.5784,1,378.8,7488.1798,0.676663886843262,4.2998,0.0158,420.8889,0.9,0.257,0.1474,0.1484,63.5855,0.1903,0.5347,60.4982,7.194,204165399.9244,757.98,0.5215,0.103087238549712,0.512175458161711,0.548141555796369,0.000673371709418765,0.560958230260285,0.178715727130172,0.0593539069145898,0.000918165023897021,0.548018755595135,0.328733661733671
"10d-10c-no6.dat",3.3347,1,216.1,5741.8109,0.676736130853215,4.3914,0.0141,240.1111,0.9,0.2625,0.1547,0.1471,60.2037,0.1875,0.6158,59.2837,6.7561,59554152.786,422.6188,0.512,0.235750163457385,0.308638794503891,0.553897299551285,0.00128735819273905,0.417611082191162,0.0904616220079823,0.0622021808250639,0.00225210587477178,0.398456381596028,0.328264532700876
"10d-10c-no7.dat",3.5081,1,322.2,7856.3698,0.676696312325812,5.1441,0.0181,358,0.9,0.2365,0.1485,0.1472,58.5849,0.1893,0.5648,60.6708,7.0626,139762515.6227,644.3747,0.5273,0.175813097649926,0.504108798629473,0.41525113531599,0.000503762763188422,0.433702803629495,0.0979206721595405,0.0777954891106529,0.00115132994667889,0.353179264612132,0.347425101369503
"10d-10c-no8.dat",3.4259,1,266.6,6558.8882,0.676733458239926,4.4463,0.01,296.2222,0.9,0.2632,0.1537,0.152,56.6734,0.1908,0.5847,59.206,6.6757,93402862.7372,527.1731,0.4997,0.154420825963932,0.456495352894696,0.568285207754603,0.000956605125994319,0.449837814623798,0.0789805434003131,0.0588211259387128,0.00208669886905292,0.390007549263644,0.250523206159816
"10d-10c-no9.dat",3.4299,1,269.1,7008.6531,0.676760257664688,4.9814,0.0109,299,0.9,0.2709,0.1523,0.1507,59.7263,0.1887,0.6067,54.611,6.9799,81177701.515,530.701,0.4958,0.184862760614492,0.380285349140489,0.313978306287002,0.000603125137277324,0.47105873848893,0.0987994105232801,0.098758194466003,0.00112002082463238,0.452501388485301,0.222969597592696
"10d-20c-no0.dat",3.0056,1,101.3,5844.8966,0.676635040325889,8.6025,0.0558,112.5556,0.9,0.2611,0.1252,0.1324,38.8156,0.1851,0.5907,51.3316,7.968,10914615.4982,213.1133,0.4409,0.35999215578794,0.179423085298094,0.291725690355918,0.0046701320828949,0.0220071594024807,0.0376596115940418,0.0112046604219653,0.011537640925979,0.354919499791959,0.288652662442107
"10d-20c-no1.dat",2.9562,1,90.4,5518.936,0.676661851361243,8.0917,0.0548,100.4444,0.9,0.2956,0.1316,0.1278,48.2872,0.187,0.614,47.5813,7.7387,6788136.4192,181.2206,0.452,0.142706345395759,0.247926085359735,0.464956156704327,0.00719561612841595,0.00212486625874743,0.0148657992932673,0.00430494171455497,0.0280299911624103,0.195753861418851,0.276933880194284
"10d-20c-no2.dat",3.066,1,116.4,5824.5831,0.676648027499401,8.0567,0.0526,145.5,0.8,0.2725,0.1321,0.1336,40.066,0.1901,0.6007,49.028,8.2332,12442506.6239,239.6871,0.4786,0.221815955453067,0.195131760364904,0.338619956295062,0.0428315768769992,0.0095650135125218,0.00408361842170704,0.0136817987042799,0.00678634223009249,0.242289582910621,0.175057027331175
"10d-20c-no3.dat",3.0795,1,120.1,6332.8429,0.676624161926262,8.1115,0.05,133.4444,0.9,0.2333,0.129,0.1338,37.2893,0.1915,0.5701,52.2929,7.4505,14071500.449,248.1011,0.4895,0.242367690753344,0.126097361885698,0.300123227556936,0.006164972830256,0.0142068601878771,0.00770233411328087,0.0106256137067646,0.0383229836966574,0.311121456924486,0.158379112800826
"10d-20c-no4.dat",3.0892,1,122.8,5866.0794,0.676617948082223,7.8484,0.0439,153.5,0.8,0.2501,0.1345,0.1376,35.2856,0.1935,0.5636,49.3003,7.8693,14697548.7439,258.6576,0.5562,0.224335947038885,0.209929150655258,0.291810083741586,0.0446439805923251,0.0177155828566872,0.00812109411363997,0.00735431763380777,0.0226228979492229,0.225864202804512,0.205344404715067
"10d-20c-no5.dat",3.0962,1,124.8,6193.9971,0.676601708491452,8.8606,0.053,138.6667,0.9,0.2481,0.1297,0.1337,44.0033,0.1888,0.566,50.6922,8.0389,14599255.3104,257.0829,0.4741,0.113525330867574,0.186547772181144,0.278116963914871,0.0037302772022086,0.00621309202550214,0.0029012689268188,0.00199153452997837,0.00433315970306489,0.340995636570158,0.177288274651376
"10d-20c-no6.dat",3.1069,1,127.9,6311.3588,0.676628450588913,7.3151,0.0453,142.1111,0.9,0.2726,0.1337,0.1451,34.5236,0.189,0.5968,49.0559,7.4398,13703444.7993,257.4351,0.5024,0.123309258401834,0.184787361182751,0.258862242234104,0.0136314588249303,0.0381057537276029,0.00799202037710356,0.00895316357548282,0.0218946125942121,0.251868025725183,0.371052371457036
"10d-20c-no7.dat",3.0342,1,108.2,5425.7951,0.676629504975856,8.1501,0.0591,120.2222,0.9,0.2436,0.117,0.1316,43.7554,0.1917,0.5487,49.0902,7.8496,11367814.453,227.35,0.5132,0.317437335967724,0.135675585438214,0.2871468848402,0.0389457730942019,0.0116986227298135,0.00266112800197542,0.00262417742159699,0.00570742957487764,0.277376006633749,0.177735834439018
"10d-20c-no8.dat",3.1086,1,128.4,6116.6606,0.676644084251881,7.6597,0.0441,142.6667,0.9,0.2591,0.1298,0.1385,35.1471,0.1897,0.5763,49.2219,7.5969,13872762.3425,261.2291,0.543,0.156929568742925,0.170933071141294,0.295787246792893,0.00857911819786701,0.0126556715307317,0.00424101273089345,0.0060693844167835,0.0398452951812959,0.343720343027827,0.255622043052289
"10d-20c-no9.dat",3.1193,1,131.6,7367.3587,0.676638738299639,8.7943,0.0489,146.2222,0.9,0.2817,0.1276,0.1393,39.1585,0.1901,0.5813,48.3003,7.9177,15963323.6118,277.9349,0.4234,0.203227376667189,0.359432656455663,0.234670589340202,0.00382028871892314,0.00799496112719915,0.00397461384173349,0.00407564253402659,0.0293747173668654,0.252787750789959,0.239895126154675
"10d-40c-no0.dat",3.2871,1,193.7,6642.3071,0.676590814852923,10.892,0.0348,215.2222,0.9,0.2136,0.1322,0.1387,42.3403,0.1904,0.5056,59.1591,8.176,46439378.0106,398.8921,0.5358,0.224306247504949,0.183954891046042,0.412697907696902,0.0171377424635657,0.00890405266904942,0.00465266230915145,0.00990053153412493,0.0315479808834978,0.400433348359077,0.534458953879058
"10d-40c-no1.dat",3.3596,1,228.9,6533.8931,0.676579756489111,10.237,0.0303,254.3333,0.9,0.2137,0.1373,0.1438,36.9333,0.1923,0.5121,58.4901,8.2245,59433811.9708,462.8194,0.4852,0.231956940299226,0.169560831250933,0.370411527447592,0.117033634778275,0.0191483890338324,0.0239299973812278,0.013560653667578,0.127788589053145,0.410416179178663,0.48739331049114
"10d-40c-no2.dat",3.3983,1,250.2,8020.0413,0.67656276220982,11.2487,0.0289,278,0.9,0.1958,0.1381,0.1461,38.6647,0.1901,0.4951,58.3279,8.261,69358897.4539,500.8406,0.4839,0.277695377633969,0.161732179724952,0.361596037284696,0.0646092782797699,0.027817023963193,0.00786052427691282,0.00838306725125602,0.056092452722264,0.358236301652591,0.574227190530609
"10d-40c-no3.dat",3.3556,1,226.8,7388.2075,0.676630693610275,8.811,0.0278,252,0.9,0.2096,0.1391,0.1477,35.5176,0.1968,0.5073,54.0092,7.9519,59744613.6677,484.0777,0.5036,0.24674162574109,0.234157348150283,0.507354692572259,0.0453403040802321,0.0209309510080408,0.0150079570387956,0.0142048850343708,0.00849934310227625,0.406956430982786,0.509551966703338
"10d-40c-no4.dat",3.4325,1,270.7,7344.97,0.676587918010063,10.4822,0.0266,300.7778,0.9,0.2071,0.1366,0.1508,33.5324,0.1984,0.4913,56.5359,8.1509,90493144.4936,590.2881,0.5411,0.242123183180422,0.176794011971995,0.34582362247269,0.0599274087603606,0.0199220569444485,0.0194008583540871,0.0110345950286684,0.228374088440387,0.414821198852768,0.345124672222304
"10d-40c-no5.dat",3.372,1,235.5,6340.6168,0.676558632467156,10.7515,0.0314,261.6667,0.9,0.2218,0.1303,0.1442,37.9475,0.1867,0.4993,60.2339,8.1952,59626922.6616,463.5468,0.5335,0.233328323063437,0.207570960091665,0.384787434189744,0.0438092539782469,0.0160813061200123,0.00776798853086296,0.00880607751232289,0.101448021737166,0.285726147708674,0.463751191619238
"10d-40c-no6.dat",3.4252,1,266.2,7770.5959,0.676569187947175,10.1519,0.0303,295.7778,0.9,0.2312,0.1317,0.1488,36.2032,0.1931,0.5136,56.2166,8.2909,84696988.2878,559.0727,0.5098,0.118679011623681,0.158032064897568,0.401817850106195,0.0547330048051939,0.0193426517021904,0.0169825892182738,0.00801642704121888,0.136892396566951,0.328448739710111,0.652156036851949
"10d-40c-no7.dat",3.3345,1,216,6844.0351,0.676606542126294,9.4583,0.0306,240,0.9,0.2218,0.1399,0.1422,38.975,0.1944,0.5,55.3852,8.2336,53789522.8682,456.0695,0.546,0.177632015162799,0.220556796117967,0.328882696981601,0.0724594774575028,0.0207438651276738,0.0100128059062617,0.0107282792056358,0.027798776281912,0.324414309653014,0.357381308406617
"10d-40c-no8.dat",3.3629,1,230.6,7541.7192,0.676587058100547,9.7516,0.0307,256.2222,0.9,0.218,0.134,0.1462,41.2542,0.1909,0.4922,56.0181,8.1194,60566625.4122,474.8535,0.5217,0.221899620782358,0.249046074432244,0.320120023417088,0.0138313663047337,0.0267340053899708,0.00842233526075811,0.0183207779877439,0.0970694268285871,0.365931572657627,0.483076132537554
"10d-40c-no9.dat",3.3746,1,236.9,9027.4626,0.676637546762571,11.1177,0.0264,263.2222,0.9,0.2064,0.1417,0.1485,35.6771,0.1958,0.5208,54.6047,8.3304,64530699.3635,488.884,0.4831,0.220826250227084,0.236615152718999,0.319263031544011,0.0382306589361477,0.0196772269218436,0.00888019034082974,0.00607002011488195,0.0373628507110701,0.376664310763039,0.377419983074596
"10d-4c-no0.dat",3.1103,1,128.9,3214.0548,0.676773340625588,2.87,7e-04,143.2222,0.9,0.3575,0.1945,0.1609,59.2565,0.194,0.6138,42.9446,6.4812,19383200.1426,259.9389,0.4607,0.122699403484892,0.181340848299664,0.375491520086049,0.00143835058952471,0.0564606536038845,0.00659589538382265,0.00302500566080602,0.00269619020906346,0.192994528573714,0.102192410233188
"10d-4c-no1.dat",2.9814,1,95.8,2857.622,0.676827162253358,2.4775,3e-04,106.4444,0.9,0.3191,0.1945,0.158,63.8976,0.1926,0.6481,47.3657,6.3982,10721224.9914,190.4443,0.4707,0.0629119170899554,0.603164866318064,0.196411791764309,0.00193422285117838,0.0535861028105706,0.0157170078716097,0.00983115630656694,0.00410981156345544,0.0732954548868021,0.0579407586010125
"10d-4c-no2.dat",2.9232,1,83.8,1764.9502,0.676731575872597,1.8917,0.0039,93.1111,0.9,0.3284,0.1728,0.1541,64.5825,0.1937,0.6145,54.3389,5.8896,10080308.1092,168.2858,0.5331,0.095199980303131,0.118556409530474,0.277542873219376,0.00221140466853946,0.387437771835643,0.0261000962333479,0.0217532348713113,0.00387053272192565,0.272284987652581,0.0860938348016999
"10d-4c-no3.dat",3.1199,1,131.8,3276.7065,0.676736766533162,2.5419,0.0021,146.4444,0.9,0.2819,0.1736,0.1576,51.3623,0.1935,0.6089,48.214,6.1012,17371694.8394,264.6365,0.5111,0.164828475600878,0.10251257524716,0.296243460184516,0.00140646200548359,0.560368864360741,0.0212464810429033,0.022528083008078,0.00421617399931017,0.21228792895909,0.119825533504548
"10d-4c-no4.dat",2.9699,1,93.3,2633.1001,0.676768667362057,1.8609,5e-04,103.6667,0.9,0.3573,0.1938,0.1553,54.0985,0.195,0.6071,48.6057,5.7542,9827902.3438,187.5253,0.4934,0.218005758773169,0.122970518654253,0.220890035954391,0.00322770886310587,0.202647157294946,0.0284311170520676,0.0124603584236072,0.0024832025533701,0.267531466812068,0.156063297084544
"10d-4c-no5.dat",3.0565,1,113.9,3053.6656,0.676776290441777,2.9191,3e-04,126.5556,0.9,0.3235,0.1943,0.1653,64.4846,0.1995,0.5976,44.3996,6.1594,14134576.7908,237.7858,0.4943,0.157341392619598,0.183544276180864,0.3804053162831,0.0028475122330428,0.333957609096604,0.0241583384880991,0.0351889697919907,0.00203416779830879,0.151167615963279,0.15966831931937
"10d-4c-no6.dat",2.9899,1,97.7,2491.8974,0.676737368832654,2.4318,0.002,108.5556,0.9,0.3068,0.184,0.1537,57.9823,0.196,0.5923,48.1614,5.7897,10859542.3024,199.0674,0.5175,0.235286550605738,0.139772398900382,0.362994551539551,0.00189690456390876,0.401536809765138,0.0253127567502028,0.0112853716855207,0.00260842659192848,0.206573275092985,0.245632409292011
"10d-4c-no7.dat",3.1708,1,148.2,3414.777,0.676704883845817,2.4336,0.0016,185.25,0.8,0.3563,0.191,0.1472,47.8328,0.1861,0.6799,50.2532,7.5671,22861807.3724,282.9713,0.5672,0.0317005918510446,0.0149943430224463,0.267130134147343,0.00280890266280968,0.227525435746333,0.0049879224069415,0.00156043733911693,0.00203259538089692,0.270713995359698,0.0146448451149124
"10d-4c-no8.dat",2.985,1,96.6,2223.3143,0.676719096662512,2.2637,0.0015,107.3333,0.9,0.273,0.1824,0.1534,58.861,0.1934,0.6019,49.1546,5.6283,11251166.4281,194.3526,0.4951,0.195727672102855,0.17525912134229,0.296867855550558,0.00287696710775788,0.29342755972402,0.0336917775633786,0.0149445220834692,0.00215934427274324,0.289547605586599,0.0725312687801777
"10d-4c-no9.dat",3.073,1,118.3,2092.9939,0.676691676796707,1.8208,0.0015,131.4444,0.9,0.3066,0.1774,0.1575,61.7954,0.1906,0.6684,56.6699,5.3403,17316346.8119,231.8013,0.487,0.141469900224627,0.0939481062047606,0.239150819678605,0.00313338402340713,0.227913536712308,0.0163919361608952,0.0175621979000169,0.00254598875784296,0.211016016079574,0.134673894305673
"2d-10c-no0.dat",3.473,0.301,1486,27.1526,0.676563258562655,94.7976,0.001,1486,1,0.5675,0.1526,0.1801,5.7629,0.1777,0.8034,10.8436,372.743,818959.5073,565.4182,0.5038,0.635449852022858,0.534052305760317,0.541678196304362,0.196983997882917,0.597014120249473,0.322046328606434,0.54454610203855,0.302324552608437,0.537744396193854,0.624621755396739
"2d-10c-no1.dat",3.4023,0.301,1262.5,193.6764,0.67661216383011,112.4903,0.0042,1262.5,1,0.5672,0.184,0.1603,8.4666,0.1796,0.7962,9.9965,630.9364,1250468.0464,505.8104,0.5413,0.581617836773657,0.726628679209831,0.424006790505836,0.137281575001887,0.441123241333857,0.616004385662001,0.64574782075547,0.414026502767855,0.50958994005283,0.598625173415238
"2d-10c-no2.dat",3.4876,0.301,1536.5,423.0761,0.676565760645365,151.3574,0,1536.5,1,0.6577,0.1754,0.2017,6.8471,0.1829,0.8262,12.1575,651.147,1403446.5457,623.2757,0.384,0.577684517455106,0.773024344248525,0.43183794981965,0.18115066317025,0.497228307445274,0.373352513800455,0.59094525425472,0.303311148061408,0.519902980096542,0.594679204742955
"2d-10c-no3.dat",3.5262,0.301,1679.5,496.8316,0.676530285205265,236.1748,0,1679.5,1,0.531,0.2122,0.1725,6.3137,0.1872,0.7987,10.5814,686.9597,925410.1029,698.4214,0.5605,0.570322989347255,0.4602882642802,0.496333082595461,0.221695015608081,0.624849529971211,0.213514467222893,0.389685128729084,0.432706360758291,0.556350788033137,0.524914032765043
"2d-10c-no4.dat",3.5173,0.301,1645.5,183.3464,0.676585740298284,124.8025,0.0033,1645.5,1,0.698,0.1596,0.1665,7.019,0.1803,0.8097,10.0291,626.7592,764512.9214,646.0526,0.4286,0.565888817113901,0.74291574106307,0.398512066549884,0.315764895744251,0.693536843636567,0.499529843493277,0.540912941148829,0.500043569622302,0.542441189314456,0.579193883559581
"2d-10c-no5.dat",3.5599,0.301,1815,48.297,0.676588708981686,167.2791,2e-04,1815,1,0.7335,0.1856,0.1826,14.4266,0.177,0.8827,10.9812,765.6859,1302422.1007,741.9055,0.561,0.635392272454293,0.792644943755262,0.334085027182842,0.20500051194561,0.373225624171871,0.58818049033885,0.573086447907373,0.509415215763449,0.620886720036093,0.654562973721933
"2d-10c-no6.dat",3.5325,0.301,1704,66.577,0.676614020073605,96.1482,0.0026,1704,1,0.5758,0.1698,0.1694,9.1731,0.176,0.8092,10.3234,712.4282,1817727.0852,672.7621,0.4808,0.603043459047061,0.708349014445261,0.421576049276994,0.225967652123864,0.764106795167526,0.665741729819537,0.531691206738134,0.683202001725932,0.584909679886071,0.652181528124887
