"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"10d-10c-no0.dat",3.436,1,272.9,6492.1165,0.676730879237039,4.8973,0.0138,303.2222,0.9,0.2628,0.1511,0.1493,60.5773,0.1891,0.6078,59.6463,6.9849,101870215.3475,534.9518,0.5,2.09908353903784e-05,2.72711159992424e-05,2.68040651591369e-05,3.02400530444653e-05,2.50739295184844e-05,2.12908835283481e-05,2.02830820220793e-05,3.02348047840835e-05,2.50546986371816e-05,2.69402163804385e-05
"10d-10c-no1.dat",3.4852,1,305.6,7393.1055,0.676701949994193,5.108,0.013,339.5556,0.9,0.2532,0.1508,0.1507,54.6688,0.1907,0.5842,62.4645,6.9163,131421076.65,606.2443,0.524,2.27767602039852e-05,2.77423911979046e-05,2.86717544112184e-05,3.09399185480211e-05,2.46640486705634e-05,2.27494047665569e-05,2.08567896941515e-05,3.09451967890978e-05,2.64790305920437e-05,2.86802015559808e-05
"10d-10c-no2.dat",3.5585,1,361.8,9722.6719,0.676819911438264,5.7179,0.0112,402,0.9,0.2389,0.1523,0.1504,69.8033,0.1922,0.5851,55.063,7.4071,163091175.8367,728.4902,0.5535,1.96747680679717e-05,2.66086850736881e-05,2.59077105686766e-05,2.82939139602195e-05,2.18006413069715e-05,2.51654683672452e-05,1.84809515356293e-05,2.82846235365667e-05,2.31402325239138e-05,2.68328307433339e-05
"10d-10c-no3.dat",3.414,1,259.4,7006.5874,0.676764116009749,4.9266,0.0123,288.2222,0.9,0.2544,0.1507,0.1507,71.6558,0.1897,0.6066,59.3805,6.7683,86723685.598,511.7865,0.5095,2.28939179046514e-05,2.6551783605144e-05,2.78886311069929e-05,3.0168503427609e-05,2.2417280135299e-05,2.02567091268544e-05,1.97867102916905e-05,3.01740377430114e-05,2.61709020654211e-05,2.70669852243096e-05
"10d-10c-no4.dat",3.482,1,303.4,6347.4094,0.676692383591533,4.2606,0.0109,337.1111,0.9,0.2379,0.1531,0.153,62.3683,0.1922,0.5629,64.8708,6.4329,149359918.8307,611.7603,0.464,2.50234355103533e-05,2.87710489527836e-05,2.97268468462256e-05,3.13145783203338e-05,2.50114725375663e-05,2.41332078310606e-05,2.33985644320256e-05,3.13090219040144e-05,2.73652798154071e-05,2.99447688201366e-05
"10d-10c-no5.dat",3.5784,1,378.8,7488.1798,0.676663886843262,4.2998,0.0158,420.8889,0.9,0.257,0.1474,0.1484,63.5855,0.1903,0.5347,60.4982,7.194,204165399.9244,757.98,0.5215,2.18031827182419e-05,2.7952508733031e-05,2.84016333691997e-05,2.98849103900696e-05,2.60444799907076e-05,2.9378997705429e-05,2.00002748544742e-05,2.9881450072237e-05,2.57304163165143e-05,2.87286879874928e-05
"10d-10c-no6.dat",3.3347,1,216.1,5741.8109,0.676736130853215,4.3914,0.0141,240.1111,0.9,0.2625,0.1547,0.1471,60.2037,0.1875,0.6158,59.2837,6.7561,59554152.786,422.6188,0.512,2.39011821127876e-05,2.59119058537424e-05,2.63652114887992e-05,2.99722191722283e-05,2.71124378383457e-05,2.25571986370426e-05,2.01838419006048e-05,2.9972739663621e-05,2.57626275484236e-05,2.70335648559728e-05
"10d-10c-no7.dat",3.5081,1,322.2,7856.3698,0.676696312325812,5.1441,0.0181,358,0.9,0.2365,0.1485,0.1472,58.5849,0.1893,0.5648,60.6708,7.0626,139762515.6227,644.3747,0.5273,2.19926860814764e-05,2.72111658279989e-05,2.73159452441076e-05,2.91589816497207e-05,2.39384821359707e-05,2.45597012463981e-05,1.91356099742384e-05,2.91602021752523e-05,2.4065563272175e-05,2.81677359984078e-05
"10d-10c-no8.dat",3.4259,1,266.6,6558.8882,0.676733458239926,4.4463,0.01,296.2222,0.9,0.2632,0.1537,0.152,56.6734,0.1908,0.5847,59.206,6.6757,93402862.7372,527.1731,0.4997,2.1775214715635e-05,2.77007542262382e-05,2.80933725402648e-05,2.99675352995968e-05,2.79453247086465e-05,2.6196001643462e-05,1.97984740442609e-05,2.99679150410347e-05,2.42404513041615e-05,2.80563467084213e-05
"10d-10c-no9.dat",3.4299,1,269.1,7008.6531,0.676760257664688,4.9814,0.0109,299,0.9,0.2709,0.1523,0.1507,59.7263,0.1887,0.6067,54.611,6.9799,81177701.515,530.701,0.4958,2.10450022942569e-05,2.48685596491573e-05,2.57570372354318e-05,2.85967912667169e-05,2.48680984986492e-05,2.58529437455518e-05,1.91445897708359e-05,2.86015641321395e-05,2.34980803646519e-05,2.49340486389363e-05
"10d-20c-no0.dat",3.0056,1,101.3,5844.8966,0.676635040325889,8.6025,0.0558,112.5556,0.9,0.2611,0.1252,0.1324,38.8156,0.1851,0.5907,51.3316,7.968,10914615.4982,213.1133,0.4409,1.76999437932842e-05,9.62879078902563e-06,1.37157698429232e-05,1.34208539019946e-05,9.64444451236387e-06,9.74926067907048e-06,9.48202434297492e-06,1.21511209288783e-05,1.9136329773357e-05,1.94884866975721e-05
"10d-20c-no1.dat",2.9562,1,90.4,5518.936,0.676661851361243,8.0917,0.0548,100.4444,0.9,0.2956,0.1316,0.1278,48.2872,0.187,0.614,47.5813,7.7387,6788136.4192,181.2206,0.452,1.1688470718522e-05,1.01102055044079e-05,1.52427074588047e-05,1.26593671735998e-05,8.28707718174703e-06,9.93666454275578e-06,8.69524491289114e-06,1.30076449134941e-05,1.30257027600811e-05,1.32958504120123e-05
"10d-20c-no2.dat",3.066,1,116.4,5824.5831,0.676648027499401,8.0567,0.0526,145.5,0.8,0.2725,0.1321,0.1336,40.066,0.1901,0.6007,49.028,8.2332,12442506.6239,239.6871,0.4786,1.55675347266403e-05,1.43165990637004e-05,1.3468180174988e-05,1.6863745605088e-05,8.73685806057655e-06,9.85733722560739e-06,8.4439003967423e-06,1.2415035038724e-05,1.56947052394798e-05,1.71435656853516e-05
"10d-20c-no3.dat",3.0795,1,120.1,6332.8429,0.676624161926262,8.1115,0.05,133.4444,0.9,0.2333,0.129,0.1338,37.2893,0.1915,0.5701,52.2929,7.4505,14071500.449,248.1011,0.4895,1.38270592216804e-05,1.19218482055725e-05,1.46001652045556e-05,1.57091606553851e-05,9.12807238612509e-06,9.23132708030157e-06,8.75297897869522e-06,1.51215491768898e-05,1.5384933846153e-05,1.64315176647469e-05
"10d-20c-no4.dat",3.0892,1,122.8,5866.0794,0.676617948082223,7.8484,0.0439,153.5,0.8,0.2501,0.1345,0.1376,35.2856,0.1935,0.5636,49.3003,7.8693,14697548.7439,258.6576,0.5562,1.39148439619468e-05,1.35544475338264e-05,1.41348961103326e-05,1.42327381729902e-05,8.99529301541589e-06,9.44119652251153e-06,8.63522576141211e-06,1.51046121376968e-05,1.54857147462245e-05,1.78248505573618e-05
